,https://roic.ai/company/SITE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1062000000,1072700000,1176600000,1451600000,- -,1861700000,2112300000,2357500000,- -,2704500000
2,COGS,744600000,783000000,865500000,1022500000,- -,1266200000,1434200000,1584300000,- -,1803200000
3,Gross Profit,317400000,289700000,311100000,429100000,- -,595500000,678100000,773200000,- -,901300000
4,Gross Profit Ratio,0.2989,0.2701,0.2644,0.2956,- -,0.3199,0.3210,0.3280,- -,0.3333
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,502200000,578800000,647600000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,502200000,578800000,647600000,- -,- -
9,Other Expenses,276400000,232000000,265900000,369300000,- -,-4500000,-8000000,700000,- -,721500000
10,Operating Expenses,276400000,232000000,265900000,369300000,- -,497700000,570800000,648300000,- -,721500000
11,COGS and Expenses,1021000000,1015000000,1131400000,1391800000,- -,1763900000,2005000000,2232600000,- -,2524700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),9100000,100000,9100000,11400000,- -,25200000,32100000,33400000,- -,31000000
14,Depreciation and Amortization,11000000,10200000,20300000,31200000,- -,43100000,52300000,59500000,- -,67200000
15,EBITDA,64000000,67900000,65500000,91000000,- -,140900000,159600000,184400000,- -,247000000
16,EBITDA ratio,0.0603,0.0633,0.0557,0.0627,- -,0.0757,0.0756,0.0782,- -,0.0913
17,Operating Income,41000000,57700000,45200000,59800000,- -,97800000,107300000,124900000,- -,179800000
18,Operating Income ratio,0.0386,0.0538,0.0384,0.0412,- -,0.0525,0.0508,0.0530,- -,0.0665
19,Total Other Income Expenses (Gains),9100000,-100000,-9100000,-11400000,- -,-25200000,-32100000,-33400000,- -,-31000000
20,Income Before Tax,50100000,57600000,36100000,48400000,- -,72600000,75200000,91500000,- -,148800000
21,Income Before Tax Ratio,0.0472,0.0537,0.0307,0.0333,- -,0.0390,0.0356,0.0388,- -,0.0550
22,Income Tax expense (Gain),-21000000,23900000,14400000,19500000,- -,18000000,1300000,13800000,- -,27500000
23,Net Income,64900000,33700000,21700000,28900000,- -,54600000,73900000,77700000,- -,121300000
24,Net Income ratio,0.0611,0.0314,0.0184,0.0199,- -,0.0293,0.0350,0.0330,- -,0.0449
25,EPS,4.55,2.36,-0.28,-0.37,- -,1.37,1.83,1.89,- -,2.83
26,EPS Diluted,4.55,2.36,-0.28,-0.37,- -,1.29,1.73,1.82,- -,2.75
27,Weighted Average Shares Outstanding,14249494,14249494,14249494,39542239,- -,39754595,40488196,41218843,- -,42858691
28,Weighted Average Shares Outstanding Diluted,14249494,14249494,14249494,39542239,- -,42193432,42633309,42750348,- -,44093501
29,SEC Link,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1650729/000165072918000005/0001650729-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1650729/000165072919000004/0001650729-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1650729/000165072920000004/0001650729-20-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1650729/000165072921000006/0001650729-21-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,19300000,10600000,22500000,- -,16700000,17300000,19000000,- -,55200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,19300000,10600000,22500000,- -,16700000,17300000,19000000,- -,55200000
34,Net Receivables,- -,108400000,120700000,144100000,- -,222600000,295300000,290400000,- -,299600000
35,Inventory,- -,227700000,242100000,265900000,- -,338300000,411700000,427100000,- -,458600000
36,Other Current Assets,- -,27400000,22100000,12100000,- -,24300000,41100000,29300000,- -,38200000
37,Total Current Assets,- -,382800000,395500000,444600000,- -,601900000,765400000,765800000,- -,851600000
38,PP&E,- -,55600000,53500000,66200000,- -,75500000,88400000,339400000,- -,386500000
39,Goodwill,- -,8600000,11400000,48000000,- -,106500000,148400000,181300000,- -,250600000
40,Intangible Assets,- -,90400000,87000000,104300000,- -,112800000,155600000,150600000,- -,196300000
41,Intangible Assets,- -,99000000,98400000,152300000,- -,219300000,304000000,331900000,- -,446900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,7100000,3200000,- -,2400000
44,Other Non-Current Assets,- -,7000000,8300000,8000000,- -,14000000,3600000,3000000,- -,8300000
45,Total Non-Current Assets,- -,161600000,160200000,226500000,- -,308800000,403100000,677500000,- -,844100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,544400000,555700000,671100000,- -,910700000,1168500000,1443300000,- -,1695700000
48,Accounts Payable,- -,67500000,81000000,86400000,- -,124100000,184600000,162200000,- -,172800000
49,Short-Term Debt,- -,- -,- -,- -,- -,3500000,5000000,6000000,- -,66600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,28900000,32100000,60600000,- -,78200000,92800000,142600000,- -,129200000
53,Total Current Liabilities,- -,96400000,113100000,147000000,- -,205800000,282400000,310800000,- -,368600000
54,Long-Term Debt,- -,154200000,121100000,356100000,- -,460100000,563200000,536600000,- -,501400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,35600000,33700000,26200000,- -,8400000,7100000,3200000,- -,5400000
57,Other Non-Current Liabilities,- -,189500000,209000000,232800000,- -,23600000,14000000,199500000,- -,25300000
58,Total Non-Current Liabilities,- -,379300000,363800000,615100000,- -,492100000,584300000,739300000,- -,532100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,9100000,10700000,11100000,- -,11700000,14700000,257800000,- -,304500000
61,Total Liabilities,- -,475700000,476900000,762100000,- -,697900000,866700000,1050100000,- -,900700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,- -,400000,400000,400000,- -,400000
64,Retained Earnings,- -,-9500000,-10300000,-89900000,- -,-15100000,60100000,137800000,- -,259100000
65,Other Comprehensive Income/Loss,- -,-100000,-10300000,-22600000,- -,-51300000,-1000000,-7000000,- -,-6300000
66,Other Total Stockholders Equity,- -,78300000,99400000,21400000,- -,278800000,242300000,262000000,- -,541800000
67,Total Stockholders Equity,- -,68700000,78800000,-91000000,- -,212800000,301800000,393200000,- -,795000000
68,Total Liabilities And Stockholders Equity,- -,544400000,555700000,671100000,- -,910700000,1168500000,1443300000,- -,1695700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,544400000,555700000,671100000,- -,910700000,1168500000,1443300000,- -,1695700000
71,SEC Link,undefined,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1650729/000165072918000005/0001650729-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1650729/000165072919000004/0001650729-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1650729/000165072920000004/0001650729-20-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1650729/000165072921000006/0001650729-21-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,64900000,33700000,21700000,28900000,- -,54600000,73900000,77700000,- -,121300000
74,Depreciation and Amortization,11000000,10200000,20300000,31200000,- -,43100000,52300000,59500000,- -,67200000
75,Deferred Income Tax,-24400000,22100000,600000,-7500000,- -,-16500000,-7100000,-3400000,- -,400000
76,Stock Based Compensation,- -,- -,2100000,3000000,- -,5900000,7900000,11700000,- -,10600000
77,Change in Working Capital,-14100000,4000000,-4000000,15200000,- -,91600000,86900000,-28000000,- -,28000000
78,Accounts Receivable,-1000000,-11600000,4100000,-11400000,- -,-40500000,-43400000,6100000,- -,2800000
79,Inventory,500000,-6100000,-6400000,3700000,- -,-31000000,-38500000,-3000000,- -,-7900000
80,Accounts Payable,-2300000,2200000,13500000,-8900000,- -,7100000,40400000,-29000000,- -,-4300000
81,Other Working Capital,282400000,286400000,282400000,297600000,- -,396100000,483000000,455000000,- -,483000000
82,Other Non-Cash Items,5900000,-28200000,12000000,200000,- -,-162400000,-135800000,13300000,- -,1900000
83,Cash Provided by Operating Activities,43300000,41800000,52700000,71000000,- -,16300000,78100000,130800000,- -,229400000
84,CAPEX,-5200000,-3200000,-4300000,-10500000,- -,-16000000,-19900000,-21400000,- -,-25800000
85,Acquisitions Net,-9600000,- -,-22700000,-100700000,- -,-82900000,-147700000,-71500000,- -,-159400000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1600000,200000,100000,200000,- -,-1200000,-1500000,-900000,- -,-6200000
89,Cash Used for Investing Activites,-13200000,-3000000,-26900000,-111000000,- -,-98600000,-164100000,-91900000,- -,-184200000
90,Debt Repayment,-4400000,-2100000,-39500000,-5100000,- -,-953800000,-766500000,-315000000,- -,-559500000
91,Common Stock Issued,- -,- -,5300000,2200000,- -,2700000,6700000,8400000,- -,271500000
