,https://roic.ai/company/CELH,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,1644780,2589887,5867895,8312960,- -,7684005,10612900,14610090,17217944,22760987,36164064,52603986,75146546,130725777,314271559
2,COGS,- -,- -,1833184,3063142,7217601,- -,5371123,6539794,9011923,10177986,13031153,20733387,31543608,43844733,69752032,186103035
3,Gross Profit,- -,- -,756703,2804753,1095359,- -,2312882,4073106,5598167,7039958,9729834,15430677,21060378,31301813,60973745,128168524
4,Gross Profit Ratio,- -,- -,0.2922,0.4780,0.1318,- -,0.3010,0.3838,0.3832,0.4089,0.4275,0.4267,0.4004,0.4165,0.4664,0.4078
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,1740143,2256800,4705393,- -,1839833,1547747,2305086,3165573,3899031,6899275,10487592,11620534,18187406,57519745
7,Selling and Marketing Exp.,- -,- -,3936552,8001697,15187499,- -,3035836,3947618,4823014,5701845,8675763,16611369,21213530,21129722,34875339,74738295
8,"Selling, General and Administrative Exp.",- -,4155197,5676695,10258497,19892892,- -,4875669,5495365,7128100,8867418,12574794,23510644,31701122,32750256,53062745,132258040
9,Other Expenses,12960,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81500,- -
10,Operating Expenses,12960,4155197,5676695,10258497,19892892,- -,4875669,5495365,7128100,8867418,12574794,23510644,31701122,32750256,53144245,132258040
11,COGS and Expenses,12960,4155197,7509879,13321639,27110493,- -,10246792,12035159,16140023,19045404,25605947,44244031,63244730,76594989,122896277,318361075
12,Interest Income ,- -,- -,70441,16337,18412,- -,- -,- -,- -,- -,- -,- -,- -,381728,355821,- -
13,Interest Expense (Gain),- -,181453,412049,321622,395925,- -,- -,- -,497203,322344,228750,160616,188856,1393483,1024232,- -
14,Depreciation and Amortization,- -,19390,31605,55103,50229,- -,41500,41513,37256,33043,16951,20425,72162,893413,1738829,- -
15,EBITDA,-12960,-3524998,-4817946,-7382304,-19051248,- -,-2773402,-1737856,-1492677,-1794417,-2821914,-8059542,-10945630,12258156,11403087,-4058447
16,EBITDA ratio,-Infinity,-2.1431,-1.8603,-1.2581,-2.2918,- -,-0.3609,-0.1637,-0.1022,-0.1042,-0.1240,-0.2229,-0.2081,0.1631,0.0872,-0.0129
17,Operating Income,-12960,-3544388,-4919992,-7453744,-18797533,- -,-2562787,-1422259,-1529933,-1827460,-2844960,-8079967,-10640744,-1448443,7911000,-4089516
