,https://roic.ai/company/LBTI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,32676082,82563869,125406862,65221104,47850292,44709526,34075959,2629500,94338,772158,6029147,6742474,7565802,6166318
2,COGS,- -,- -,21717735,53467805,80694945,44559093,32481271,40401380,32941074,5931602,964442,606000,5147641,5647314,6669324,4808965
3,Gross Profit,- -,- -,10958347,29096064,44711917,20662011,15369021,4308146,1134885,-3302102,-870104,166158,881506,1095160,896478,1357353
4,Gross Profit Ratio,- -,- -,0.3354,0.3524,0.3565,0.3168,0.3212,0.0964,0.0333,-1.2558,-9.2233,0.2152,0.1462,0.1624,0.1185,0.2201
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,1851693,6986116,9461212,25167249,12345739,10400324,7767391,2269603,1018443,1200971,254865,1192066,1094269,1220467
7,Selling and Marketing Exp.,- -,- -,1564977,3934749,8559665,9514588,9922607,6864059,6563729,1541933,195406,121437,294892,363282,186316,53583
8,"Selling, General and Administrative Exp.",- -,30264,3416670,10920865,18020877,34681837,22268346,17264383,14331120,3811536,1213849,1322408,549757,1555348,1280585,1274050
9,Other Expenses,- -,- -,- -,- -,- -,- -,21006412,26647101,-1193674,18369,- -,1300848,- -,-410672,-192992,4477915
10,Operating Expenses,- -,30264,3416670,10920865,18020877,34681837,43274758,43911484,13137446,3829905,1213849,2623256,549757,1144676,1087593,5751965
11,COGS and Expenses,- -,30264,25134405,64388670,98715822,79240930,75756029,84312864,46078520,9761507,2178291,3229256,5697398,6791990,7756917,10560930
12,Interest Income ,- -,- -,405266,409221,433534,243810,164454,159972,161123,6036,3674,2944,- -,- -,2713,4074
13,Interest Expense (Gain),- -,- -,314192,548686,181101,925250,1548937,1816456,1792765,449663,526874,440842,8183,7439,3471,- -
14,Depreciation and Amortization,- -,- -,252598,635368,1011815,1678653,1892084,2151325,816240,441431,304807,16756,322486,311057,324338,361899
15,EBITDA,- -,-30264,8195790,19484769,28424471,-21169910,-25282437,-36605624,-6910266,-42263651,-7565015,-2451827,891487,7553411,192217,-3801884
16,EBITDA ratio,- -,-Infinity,0.2508,0.2360,0.2267,-0.3246,-0.5284,-0.8187,-0.2028,-16.0729,-80.1905,-3.1753,0.1479,1.1203,0.0254,-0.6166
17,Operating Income,- -,-30264,7541677,15430848,26691040,-22976139,-29989323,-39603338,-12002561,-7132007,-2083953,-2457098,331749,-460188,-384107,-4394612
18,Operating Income ratio,- -,-Infinity,0.2308,0.1869,0.2128,-0.3523,-0.6267,-0.8858,-0.3522,-2.7123,-22.0903,-3.1821,0.0550,-0.0683,-0.0508,-0.7127
19,Total Other Income Expenses (Gains),- -,- -,93289,2858186,460702,-1265921,1236968,-1289971,-834536,-323162,-494291,-404477,229069,403233,234113,230829
20,Income Before Tax,- -,- -,7634966,18289034,27151742,-24242060,-28752355,-40893309,-12837097,-7455169,-2578244,-2861575,560818,-56955,-149994,-4163783
21,Income Before Tax Ratio,- -,- -,0.2337,0.2215,0.2165,-0.3717,-0.6009,-0.9146,-0.3767,-2.8352,-27.3299,-3.7059,0.0930,-0.0084,-0.0198,-0.6752
