,https://roic.ai/company/EYEN,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,2000000,14000000
2,COGS,- -,- -,- -,- -,- -,800000,1600000
3,Gross Profit,- -,- -,- -,- -,- -,1200000,12400000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.6000,0.8857
5,Research and Development Exp.,2783200,2966165,3816732,11119096,14102449,13263817,14509525
6,General and Administrative Exp.,1486401,568775,1315635,6137347,7206095,7725408,10794158
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1486401,568775,1315635,6137347,7206095,7725408,10794158
9,Other Expenses,- -,- -,- -,- -,- -,-10000,- -
10,Operating Expenses,4269601,3534940,5132367,17256443,21308544,20979225,25303683
11,COGS and Expenses,4269601,3534940,5132367,17256443,21308544,21779225,26903683
12,Interest Income ,2412,1497,2380,- -,151786,26400,2516
13,Interest Expense (Gain),- -,- -,- -,- -,- -,17042,387756
14,Depreciation and Amortization,9698,12802,25466,19129,15343,95415,221563
15,EBITDA,-4259903,-3522138,-5106901,-17237314,-21293201,-19657410,-12169068
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.8287,-0.8692
17,Operating Income,-4269601,-3534940,-5132367,-17256443,-21308544,-19789225,-12903683
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.8946,-0.9217
19,Total Other Income Expenses (Gains),2412,1497,2380,3335,151786,19358,125296
20,Income Before Tax,-4267189,-3533443,-5129987,-17253108,-21156758,-19769867,-12778387
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.8849,-0.9127
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4267189,-3533443,-5129987,-17253108,-21156758,-19769867,-12778387
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.8849,-0.9127
25,EPS,-0.43,-0.36,-0.52,-1.82,-1.47,-0.94,-0.61
26,EPS Diluted,-0.43,-0.36,-0.52,-1.82,-1.47,-0.94,-0.61
27,Weighted Average Shares Outstanding,9936771,9936771,9936737,9476706,14349738,21054706,21054706
28,Weighted Average Shares Outstanding Diluted,9936771,9936771,9936737,9476706,14349738,21054706,21054706
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1682639/000114420419016350/0001144204-19-016350-index.html,https://www.sec.gov/Archives/edgar/data/1682639/000110465920040118/0001104659-20-040118-index.html,https://www.sec.gov/Archives/edgar/data/1682639/000110465921043991/0001104659-21-043991-index.htm,https://www.sec.gov/Archives/edgar/data/1682639/000141057822000649/0001410578-22-000649-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,2492611,3387288,5249511,19728200,14152601,28371828,19461850
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2492611,3387288,5249511,19728200,14152601,28371828,19461850
34,Net Receivables,- -,- -,- -,- -,95233,2966039,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,312833,2335,37149,132756,101447,2053478,- -
37,Total Current Assets,2805444,3389623,5286660,19860956,14349281,33391345,19461850
38,PP&E,12875,43192,27960,36738,230538,396380,1271225
