,https://roic.ai/company/MODD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332642,1882345,3034152,4083303
6,General and Administrative Exp.,20000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331661,680486,2313870,3253412
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20000,20000,- -,6207,14289,8906,6482,6716,9400,7668,9174,9513,10920,10772,16115,13163,91051,331661,680486,2313870,3253412
9,Other Expenses,10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1861,14468,- -,- -
10,Operating Expenses,30000,10000,- -,6207,14289,8906,6482,6716,9400,7668,9174,9513,10920,10772,16115,13163,91051,666164,2577299,5348022,7336715
11,COGS and Expenses,30000,10000,- -,6207,14289,8906,6482,6716,9400,7668,9174,9513,10920,10772,16115,13163,91051,666164,2577299,5348022,7336715
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8518,39390,28749,130
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7979,9870,12022,14879,17921,15508,- -,- -,- -,39791
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1861,14468,35431,181841
15,EBITDA,-30000,-10000,- -,-6207,-14289,-8906,-6482,-6716,-9400,-7668,-9174,-9513,-10920,-10772,-16115,-13163,-91051,-664303,-2562831,-5312591,-7154744
16,EBITDA ratio,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-20000,-10000,- -,-6207,-14289,-8906,-6482,-6716,-9400,-7668,-9174,-9513,-10920,-10772,-16115,-13163,-91051,-666164,-2577299,-5348022,-7336715
18,Operating Income ratio,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7979,-9870,-12022,-14879,-17921,-15508,8518,39390,28749,-39661
20,Income Before Tax,-30000,-10000,- -,-6207,-14289,-8906,-6482,-6716,- -,- -,-9174,-17492,-20790,-22794,-30994,-31084,-106559,-657646,-2537909,-5319273,-7376376
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600,1589,1600,1600
23,Net Income,-30000,-10000,- -,-6207,-14289,-8906,-6482,-6716,-9400,-7668,-9174,-17492,-20790,-22794,-30994,-31084,-106559,-659246,-2539498,-5320873,-7377976
24,Net Income ratio,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.08,-0.03,-0.01,-0.03,-0.03,-0.10,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.06,-0.06,-0.06,-0.06,-0.09,-0.15,-0.46,-0.90,-1.20
26,EPS Diluted,-0.08,-0.03,-0.01,-0.03,-0.03,-0.10,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.06,-0.06,-0.06,-0.06,-0.09,-0.15,-0.46,-0.90,-1.20
27,Weighted Average Shares Outstanding,360000,390000,390000,458066,834778,380973,416604,416604,416604,416604,416604,416604,416604,416604,416604,416604,1166665,4445431,5529872,5954917,6211555
28,Weighted Average Shares Outstanding Diluted,360000,390000,390000,458066,834778,380973,416604,416604,416604,416604,416604,416604,416604,416604,416604,416604,1166665,4445431,5529872,5954917,6211555
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1074871/000101905621000387/0001019056-21-000387-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1372400,4296676,6553768,3122134,1468465
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1372400,4296676,6553768,3122134,1468465
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,- -,- -,16804,15590,64159,180624
37,Total Current Assets,- -,- -,- -,76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,- -,1372400,4313480,6569358,3186293,1649089
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13259,75948,572258,499082
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213,180,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500,7500,100000,100000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20972,83628,672258,599082
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,- -,1372400,4334452,6652986,3858551,2248171
48,Accounts Payable,- -,- -,- -,11050,23763,31169,- -,- -,53767,61435,578,80122,- -,1550,- -,- -,- -,14955,- -,367019,169284
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92214,2627733
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,10000,- -,- -,- -,37651,44367,- -,- -,70031,7979,108891,130135,165179,193763,74420,516,178929,202160,499948
53,Total Current Liabilities,- -,- -,10000,11050,23763,31169,37651,44367,53767,61435,70609,88101,108891,131685,165179,193763,74420,15471,178929,661393,3296965
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178736,184355
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140000,42000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318736,226355
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270950,309855
61,Total Liabilities,- -,- -,10000,11050,23763,31169,37651,44367,53767,61435,70609,88101,108891,131685,165179,193763,74420,15471,178929,980129,3523320
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1374,2874,4374,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,3500,15983,17840,17870,18906
64,Retained Earnings,- -,-80000,-90000,-92052,-106341,-115247,-121729,-128445,-137845,-145513,-154687,-172179,-192969,-215763,-246757,-277841,-384400,-708663,-3248161,-8569034,-15947010
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,80000,79704,79704,79704,82828,82828,82828,82828,82828,82828,82828,82828,82828,82828,1678880,5011661,9704378,11429586,14652955
67,Total Stockholders Equity,- -,- -,-10000,-10974,-23763,-31169,-37651,-44367,-53767,-61435,-70609,-88101,-108891,-131685,-162679,-193763,1297980,4318981,6474057,2878422,-1275149
68,Total Liabilities And Stockholders Equity,- -,- -,- -,76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,- -,1372400,4334452,6652986,3858551,2248171
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,- -,1372400,4334452,6652986,3858551,2248171
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1074871/000101905621000387/0001019056-21-000387-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-30000,-10000,- -,-6207,-14289,-8906,-6482,-6716,-9400,-7668,-9174,-17492,-20790,-22794,-30994,-31084,-106559,-659246,-2539498,-5320873,-7377976
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1861,14468,35431,181841
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,532108,801244,1227578
77,Change in Working Capital,-20000,- -,-10000,-974,-12789,-7406,-6482,-6716,-9400,-7668,-9174,-17492,-20790,-22794,-30994,-31084,1491743,3000029,2092420,-3865529,-4172776
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,578,-578,- -,1550,-1550,- -,- -,-109748,- -,- -,- -
81,Other Working Capital,- -,- -,-10000,-10974,-23763,-31169,-37651,-44367,-53767,-61435,-70609,-88101,-108891,-131685,-162679,-193763,1297980,4298009,6390429,2524900,-1647876
82,Other Non-Cash Items,10000,- -,10000,7097,27002,16312,12964,13432,18800,15336,18348,34984,41580,45588,61988,62168,-1479994,-3133775,-1907432,4254888,4232671
83,Cash Provided by Operating Activities,-40000,-10000,- -,-84,-76,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94810,-791131,-1807934,-4094839,-5908662
84,CAPEX,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15332,-77124,-260789,-109669
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
