,https://roic.ai/company/AMMJ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,170000,70000,70000,90000,20000,1160000,470000,90000,70000,50000,290000,339256,- -,- -,- -,3949624,7770000,1259010,2799890,1560870,2443060,982350,2130740,1569794
2,COGS,- -,130000,50000,40000,40000,60000,340000,230000,200000,10000,10000,40000,49385,- -,- -,- -,2518980,6670000,771480,2000110,691580,805820,523850,791780,849115
3,Gross Profit,- -,40000,20000,30000,50000,-40000,820000,240000,-110000,60000,40000,250000,289871,- -,- -,- -,1430644,1100000,487530,799780,869290,1637240,458500,1338960,720679
4,Gross Profit Ratio,- -,0.2353,0.2857,0.4286,0.5556,-2.0000,0.7069,0.5106,-1.2222,0.8571,0.8000,0.8621,0.8544,- -,- -,- -,0.3622,0.1416,0.3872,0.2856,0.5569,0.6702,0.4667,0.6284,0.4591
5,Research and Development Exp.,- -,80000,60000,20000,70000,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12860,51120,2550,2400,590,350,- -
6,General and Administrative Exp.,- -,680000,670000,580000,1390000,2050000,2610000,2140000,880000,740000,700000,1690000,20000,90000,30000,20000,733850,5160000,3675316,994156,1311673,1077448,889279,1049068,1040872
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190164,307474,88047,278542,293241,309232,298937
8,"Selling, General and Administrative Exp.",- -,680000,670000,580000,1388968,2050974,3781222,2135596,882992,741958,698952,1692867,20405,87790,34280,18737,733850,5021094,3865480,1301630,1399720,1355990,1182520,1358300,1339809
9,Other Expenses,- -,2210000,10000,1000000,62251,52518,9059,6712,9570,6817,7032,8012,- -,- -,- -,- -,283374,138966,- -,-10,-2,893855,73740,73511,- -
10,Operating Expenses,- -,2970000,740000,1600000,1521219,2103492,3800281,2152308,892562,748775,705984,1700879,20405,87790,34280,18737,1017224,5160060,3878340,1352740,1402268,2252245,1256850,1432161,1339809
11,COGS and Expenses,- -,3100000,790000,1640000,2790000,3370000,3080000,2410000,1090000,760000,710000,1740000,20000,80000,-370000,20000,3536204,11830000,4614820,3280080,2101490,2282660,1706960,2150430,2188924
12,Interest Income ,- -,- -,- -,- -,- -,- -,19450,- -,20523,4940,4940,1893,- -,5867,4023,- -,- -,521,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,410000,20000,150000,820000,380000,-60000,-120000,-230000,-210000,-250000,-910000,-100000,-440000,-210000,-210000,49001,-99340,-263388,-35460,-72860,9290,-50,- -,1786
14,Depreciation and Amortization,- -,10000,10000,60000,67687,48670,9303,7962,6894,6465,7032,8011,333902,- -,- -,- -,- -,90097,1077,3575,5173,4487,3745,6533,13937
15,EBITDA,- -,-2100000,-670000,-1410000,-1202313,-2541330,-2100697,-2162038,-543106,-563535,-1032968,-3201989,183902,-970000,-110000,-420000,23420,-4479243,-3881501,-547535,-671367,-1474693,-946995,-295207,-516690
16,EBITDA ratio,- -,-12.3529,-9.5714,-20.1429,-13.3590,-127.0665,-1.8109,-4.6001,-6.0345,-8.0505,-20.6594,-11.0413,0.5421,-Infinity,-Infinity,-Infinity,0.0059,-0.5765,-3.0830,-0.1956,-0.4301,-0.6036,-0.9640,-0.1385,-0.3291
17,Operating Income,- -,-2920000,-710000,-1570000,-1470189,-2138251,-2985739,-1905552,-996229,-690544,-660560,-1455637,-20405,-87790,-34280,-18737,413420,-4059727,-3390804,-552966,-532983,278846,-724607,-333864,-624040
18,Operating Income ratio,- -,-17.1765,-10.1429,-22.4286,-16.3354,-106.9125,-2.5739,-4.0544,-11.0692,-9.8649,-13.2112,-5.0194,-0.0601,-Infinity,-Infinity,-Infinity,0.1047,-0.5225,-2.6932,-0.1975,-0.3415,0.1141,-0.7376,-0.1567,-0.3975
19,Total Other Income Expenses (Gains),- -,410000,20000,-50000,-619811,-821749,935739,-134448,686229,380544,-129440,-844363,-1799595,-442210,134280,-191263,-439001,-410273,-228386,37316,-70697,-1767316,-226083,32124,91627
20,Income Before Tax,- -,-2510000,-690000,-1620000,-2090000,-2960000,-2050000,-2040000,-310000,-310000,-790000,-2300000,-1820000,-530000,100000,-210000,-25581,-4470000,-3619190,-515650,-603680,-1488470,-950690,-301740,-532413
21,Income Before Tax Ratio,- -,-14.7647,-9.8571,-23.1429,-23.2222,-148.0000,-1.7672,-4.3404,-3.4444,-4.4286,-15.8000,-7.9310,-5.3647,-Infinity,Infinity,-Infinity,-0.0065,-0.5753,-2.8746,-0.1842,-0.3868,-0.6093,-0.9678,-0.1416,-0.3392
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303679,30000,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-2520000,-700000,-1620000,-2090000,-2970000,-2050000,-2050000,-320000,-360000,-790000,-2300000,-50000,-530000,100000,-210000,-329260,-4500000,-3619190,-515650,-603680,-1488470,-950690,-301740,-532413
24,Net Income ratio,- -,-14.8235,-10.0000,-23.1429,-23.2222,-148.5000,-1.7672,-4.3617,-3.5556,-5.1429,-15.8000,-7.9310,-0.1474,-Infinity,Infinity,-Infinity,-0.0834,-0.5792,-2.8746,-0.1842,-0.3868,-0.6093,-0.9678,-0.1416,-0.3392
25,EPS,- -,-0.03,-0.01,-0.02,-847.46,-932.20,-508.47,-169.49,-23.45,-26.07,-84.75,-84.75,-0.40,-1.83,0.34,-0.73,-3.95,-0.24,-0.11,-0.01,-0.01,-0.03,-0.02,-0.01,-0.01
26,EPS Diluted,- -,-0.03,-0.01,-0.02,-847.46,-932.20,-508.47,-169.49,-23.45,-26.07,-84.75,-84.75,-0.40,-1.83,0.34,-0.73,-3.95,-0.24,-0.11,-0.01,-0.01,-0.03,-0.02,-0.01,-0.01
27,Weighted Average Shares Outstanding,- -,80652896,80652896,80652896,2460,3893,6756,12435,13367,13961,14523,38150,126307,288942,288942,288942,83333,19059940,32545546,44637046,46389474,51336522,51465188,52468502,57548474
28,Weighted Average Shares Outstanding Diluted,- -,80652896,80652896,80652896,2460,3893,6756,12435,13367,13961,14523,38150,126307,288942,291895,288942,83333,19059940,32545546,44637046,46389474,51336522,51465188,52468502,57548474
