,https://roic.ai/company/GTH,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,101033000,225176000,323425000,424485000,531950000
2,COGS,74211000,132450000,178435000,164268000,193983000
3,Gross Profit,26822000,92726000,144990000,260217000,337967000
4,Gross Profit Ratio,0.2655,0.4118,0.4483,0.6130,0.6353
5,Research and Development Exp.,45777000,71411000,91697000,148999000,253950000
6,General and Administrative Exp.,45486000,88233000,117169000,126318000,227001000
7,Selling and Marketing Exp.,94569000,182474000,253558000,246959000,343161000
8,"Selling, General and Administrative Exp.",140055000,270707000,370727000,373277000,570162000
9,Other Expenses,-4826000,-9928000,-10845000,-2267000,-5329000
10,Operating Expenses,181006000,332190000,451579000,520009000,818783000
11,COGS and Expenses,255217000,464640000,630014000,684277000,1012766000
12,Interest Income ,513000,1547000,441000,433000,20501000
13,Interest Expense (Gain),10669000,- -,11704000,5367000,5251000
14,Depreciation and Amortization,20612000,27858000,46586000,53195000,- -
15,EBITDA,-389358000,-437135000,-617744000,-3010481000,-490987000
16,EBITDA ratio,-3.8538,-1.9413,-1.9100,-7.0921,-0.9230
17,Operating Income,-152540000,-232976000,-306870000,-268376000,-517848000
18,Operating Income ratio,-1.5098,-1.0346,-0.9488,-0.6322,-0.9735
19,Total Other Income Expenses (Gains),-268099000,-232017000,-369164000,-2800667000,15250000
20,Income Before Tax,-420639000,-464993000,-676034000,-3069043000,-502598000
21,Income Before Tax Ratio,-4.1634,-2.0650,-2.0902,-7.2300,-0.9448
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-420639000,-464993000,-676034000,-3069043000,-496238000
24,Net Income ratio,-4.1634,-2.0650,-2.0902,-7.2300,-0.9329
25,EPS,-6.22,-6.73,-5.05,-50.90,-4.73
26,EPS Diluted,-6.22,-6.73,-5.05,-50.90,-4.62
27,Weighted Average Shares Outstanding,67679600,69072200,67679600,60275982,104899000
28,Weighted Average Shares Outstanding Diluted,67679600,69072200,67679600,60275982,107486000
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,42030000,62126000,139954000,1375766000,639042000
32,Short-Term Investments,252915000,38597000,122224000,140294000,151443000
33,Cash and Short-Term Investments,294945000,100723000,262178000,1516060000,790485000
34,Net Receivables,33859000,70859000,105367000,208338000,388380000
35,Inventory,12769000,21615000,17896000,24971000,35603000
36,Other Current Assets,25800000,37489000,43711000,36696000,32707000
37,Total Current Assets,367373000,230686000,429152000,1786065000,1247175000
38,PP&E,65303000,82551000,126195000,136597000,162359000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,3882000,3395000,5482000,12265000,- -
41,Intangible Assets,3882000,3395000,5482000,12265000,20695000
42,Investments,- -,- -,- -,19609000,49780000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4903000,7805000,12679000,15362000,37610000
45,Total Non-Current Assets,74088000,93751000,144356000,183833000,270444000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,441461000,324437000,573508000,1969898000,1517619000
48,Accounts Payable,8849000,11897000,49955000,34071000,55767000
49,Short-Term Debt,- -,- -,34877000,75168000,40126000
50,Tax Payable,706000,929000,4633000,1668000,- -
51,Deferred Revenue,3399000,8867000,18189000,28183000,11962000
52,Other Current Liabilities,33380000,47007000,109717000,91422000,157235000
53,Total Current Liabilities,45628000,67771000,212738000,228844000,265090000
54,Long-Term Debt,- -,- -,32767000,48509000,33865000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1018019000,1320712000,2106334000,- -,8612000
58,Total Non-Current Liabilities,1018019000,1320712000,2139101000,48509000,42477000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,44487000,59601000,54437000
61,Total Liabilities,1063647000,1388483000,2351839000,277353000,307567000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,17000,59000,61000
64,Retained Earnings,-702950000,-1167943000,-1843977000,-4940375000,-5436613000
65,Other Comprehensive Income/Loss,91536000,112260000,69207000,-24701000,-69091000
66,Other Total Stockholders Equity,- -,- -,-3578000,6657562000,6711234000
67,Total Stockholders Equity,-622186000,-1064046000,-1778331000,1692545000,1205591000
68,Total Liabilities And Stockholders Equity,441461000,324437000,573508000,1969898000,1513158000
69,Minority Interest,- -,- -,- -,- -,4461000
70,Total Liabilities & Equity,441461000,324437000,573508000,1969898000,1517619000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-420639000,-464993000,-676034000,-3069043000,- -
74,Depreciation and Amortization,20612000,27858000,46586000,53195000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,20695000,29644000,35884000,29951000,- -
77,Change in Working Capital,-17556000,-20601000,26964000,-124574000,- -
78,Accounts Receivable,-6925000,-27410000,-48151000,-95719000,- -
79,Inventory,-9225000,-8846000,3719000,-7075000,- -
80,Accounts Payable,1847000,2938000,26633000,-9073000,- -
81,Other Working Capital,2253000,5468000,9322000,-9772000,- -
82,Other Non-Cash Items,266968000,227076000,369643000,2809574000,- -
83,Cash Provided by Operating Activities,-129920000,-201016000,-196957000,-300897000,- -
84,CAPEX,-21334000,-47425000,-25584000,-50026000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-890020000,-895140000,-479100000,-1729357000,- -
87,Sales/Maturities of Investments,713361000,1116604000,396420000,1695028000,- -
88,Other Investing Activites,-2167000,-6065000,7196000,-13665000,- -
89,Cash Used for Investing Activites,-197993000,171489000,-96807000,-84649000,- -
90,Debt Repayment,-21000000,- -,-57084000,-40280000,- -
91,Common Stock Issued,2174000,- -,18000,1676816000,- -
92,Common Stock Repurchased,- -,- -,-54479000,-4102000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,370331000,49400000,483276000,112078000,- -
95,Cash Used/Provided by Financing Activities,351505000,49400000,371731000,1744512000,- -
96,Effect of Forex Changes on Cash,78000,223000,-139000,-123154000,- -
97,Net Change In Cash,23670000,20096000,77828000,1235812000,- -
98,Cash at the End of Period,42030000,62126000,139954000,1375766000,- -
99,Cash at the Beginning of Period,18360000,42030000,62126000,139954000,- -
100,Free Cash Flow,-151254000,-248441000,-222541000,-350923000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
