,https://roic.ai/company/LYFT,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,343298000,1059881000,2156616000,3615960000,2364681000,3208323000
2,COGS,279011000,659533000,1243400000,2176469000,1447516000,1649532000
3,Gross Profit,64287000,400348000,913216000,1439491000,917165000,1558791000
4,Gross Profit Ratio,0.1873,0.3777,0.4234,0.3981,0.3879,0.4859
5,Research and Development Exp.,64704000,136646000,300836000,1505640000,909126000,911946000
6,General and Administrative Exp.,159962000,221446000,447938000,1186093000,946127000,915638000
7,Selling and Marketing Exp.,434344000,567015000,803751000,814122000,416331000,411406000
8,"Selling, General and Administrative Exp.",594306000,788461000,1251689000,2000215000,1362458000,1327044000
9,Other Expenses,97880000,183513000,338402000,636116000,453963000,402233000
10,Operating Expenses,756890000,1108620000,1890927000,4141971000,2725547000,2641223000
11,COGS and Expenses,1035901000,1768153000,3134327000,6318440000,4173063000,4290755000
12,Interest Income ,- -,20243000,- -,102506000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,32678000,51635000
14,Depreciation and Amortization,527000,2611000,18752000,108429000,157353000,139347000
15,EBITDA,-681866000,-685134000,-891845000,-2491456000,-1607360000,-807152000
16,EBITDA ratio,-1.9862,-0.6464,-0.4135,-0.6890,-0.6797,-0.2516
17,Operating Income,-692603000,-708272000,-977711000,-2702480000,-1808382000,-1082432000
18,Operating Income ratio,-2.0175,-0.6683,-0.4534,-0.7474,-0.7647,-0.3374
19,Total Other Income Expenses (Gains),10210000,20527000,67114000,102595000,10991000,84298000
20,Income Before Tax,-682393000,-687745000,-910597000,-2599885000,-1797391000,-998134000
21,Income Before Tax Ratio,-1.9878,-0.6489,-0.4222,-0.7190,-0.7601,-0.3111
22,Income Tax expense (Gain),401000,556000,738000,2356000,-44534000,11225000
23,Net Income,-682794000,-688301000,-911335000,-2602241000,-1752857000,-1009359000
24,Net Income ratio,-1.9889,-0.6494,-0.4226,-0.7197,-0.7413,-0.3146
25,EPS,-2.87,-2.89,-3.83,-11.44,-5.61,-3.02
26,EPS Diluted,-2.87,-2.89,-3.83,-11.44,-5.61,-3.02
27,Weighted Average Shares Outstanding,237946000,237946000,237946000,227498000,312175000,334724000
28,Weighted Average Shares Outstanding Diluted,237946000,237946000,237946000,227498000,312175000,334724000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1759509/000175950920000009/0001759509-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1759509/000175950921000011/0001759509-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1759509/000175950922000016/0001759509-22-000016-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,1106102000,517690000,358319000,319734000,457325000
32,Short-Term Investments,- -,1284642000,1520180000,2491805000,1931334000,1796533000
33,Cash and Short-Term Investments,- -,2390744000,2037870000,2850124000,2251068000,2253858000
34,Net Receivables,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,172951000,282572000,397239000,343070000,522212000
37,Total Current Assets,- -,2563695000,2320442000,3247363000,2594138000,2776070000
38,PP&E,- -,14208000,109257000,629861000,589053000,521607000
39,Goodwill,- -,- -,152085000,158725000,182687000,180516000
40,Intangible Assets,- -,4349000,117733000,82919000,65845000,50765000
41,Intangible Assets,- -,4349000,269818000,241644000,248532000,231281000
42,Investments,- -,360882000,863713000,1361045000,10000000,80411000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,73593000,196813000,211470000,1237241000,1164515000
45,Total Non-Current Assets,- -,453032000,1439601000,2444020000,2084826000,1997814000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3016727000,3760043000,5691383000,4678964000,4773884000
48,Accounts Payable,- -,66874000,32343000,38839000,84108000,129542000
49,Short-Term Debt,- -,- -,- -,94199000,105846000,53765000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,629944000,1864879000,2318327000,1884517000,2280269000
53,Total Current Liabilities,- -,696818000,1897222000,2451365000,2074471000,2463576000
54,Long-Term Debt,- -,- -,- -,- -,644236000,865405000
