,https://roic.ai/company/HRMY,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,5995000,159742000,305440000
2,COGS,- -,1577000,27738000,55518000
3,Gross Profit,- -,4418000,132004000,249922000
4,Gross Profit Ratio,- -,0.7369,0.8264,0.8182
5,Research and Development Exp.,12372000,69595000,19448000,30367000
6,General and Administrative Exp.,12206000,36409000,39746000,63909000
7,Selling and Marketing Exp.,16861000,44318000,55824000,68118000
8,"Selling, General and Administrative Exp.",29067000,80727000,95570000,132027000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,41439000,150322000,115018000,162394000
11,COGS and Expenses,41439000,151899000,142756000,217912000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,28220000,23970000
14,Depreciation and Amortization,184000,3210000,10237000,18840000
15,EBITDA,-41255000,-148767000,1513000,80238000
16,EBITDA ratio,-Infinity,-24.8152,0.0095,0.2627
17,Operating Income,-41439000,-145904000,16986000,87528000
18,Operating Income ratio,-Infinity,-24.3376,0.1063,0.2866
19,Total Other Income Expenses (Gains),1541000,-6073000,-53930000,-50100000
20,Income Before Tax,-39898000,-151977000,-36944000,37428000
21,Income Before Tax Ratio,-Infinity,-25.3506,-0.2313,0.1225
22,Income Tax expense (Gain),- -,- -,- -,2831000
23,Net Income,-39898000,-151977000,-36944000,34597000
24,Net Income ratio,-Infinity,-25.3506,-0.2313,0.1133
25,EPS,-1.42,-3.09,-2.48,0.70
26,EPS Diluted,-1.42,-3.09,-2.48,0.70
27,Weighted Average Shares Outstanding,49239211,49239211,25772419,57722163
28,Weighted Average Shares Outstanding Diluted,49239211,49239211,25772419,57722163
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1802665/000156459021015274/0001564590-21-015274-index.htm,https://www.sec.gov/Archives/edgar/data/1802665/000155837022002257/0001558370-22-002257-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,83523000,24457000,228631000,234309000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,83523000,24457000,228631000,234309000
34,Net Receivables,- -,4255000,22176000,34843000
35,Inventory,- -,1088000,3823000,4432000
36,Other Current Assets,3161000,1697000,8261000,10855000
37,Total Current Assets,86684000,31497000,262891000,284439000
38,PP&E,1576000,1330000,938000,820000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,72185000,162343000,143919000
41,Intangible Assets,- -,72185000,162343000,143919000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,1022000,1691000,902000,4265000
45,Total Non-Current Assets,2598000,75206000,164183000,149004000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,89282000,106703000,427074000,433443000
48,Accounts Payable,1462000,6360000,2556000,1001000
49,Short-Term Debt,- -,- -,- -,2000000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,5769000,13532000,131983000,50774000
53,Total Current Liabilities,7231000,19892000,134539000,53775000
54,Long-Term Debt,- -,97946000,194250000,189984000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,523000,450000,1105000,3177000
58,Total Non-Current Liabilities,523000,98396000,195355000,193161000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,7754000,118288000,329894000,246936000
62,Preferred Stock,324201000,411277000,- -,- -
63,Common Stock,- -,- -,1000,1000
64,Retained Earnings,-242673000,-422862000,-488195000,-453598000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -
66,Other Total Stockholders Equity,324201000,411277000,585374000,640104000
67,Total Stockholders Equity,81528000,-11585000,97180000,186507000
68,Total Liabilities And Stockholders Equity,89282000,106703000,427074000,433443000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,89282000,106703000,427074000,433443000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1802665/000156459021015274/0001564590-21-015274-index.htm,https://www.sec.gov/Archives/edgar/data/1802665/000155837022002257/0001558370-22-002257-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-39898000,-151977000,-36944000,34597000
74,Depreciation and Amortization,184000,3210000,10237000,18840000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,1079000,9909000,4693000,15659000
77,Change in Working Capital,-164000,-67848000,116747000,631000
78,Accounts Receivable,- -,-4255000,-17922000,-12667000
79,Inventory,- -,-1088000,-2735000,-609000
80,Accounts Payable,-610000,4898000,-3804000,-1555000
81,Other Working Capital,79453000,11605000,128352000,- -
82,Other Non-Cash Items,- -,131270000,-97718000,28830000
83,Cash Provided by Operating Activities,-38799000,-75436000,-2985000,98557000
84,CAPEX,-1342000,-127149000,-2002000,-100298000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,-127000000,-2000000,-100000000
89,Cash Used for Investing Activites,-1342000,-127149000,-2002000,-100298000
90,Debt Repayment,- -,- -,- -,-222500000
91,Common Stock Issued,- -,- -,147628000,30000000
92,Common Stock Repurchased,-3200000,- -,-167000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,24815000,143769000,61700000,199919000
95,Cash Used/Provided by Financing Activities,21615000,143769000,209161000,7419000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-18526000,-58816000,204174000,5678000
98,Cash at the End of Period,84023000,25207000,229381000,235059000
99,Cash at the Beginning of Period,102549000,84023000,25207000,229381000
100,Free Cash Flow,-40141000,-202585000,-4987000,-1741000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1802665/000156459021015274/0001564590-21-015274-index.htm,https://www.sec.gov/Archives/edgar/data/1802665/000155837022002257/0001558370-22-002257-index.htm
102,false,,,,
