,https://roic.ai/company/GBCS,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2130000,2370000,2240000,2870000,2860000,2310000,2410000,1870000,7300000,7476699,9234097,11335393,9069000,7372000,5369000,2688000,2770073,3144877,3925431,3957477,3578122,4402454,6387816,5952229,5516147,5154967,3137456,1853809,3406737,2859842,3129928,3623391,6929988,20929
2,COGS,1180000,1220000,1270000,1630000,1630000,1370000,1370000,- -,- -,- -,- -,1730049,2162000,2133000,1610000,2410000,2333540,2537693,2979263,3254304,3071360,3949039,5928092,5688807,5483885,5187881,2767080,- -,- -,- -,424348,790954,2760227,- -
3,Gross Profit,950000,1150000,970000,1240000,1230000,940000,1040000,1870000,7300000,- -,- -,9605344,6907000,5239000,3759000,278000,436533,607184,946168,703173,506762,453415,459724,263422,32262,-32914,370376,1853809,- -,- -,2705580,2832437,4169761,20929
4,Gross Profit Ratio,0.4460,0.4852,0.4330,0.4321,0.4301,0.4069,0.4315,1.0000,1.0000,- -,- -,0.8474,0.7616,0.7107,0.7001,0.1034,0.1576,0.1931,0.2410,0.1777,0.1416,0.1030,0.0720,0.0443,0.0058,-0.0064,0.1180,1.0000,- -,- -,0.8644,0.7817,0.6017,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1040000,920000,860000,1090000,1030000,780000,920000,3310000,7560000,6925559,8698312,8919236,6227000,5111000,3091000,139000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,809356,1284148,1791421,1001202,1099179,1298593,2088722
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1040000,920000,860000,1090000,1030000,780000,920000,3310000,7560000,6925559,8698312,8919236,6227000,5111000,3091000,139000,216285,153711,405221,220075,261297,215112,249213,317910,171886,374128,381800,809356,1284148,1791421,1001202,1099179,1298593,2088722
9,Other Expenses,-10000,70000,30000,50000,40000,30000,20000,510000,1290000,2051115,866193,2020920,852000,1511000,1359000,- -,- -,- -,841241,- -,- -,- -,- -,4917,- -,- -,- -,1064530,1666351,2054612,1239865,1258345,1507643,-2086633
10,Operating Expenses,1030000,990000,890000,1140000,1070000,810000,940000,3820000,8850000,8976674,9564505,10940156,7079000,6622000,4450000,139000,216285,153711,1246462,220075,261297,215112,249213,322827,171886,374128,381800,1873886,2950499,3846033,2241067,2357524,2806236,2089
11,COGS and Expenses,2210000,2210000,2160000,2770000,2700000,2180000,2310000,3820000,8850000,8976674,9564505,12670205,9241000,8755000,6060000,2549000,2549825,2691404,4225725,3474379,3332657,4164151,6177305,6011634,5655771,5562009,3148880,1873886,2950499,3846033,2665415,3148478,5566463,2089
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,144952,46743,- -,- -,- -,11000,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91373,82132,31978,13079,29983,56012,465
13,Interest Expense (Gain),- -,-160000,-220000,-220000,-170000,-100000,-60000,-620000,-630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157851,161262,108893,391777,- -,968613,2809272,2584860,2214796,2137887,2136701,2018428
14,Depreciation and Amortization,- -,50000,50000,70000,50000,50000,- -,370000,620000,826115,869696,1053533,852000,864000,718000,258000,276507,317587,629184,698024,480390,531600,612709,558950,432541,591567,718133,652956,1352979,1599377,1239865,1413356,1488162,1580300
15,EBITDA,-30000,-70000,-250000,-290000,-170000,10000,-20000,-3020000,-2050000,-1184963,1255712,-1235166,529000,29000,-267000,-1578000,766890,569762,1570787,815291,599467,655236,759093,-390455,-837997,174673,-1088823,2978716,827611,3032623,458121,1559080,2763249,3601690
16,EBITDA ratio,-0.0141,-0.0295,-0.1116,-0.1010,-0.0594,0.0043,-0.0083,-1.6150,-0.2808,-0.1585,0.1360,-0.1090,0.0583,0.0039,-0.0497,-0.5871,0.2768,0.1812,0.4002,0.2060,0.1675,0.1488,0.1188,-0.0656,-0.1519,0.0339,-0.3470,1.6068,0.2429,1.0604,0.1464,0.4303,0.3987,172.0934
17,Operating Income,-80000,150000,80000,100000,170000,130000,100000,-1950000,-1550000,-1499975,-333911,-1334812,-439000,-1383000,-691000,139000,220248,453473,540947,483098,245465,238303,210511,-949405,-1270538,-416894,-11424,-652381,-1344861,-57677,464513,474913,1300643,3374926
18,Operating Income ratio,-0.0376,0.0633,0.0357,0.0348,0.0594,0.0563,0.0415,-1.0428,-0.2123,-0.2006,-0.0362,-0.1178,-0.0484,-0.1876,-0.1287,0.0517,0.0795,0.1442,0.1378,0.1221,0.0686,0.0541,0.0330,-0.1595,-0.2303,-0.0809,-0.0036,-0.3519,-0.3948,-0.0202,0.1484,0.1311,0.1877,161.2583
19,Total Other Income Expenses (Gains),50000,-100000,-130000,-180000,-190000,-90000,-60000,-620000,-540000,- -,-388921,-326942,222000,941000,146000,-11000,270135,-201298,400656,4240,-126388,-114667,-221978,-890000,-108893,-391777,-502699,2099468,-2035280,-1234797,-3466131,-2481919,-2168674,-3371964
20,Income Before Tax,-30000,50000,-50000,-80000,-20000,40000,40000,-2570000,-2090000,- -,- -,- -,- -,- -,- -,128000,490383,252175,941603,- -,119077,123636,-11467,- -,-1379431,-808671,-514123,1447087,-3380141,-1292474,-3001618,-2007006,-868031,2962
21,Income Before Tax Ratio,-0.0141,0.0211,-0.0223,-0.0279,-0.0070,0.0173,0.0166,-1.3743,-0.2863,- -,- -,- -,- -,- -,- -,0.0476,0.1770,0.0802,0.2399,- -,0.0333,0.0281,-0.0018,- -,-0.2501,-0.1569,-0.1639,0.7806,-0.9922,-0.4519,-0.9590,-0.5539,-0.1253,0.1415
22,Income Tax expense (Gain),- -,10000,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-30000,30000,-80000,-140000,-50000,50000,40000,-2770000,-2040000,-2011078,386016,-2288699,-323000,-835000,-985000,-1791000,490383,252175,941603,117267,119077,123636,-11467,-1110667,-1379431,-808671,-1806956,1357147,-3334640,-1151614,-2996540,-1992163,-861614,2962
24,Net Income ratio,-0.0141,0.0127,-0.0357,-0.0488,-0.0175,0.0216,0.0166,-1.4813,-0.2795,-0.2690,0.0418,-0.2019,-0.0356,-0.1133,-0.1835,-0.6663,0.1770,0.0802,0.2399,0.0296,0.0333,0.0281,-0.0018,-0.1866,-0.2501,-0.1569,-0.5759,0.7321,-0.9788,-0.4027,-0.9574,-0.5498,-0.1243,0.1415
25,EPS,-0.21,0.21,-0.57,-0.93,-0.33,0.29,0.17,-4.01,-2.22,-18.00,2.90,-16.10,-3.90,-7.10,-7.20,-7.40,2.00,1.00,3.10,0.30,0.20,0.20,-0.10,-1.90,-2.20,-1.30,-2.60,0.70,-1.50,-0.50,-1.20,-0.80,-0.30,1.10
26,EPS Diluted,-0.21,0.21,-0.57,-0.93,-0.33,0.29,0.17,-4.01,-2.22,-18.00,2.90,-16.10,-3.90,-7.10,-7.20,-7.40,2.00,1.00,2.30,0.20,0.20,0.20,-0.10,-1.90,-2.20,-1.30,-2.60,0.60,-1.50,-0.50,-1.20,-0.80,-0.30,1.10
27,Weighted Average Shares Outstanding,140000,140000,140000,150000,150000,170000,240000,690000,920000,111067,135041,146037,152806,154636,163634,241107,243136,243136,306224,424662,515824,583600,594042,620320,653385,681861,708710,1945659,2199690,2335338,2584902,2691304,2728238,2724753
28,Weighted Average Shares Outstanding Diluted,140000,140000,140000,150000,150000,170000,240000,690000,920000,111067,135041,146037,152806,154636,163634,241107,247046,247046,415804,471341,527324,592308,594042,620320,653385,681861,708710,2200203,2199690,2335338,2584902,2691304,2728238,2763003
