,https://roic.ai/company/PRGO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,409800000,570800000,669300000,717100000,778100000,844600000,902600000,877600000,738555000,753488000,826322000,825987000,898204000,1024098000,1366821000,1447428000,1822131000,2006862000,2268870000,2755029000,3173249000,3539800000,4060800000,4603900000,5280600000,4946200000,4731700000,4837400000,5063300000,4138000000
2,COGS,278600000,390100000,456100000,496600000,547600000,587100000,641400000,670800000,561069000,568994000,614419000,596076000,630240000,763709000,969080000,1045803000,1271170000,1410865000,1522854000,1810159000,2077651000,2259800000,2613100000,2891400000,3228800000,2966700000,2900200000,3064100000,3248100000,2722000000
3,Gross Profit,131200000,180700000,213200000,220500000,230500000,257500000,261200000,206800000,177486000,184494000,211903000,229911000,267964000,260389000,397741000,401625000,550961000,595997000,746016000,944870000,1095598000,1280000000,1447700000,1712500000,2051800000,1979500000,1831500000,1773300000,1815200000,1416000000
4,Gross Profit Ratio,0.3202,0.3166,0.3185,0.3075,0.2962,0.3049,0.2894,0.2356,0.2403,0.2449,0.2564,0.2783,0.2983,0.2543,0.2910,0.2775,0.3024,0.2970,0.3288,0.3430,0.3453,0.3616,0.3565,0.3720,0.3886,0.4002,0.3871,0.3666,0.3585,0.3422
5,Research and Development Exp.,- -,- -,6200000,- -,- -,13700000,15900000,14900000,16314000,17634000,19892000,23315000,27721000,38419000,52293000,66480000,72191000,77922000,82509000,89250000,105774000,115200000,152500000,187800000,184000000,167700000,218600000,187400000,177700000,122000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231639000,270701000,- -,- -,426300000,466600000,452900000,452200000,461100000,435900000,503000000,496000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24203000,28388000,- -,- -,47500000,208600000,319000000,753300000,685400000,689900000,663100000,679500000,536000000
8,"Selling, General and Administrative Exp.",65300000,91800000,97900000,121300000,135100000,143100000,277700000,152800000,107602000,107969000,114243000,124546000,137347000,159261000,225270000,227463000,276192000,255842000,299089000,364382000,411843000,473800000,675200000,771900000,1205500000,1146500000,1125800000,1166100000,1175500000,536000000
9,Other Expenses,12000000,15400000,18900000,23700000,27200000,28600000,29400000,21100000,22245000,-18595000,-16367000,-3128000,- -,- -,- -,- -,- -,- -,- -,-42312000,- -,- -,218800000,15600000,- -,-41400000,5200000,4200000,-3700000,347000000
