,https://roic.ai/company/ALTR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,294129000,313240000,333333000,396379000,458915000,469921000,532179000
2,COGS,99208000,102600000,106591000,115973000,132599000,121305000,129666000
3,Gross Profit,194921000,210640000,226742000,280406000,326316000,348616000,402513000
4,Gross Profit Ratio,0.6627,0.6725,0.6802,0.7074,0.7111,0.7419,0.7563
5,Research and Development Exp.,62777000,71325000,93234000,97592000,117510000,126081000,151049000
6,General and Administrative Exp.,54069000,57202000,87979000,79751000,82178000,86432000,91500000
7,Selling and Marketing Exp.,63080000,66086000,79958000,80277000,106051000,111440000,132750000
8,"Selling, General and Administrative Exp.",117149000,123288000,167937000,160028000,188229000,197872000,224250000
9,Other Expenses,48000,580000,-1172000,-1858000,12370000,12950000,14875000
10,Operating Expenses,179974000,195193000,259999000,255762000,318109000,336903000,390174000
11,COGS and Expenses,279182000,297793000,366590000,371735000,450708000,458208000,519840000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2416000,2265000,2160000,200000,6371000,11598000,12065000
14,Depreciation and Amortization,8378000,9980000,11747000,14734000,21522000,23806000,25644000
15,EBITDA,22543000,25947000,-22504000,41958000,31281000,37436000,37421000
16,EBITDA ratio,0.0766,0.0828,-0.0675,0.1059,0.0682,0.0797,0.0703
17,Operating Income,14947000,15447000,-33257000,24644000,8207000,11713000,12339000
18,Operating Income ratio,0.0508,0.0493,-0.0998,0.0622,0.0179,0.0249,0.0232
19,Total Other Income Expenses (Gains),-3198000,-1745000,-3154000,2380000,-4819000,-9681000,-12627000
20,Income Before Tax,11749000,13702000,-36411000,27024000,3388000,2032000,-288000
21,Income Before Tax Ratio,0.0399,0.0437,-0.1092,0.0682,0.0074,0.0043,-0.0005
22,Income Tax expense (Gain),818000,3539000,62996000,13309000,10930000,12532000,8506000
23,Net Income,10931000,10163000,-99407000,13715000,-7542000,-10500000,-8794000
24,Net Income ratio,0.0372,0.0324,-0.2982,0.0346,-0.0164,-0.0223,-0.0165
25,EPS,0.22,0.25,-1.89,0.20,-0.11,-0.14,-0.12
26,EPS Diluted,0.22,0.21,-1.89,0.18,-0.11,-0.14,-0.12
27,Weighted Average Shares Outstanding,50255000,48852000,52466000,67468000,71544000,73241000,73241000
28,Weighted Average Shares Outstanding Diluted,50255000,57856000,52466000,74878000,71544000,73241000,73241000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701732/000119312518090811/0001193125-18-090811-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459019005799/0001564590-19-005799-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459020008059/0001564590-20-008059-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459021009427/0001564590-21-009427-index.htm,https://www.sec.gov/Archives/edgar/data/1701732/000156459022007651/0001564590-22-007651-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,13756000,16874000,39213000,35345000,223117000,241221000,413743000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13756000,16874000,39213000,35345000,223117000,241221000,413743000
34,Net Receivables,72896000,79567000,92689000,101234000,112248000,124614000,146949000
