,https://roic.ai/company/MITK,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10500000,18100000,23100000,27000000,18500000,13100000,10200000,6600000,8200000,4800000,6500000,9700000,9347940,9274188,13083183,11594063,5240312,6593845,6021106,5569940,5229448,3618615,5118901,10265975,9092683,14803185,19150345,25367496,34701000,45390000,63559000,84590000,101310000,119797000
2,COGS,7400000,12400000,14000000,16200000,11900000,8500000,5900000,2900000,2400000,1500000,1900000,1800000,2963547,2536685,3751287,6235694,1979890,1129694,1247546,633708,993549,669357,950145,1171734,1263920,1603599,2147925,2471198,3395000,4041000,8686000,12266000,13192000,14540000
3,Gross Profit,3100000,5700000,9100000,10800000,6600000,4600000,4300000,3700000,5800000,3300000,4600000,7900000,6384393,6737503,9331896,5358369,3260422,5464151,4773560,4936232,4235899,2949258,4168756,9094241,7828763,13199586,17002420,22896298,31306000,41349000,54873000,72324000,88118000,105257000
4,Gross Profit Ratio,0.2952,0.3149,0.3939,0.4000,0.3568,0.3511,0.4216,0.5606,0.7073,0.6875,0.7077,0.8144,0.6830,0.7265,0.7133,0.4622,0.6222,0.8287,0.7928,0.8862,0.8100,0.8150,0.8144,0.8859,0.8610,0.8917,0.8878,0.9026,0.9022,0.9110,0.8633,0.8550,0.8698,0.8786
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,1000000,1000000,1200000,4900000,1300000,1400000,2253124,1829749,2048676,2241804,2204101,1507510,1348721,1901215,1801633,1901327,2002399,2996109,6664030,6793412,6019573,5576806,7794000,10430000,15673000,19018000,22859000,28042000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,2500000,2700000,- -,3300000,4200000,5159254,5205886,6895755,5616435,5798540,4163108,3743448,3422455,3188566,1510506,1620357,3431023,5595843,7853264,9554381,7601857,8575000,11310000,17067000,19861000,22284000,22490000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,857088,929685,2410711,3450054,5852448,6836292,6457854,10937000,14484000,21700000,27405000,27646000,32497000
8,"Selling, General and Administrative Exp.",3200000,4400000,7200000,7900000,5600000,4200000,3700000,2500000,2700000,- -,3300000,4200000,5159254,5205886,6895755,5616435,5798540,4163108,3743448,3422455,3188566,2367594,2550042,5841734,9045897,13705712,16390673,14059711,19512000,25794000,38767000,47266000,49930000,54987000
9,Other Expenses,200000,300000,600000,900000,600000,1100000,800000,400000,400000,700000,500000,300000,431192,- -,- -,- -,-1270355,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3400000,4700000,7800000,8800000,6200000,5300000,5500000,3900000,4300000,5600000,5100000,5900000,7843570,7035635,8944431,7858239,6732286,5670618,5092169,5323670,4990199,4268921,4552441,8837843,15709927,20499124,22410246,19636517,27306000,36224000,54440000,66284000,72789000,83029000
11,COGS and Expenses,10800000,17100000,21800000,25000000,18100000,13800000,11400000,6800000,6700000,7100000,7000000,7700000,10807117,9572320,12695718,14093933,8712176,6800312,6339715,5957378,5983748,4938278,5502586,10009577,16973847,22102723,24558171,22107715,30701000,40265000,63126000,78550000,85981000,97569000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5071,1794,48584,277144,31770,124628,94737,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5572,298124,427547,239984,6862,6445,3299,- -,- -,- -,- -,- -,5129000
14,Depreciation and Amortization,200000,300000,600000,900000,600000,1100000,800000,400000,400000,700000,500000,300000,431192,570167,634352,441931,537418,619258,469900,39343,36084,83631,172598,179291,231981,323383,470697,605725,1388000,913000,4638000,8412000,7943000,8944000
15,EBITDA,-500000,700000,1300000,2200000,1000000,200000,-500000,300000,1700000,-1900000,-1000000,2300000,-1002423,228743,1031158,-2039605,-3306740,-408812,-246626,-343655,-709880,-1230961,-209293,484273,-7372039,-6944385,-4812501,2592143,3346000,4084000,-4103000,4424000,17352000,22875000
16,EBITDA ratio,-0.0476,0.0387,0.0563,0.0815,0.0541,0.0153,-0.0490,0.0455,0.2073,-0.3958,-0.1538,0.2371,-0.1072,0.0247,0.0788,-0.1759,-0.6310,-0.0620,-0.0410,-0.0617,-0.1357,-0.3402,-0.0409,0.0472,-0.8108,-0.4691,-0.2513,0.1022,0.0964,0.0900,-0.0646,0.0523,0.1713,0.1909
17,Operating Income,-300000,1000000,1300000,2000000,400000,-700000,-1200000,-200000,1500000,-2300000,-500000,2000000,-1459177,-298132,387465,-2499870,-3471864,-206467,-318609,-387438,-754300,-1319663,-383685,256398,-7881164,-7299538,-5407826,1891681,1824000,2769000,-7806000,-4590000,8868000,13277000
18,Operating Income ratio,-0.0286,0.0552,0.0563,0.0741,0.0216,-0.0534,-0.1176,-0.0303,0.1829,-0.4792,-0.0769,0.2062,-0.1561,-0.0321,0.0296,-0.2156,-0.6625,-0.0313,-0.0529,-0.0696,-0.1442,-0.3647,-0.0750,0.0250,-0.8668,-0.4931,-0.2824,0.0746,0.0526,0.0610,-0.1228,-0.0543,0.0875,0.1108
19,Total Other Income Expenses (Gains),- -,- -,-600000,-700000,- -,- -,-100000,200000,-200000,-300000,-900000,- -,- -,-43292,9341,18334,-35372294,-821603,-397917,4440,8336,-501,-296330,-378963,37160,24908,118183,91438,134000,402000,-935000,602000,541000,-4475000
20,Income Before Tax,- -,- -,700000,1300000,- -,- -,-1300000,- -,1300000,- -,- -,- -,- -,-341424,396806,-2481536,-38844158,-1028070,-716526,-382998,-745964,-1320164,-680015,-122565,-7844004,-7274630,-5289643,1983119,1958000,3171000,-8741000,-3988000,9409000,8802000
21,Income Before Tax Ratio,- -,- -,0.0303,0.0481,- -,- -,-0.1275,- -,0.1585,- -,- -,- -,- -,-0.0368,0.0303,-0.2140,-7.4126,-0.1559,-0.1190,-0.0688,-0.1426,-0.3648,-0.1328,-0.0119,-0.8627,-0.4914,-0.2762,0.0782,0.0564,0.0699,-0.1375,-0.0471,0.0929,0.0735
22,Income Tax expense (Gain),- -,- -,100000,400000,- -,- -,-200000,- -,100000,- -,- -,- -,- -,- -,- -,10654,2168,-714,800,800,2800,1800,2338,2492,-4008,1076,2226,-543020,-1000,-10921000,3066000,-3264000,1595000,824000
23,Net Income,-700000,400000,600000,900000,- -,-900000,-1100000,-100000,1200000,-2600000,-1500000,2000000,-1433615,-341424,396806,-2492190,-3846326,-1027356,-717326,-383798,-748764,-1321964,-682353,-125057,-7839996,-7275706,-5291869,2526139,1959000,14092000,-11807000,-724000,7814000,7978000
