,https://roic.ai/company/ICCM,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,1235000,4161000,2978000,2406000,2396000,4037000,5740000,13134000
2,COGS,1581000,2695000,1898000,1554000,1788000,2347000,3744000,4586000
3,Gross Profit,-346000,1466000,1080000,852000,608000,1690000,1996000,8548000
4,Gross Profit Ratio,-0.2802,0.3523,0.3627,0.3541,0.2538,0.4186,0.3477,0.6508
5,Research and Development Exp.,2948000,3919000,3829000,6401000,5207000,7310000,9860000,13116000
6,General and Administrative Exp.,4041000,5060000,5229000,3631000,3552000,4013000,4562000,2429000
7,Selling and Marketing Exp.,5732000,8435000,5798000,2758000,1111000,2307000,3533000,1657000
8,"Selling, General and Administrative Exp.",9773000,13495000,11027000,6389000,4663000,6320000,8095000,4086000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,5371000
10,Operating Expenses,12721000,17414000,14856000,12790000,9870000,13630000,17955000,22573000
11,COGS and Expenses,14302000,20109000,16754000,14344000,11658000,15977000,21699000,27159000
12,Interest Income ,98000,49000,34000,15000,7000,2000,- -,13000
13,Interest Expense (Gain),1621000,- -,- -,- -,202000,239000,79000,102000
14,Depreciation and Amortization,482000,440000,246000,208000,116000,116000,538000,856000
15,EBITDA,-13828000,-17916000,-14400000,-12371000,-9677000,-12955000,-15914000,-14124000
16,EBITDA ratio,-11.1968,-4.3057,-4.8355,-5.1417,-4.0388,-3.2091,-2.7725,-1.0754
17,Operating Income,-13067000,-15948000,-13776000,-11938000,-9262000,-11940000,-15959000,-14025000
18,Operating Income ratio,-10.5806,-3.8327,-4.6259,-4.9618,-3.8656,-2.9576,-2.7803,-1.0678
19,Total Other Income Expenses (Gains),-2864000,-2408000,-870000,-641000,-733000,-1370000,-572000,-1057000
20,Income Before Tax,-15931000,-18356000,-14646000,-12579000,-9995000,-13310000,-16531000,-15082000
21,Income Before Tax Ratio,-12.8996,-4.4114,-4.9181,-5.2282,-4.1715,-3.2970,-2.8800,-1.1483
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-15931000,-18356000,-14646000,-12579000,-9995000,-13310000,-16531000,-15082000
24,Net Income ratio,-12.8996,-4.4114,-4.9181,-5.2282,-4.1715,-3.2970,-2.8800,-1.1483
25,EPS,-22.38,-12.02,-4.28,-2.27,-1.60,-1.12,-1.20,-1.11
26,EPS Diluted,-22.38,-12.02,-4.28,-2.27,-1.60,-1.12,-1.20,-1.11
27,Weighted Average Shares Outstanding,711278,1530090,3420142,5499953,6270251,11686019,13621284,13621284
28,Weighted Average Shares Outstanding Diluted,711278,1530090,3420142,5499953,6270251,11686019,13621284,13621284
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,10141000,17634000,10834000,5065000,15793000,20007000,11260000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,10141000,17634000,10834000,5065000,15793000,20007000,11260000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,1136000,1258000,1229000,1044000,2460000,2484000,3673000
36,Other Current Assets,- -,781000,331000,346000,343000,1153000,1402000,16190000
37,Total Current Assets,- -,12058000,19223000,12409000,6452000,19406000,23893000,31123000
38,PP&E,- -,663000,358000,238000,152000,278000,1307000,1999000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,152000,141000,96000,108000,104000,139000,118000
45,Total Non-Current Assets,- -,815000,499000,334000,260000,382000,1446000,2117000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,12873000,19722000,12743000,6712000,19788000,25339000,33240000
48,Accounts Payable,- -,500000,344000,480000,530000,1706000,1474000,2073000
49,Short-Term Debt,- -,- -,- -,- -,3254000,- -,466000,687000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2521000,2192000,1663000,1662000,2688000,10619000,9810000
53,Total Current Liabilities,- -,3021000,2536000,2143000,5446000,4394000,12559000,12570000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,383000,281000
55,Deferred Revenue,- -,2608000,2156000,2511000,2159000,2714000,2102000,2930000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,72000,- -,- -,- -,- -,1201000,2722000
58,Total Non-Current Liabilities,- -,2680000,2156000,2511000,2159000,2714000,3686000,5933000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,849000,968000
61,Total Liabilities,- -,5701000,4692000,4654000,7605000,7108000,16245000,18503000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1141000,2655000,4333000,4393000,10160000,12024000,16175000
64,Retained Earnings,- -,-101034000,-115680000,-128259000,-138254000,-151564000,-168095000,-183177000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,107065000,128055000,132015000,132968000,154084000,165165000,181739000
67,Total Stockholders Equity,- -,7172000,15030000,8089000,-893000,12680000,9094000,14737000
68,Total Liabilities And Stockholders Equity,- -,12873000,19722000,12743000,6712000,19788000,25339000,33240000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,12873000,19722000,12743000,6712000,19788000,25339000,33240000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-15931000,-18356000,-14646000,-12579000,-9995000,-13310000,-16531000,-15082000
74,Depreciation and Amortization,482000,440000,246000,208000,116000,116000,538000,856000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,430000,1972000,1421000,57000,401000,790000,1259000,751000
77,Change in Working Capital,176000,1573000,-135000,-334000,71000,36000,8899000,423000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,346000,125000,-122000,29000,185000,-1416000,-24000,-1189000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,2745000,1182000,36000,603000,284000,829000,-197000,1097000
83,Cash Provided by Operating Activities,-12098000,-13189000,-13078000,-12045000,-9123000,-11539000,-6032000,-11955000
84,CAPEX,-299000,-134000,-24000,-88000,-30000,-242000,-354000,-765000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,98000,1000,- -,- -,- -,- -,- -,-15048000
89,Cash Used for Investing Activites,-201000,-133000,-24000,-88000,-30000,-242000,-354000,-15813000
90,Debt Repayment,-53000,-106000,-246000,-182000,- -,- -,- -,- -
91,Common Stock Issued,25227000,3597000,21083000,5581000,188000,26093000,11686000,19974000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2087000,94000,46000,- -,3463000,-3556000,-1077000,-853000
95,Cash Used/Provided by Financing Activities,27261000,3585000,20883000,5399000,3651000,22537000,10609000,19121000
96,Effect of Forex Changes on Cash,-68000,24000,-288000,-66000,-267000,-28000,-9000,-100000
97,Net Change In Cash,14894000,-9713000,7493000,-6800000,-5769000,10728000,4214000,-8747000
98,Cash at the End of Period,19854000,10141000,17634000,10834000,5065000,15793000,20007000,11260000
99,Cash at the Beginning of Period,4960000,19854000,10141000,17634000,10834000,5065000,15793000,20007000
100,Free Cash Flow,-12397000,-13323000,-13102000,-12133000,-9153000,-11781000,-6386000,-12720000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.288,0.2564,0.2567,0.259,0.2872,0.2674,0.2894,0.3108
