,https://roic.ai/company/BKE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,86700000,112900000,129600000,145000000,172300000,206400000,267900000,337900000,375526000,393247000,387638000,401060000,422820000,470937000,501101000,530074000,619888000,792046000,898287000,949838000,1062946000,1124007000,1128001000,1153142000,1119616000,974873000,913380000,885496000,900254000,901278000,1294607000
2,COGS,56200000,71700000,84900000,95500000,112900000,135100000,169100000,209500000,233629000,250450000,259645000,269533000,279901000,299958000,307063000,322760000,365350000,448558000,497668000,530709000,594291000,624692000,628856000,645810000,638215000,577705000,533357000,519423000,522780000,500610000,641598000
3,Gross Profit,30500000,41200000,44700000,49500000,59400000,71300000,98800000,128400000,141897000,142797000,127993000,131527000,142919000,170979000,194038000,207314000,254538000,343488000,400619000,419129000,468655000,499315000,499145000,507332000,481401000,397168000,380023000,366073000,377474000,400668000,653009000
4,Gross Profit Ratio,0.3518,0.3649,0.3449,0.3414,0.3447,0.3454,0.3688,0.3800,0.3779,0.3631,0.3302,0.3279,0.3380,0.3631,0.3872,0.3911,0.4106,0.4337,0.4460,0.4413,0.4409,0.4442,0.4425,0.4400,0.4300,0.4074,0.4161,0.4134,0.4193,0.4446,0.5044
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30041000,32416000,30752000,37041000,39177000,35258000,37671000,39282000,38475000,39877000,43113000,41497000,41488000,51086000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151251000,168741000,177610000,195294000,201963000,206893000,212688000,212531000,205933000,206068000,202032000,204480000,191158000,266424000
8,"Selling, General and Administrative Exp.",20500000,26400000,29400000,32700000,39300000,45500000,57800000,69400000,74977000,80000000,80725000,85733000,94713000,107607000,117716000,128293000,144911000,181292000,201157000,208362000,232335000,241140000,242151000,250359000,251813000,244408000,245945000,245145000,245977000,232646000,317510000
9,Other Expenses,2100000,2900000,4200000,5100000,5400000,5300000,5300000,7200000,9888000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,22600000,29300000,33600000,37800000,44700000,50800000,63100000,76600000,84865000,80000000,80725000,85733000,94713000,107607000,117716000,128293000,144911000,181292000,201157000,208362000,232335000,241140000,242151000,250359000,251813000,244408000,245945000,245145000,245977000,232646000,317510000
11,COGS and Expenses,78800000,101000000,118500000,133300000,157600000,185900000,232200000,286100000,318494000,330450000,340370000,355266000,374614000,407565000,424779000,451053000,510261000,629850000,698825000,739071000,826626000,865832000,871007000,896169000,890028000,822113000,779302000,764568000,768757000,733256000,959108000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
