,https://roic.ai/company/FOUR,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,560600000,731400000,766900000,1367500000
2,COGS,410200000,552400000,589100000,1089100000
3,Gross Profit,150400000,179000000,177800000,278400000
4,Gross Profit Ratio,0.2683,0.2447,0.2318,0.2036
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,91100000,134800000,190700000,236300000
7,Selling and Marketing Exp.,6100000,6300000,4000000,28900000
8,"Selling, General and Administrative Exp.",97200000,141100000,194700000,265200000
9,Other Expenses,40400000,40200000,39500000,62200000
10,Operating Expenses,137600000,181300000,234200000,327400000
11,COGS and Expenses,547800000,733700000,823300000,1416500000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),47000000,51500000,40200000,28000000
14,Depreciation and Amortization,66200000,63200000,84200000,104400000
15,EBITDA,59500000,58100000,103600000,81100000
16,EBITDA ratio,0.1061,0.0794,0.1351,0.0593
17,Operating Income,-13100000,-6100000,-57600000,-49200000
18,Operating Income ratio,-0.0234,-0.0083,-0.0751,-0.0360
19,Total Other Income Expenses (Gains),-40600000,-50500000,-56200000,-27900000
20,Income Before Tax,-53700000,-56600000,-113800000,-77100000
21,Income Before Tax Ratio,-0.0958,-0.0774,-0.1484,-0.0564
22,Income Tax expense (Gain),-3800000,1500000,-2400000,-3100000
23,Net Income,-49900000,-58100000,-18400000,-48200000
24,Net Income ratio,-0.0890,-0.0794,-0.0240,-0.0352
25,EPS,-1.42,-0.80,-0.43,-0.00
26,EPS Diluted,-1.42,-0.80,-0.43,-0.00
27,Weighted Average Shares Outstanding,39027135,39027135,45031258,55810596
28,Weighted Average Shares Outstanding Diluted,39027135,39027135,45031258,55810596
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1794669/000156459021011368/0001564590-21-011368-index.htm,https://www.sec.gov/Archives/edgar/data/1794669/000179466922000012/0001794669-22-000012-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,4800000,3700000,927800000,1231500000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,4800000,3700000,927800000,1231500000
34,Net Receivables,56000000,85900000,94200000,208200000
35,Inventory,5100000,8500000,1500000,3500000
36,Other Current Assets,4300000,8300000,10000000,10400000
37,Total Current Assets,70200000,106400000,1033500000,1453600000
38,PP&E,26200000,15400000,51700000,95300000
39,Goodwill,391800000,421300000,477000000,537700000
40,Intangible Assets,230700000,213200000,186300000,188500000
41,Intangible Assets,622500000,634500000,663300000,726200000
42,Investments,- -,- -,- -,30500000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,19800000,31700000,30800000,37000000
45,Total Non-Current Assets,668500000,681600000,745800000,889000000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,738700000,788000000,1779300000,2342600000
48,Accounts Payable,44200000,58100000,60600000,121100000
49,Short-Term Debt,4800000,5300000,900000,4800000
50,Tax Payable,- -,- -,1400000,1600000
51,Deferred Revenue,4600000,5600000,7800000,15000000
52,Other Current Liabilities,44200000,60900000,30100000,42900000
53,Total Current Liabilities,97800000,129900000,99400000,183800000
54,Long-Term Debt,548700000,635100000,1005400000,1756400000
