,https://roic.ai/company/RYAM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1021416000,1095376000,1046603000,957689000,941384000,868731000,961333000,2134413000,1775392000,1738899000,1408000000
2,COGS,697918000,715707000,714038000,733942000,738930000,687458000,822088000,1790244000,1721235000,1601115000,1333000000
3,Gross Profit,323498000,379669000,332565000,223747000,202454000,181273000,139245000,344169000,54157000,137784000,75000000
4,Gross Profit Ratio,0.3167,0.3466,0.3178,0.2336,0.2151,0.2087,0.1448,0.1612,0.0305,0.0792,0.0533
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,2036000,80016000,108184000,- -,- -,- -
7,Selling and Marketing Exp.,- -,35684000,- -,39969000,- -,37942000,80016000,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,35684000,- -,39969000,- -,39978000,160032000,108184000,- -,- -,76000000
9,Other Expenses,33046000,-316000,35519000,70298000,55273000,2123000,-77513000,31912000,132188000,101159000,10000000
10,Operating Expenses,33046000,35368000,35519000,110267000,55273000,42101000,82519000,140096000,132188000,101159000,86000000
11,COGS and Expenses,730964000,751075000,749557000,844209000,794203000,729559000,904607000,1930340000,1853423000,1702274000,1419000000
12,Interest Income ,- -,507000,292000,- -,210000,737000,3791000,5017000,-24000,- -,- -
13,Interest Expense (Gain),98000,- -,292000,22484000,36869000,34627000,40447000,60408000,60291000,71479000,73000000
14,Depreciation and Amortization,56128000,60909000,74386000,85607000,89189000,88274000,96963000,148416000,153275000,151462000,139000000
15,EBITDA,339278000,403398000,363593000,148562000,208922000,235502000,482105000,381033000,161440000,176889000,243000000
16,EBITDA ratio,0.3322,0.3683,0.3474,0.1551,0.2219,0.2711,0.5015,0.1785,0.0909,0.1017,0.1726
17,Operating Income,282954000,341982000,288623000,62955000,119523000,137647000,57016000,197642000,-83118000,27074000,-10445000
18,Operating Income ratio,0.2770,0.3122,0.2758,0.0657,0.1270,0.1584,0.0593,0.0926,-0.0468,0.0156,-0.0074
19,Total Other Income Expenses (Gains),98000,507000,292000,-22484000,-36659000,-25046000,287679000,-25433000,-65166000,-73104000,-72555000
20,Income Before Tax,283052000,342489000,288915000,40471000,82864000,112601000,344695000,172209000,-148284000,-46030000,-83000000
21,Income Before Tax Ratio,0.2771,0.3127,0.2761,0.0423,0.0880,0.1296,0.3586,0.0807,-0.0835,-0.0265,-0.0589
22,Income Tax expense (Gain),69234000,100393000,69148000,8816000,27607000,39315000,19731000,43793000,-29676000,-46607000,-35000000
23,Net Income,213818000,242096000,219767000,31655000,55257000,73286000,324964000,128416000,-22450000,555000,66000000
24,Net Income ratio,0.2093,0.2210,0.2100,0.0331,0.0587,0.0844,0.3380,0.0602,-0.0126,0.0003,0.0469
25,EPS,5.10,5.75,4.15,0.75,1.31,1.61,7.17,2.27,-0.57,0.01,1.04
26,EPS Diluted,5.08,5.73,4.13,0.75,1.30,1.55,5.81,1.96,-0.57,0.01,1.04
27,Weighted Average Shares Outstanding,41906000,42115000,41906000,42166629,42194891,42279811,43416868,50602480,54511863,63241197,63430601
28,Weighted Average Shares Outstanding Diluted,42113000,42238000,42113000,42239682,42222859,47145821,55902452,65397259,54511863,63241197,63430601
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1597672/000159767215000009/ryam201410k.htm,https://www.sec.gov/Archives/edgar/data/1597672/000159767216000125/0001597672-16-000125-index.html,https://www.sec.gov/Archives/edgar/data/1597672/000159767217000013/0001597672-17-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/1597672/000159767219000008/0001597672-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1597672/000159767220000005/0001597672-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1597672/000159767221000009/0001597672-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1597672/000159767222000011/0001597672-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,65977000,101303000,326655000,96235000,108966000,64025000,93653000,253000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,65977000,101303000,326655000,96235000,108966000,64025000,93653000,253000000
34,Net Receivables,- -,77476000,71097000,69263000,68892000,37626000,181298000,222377000,181658000,237865000,- -
35,Inventory,- -,116991000,128706000,140209000,125409000,118368000,302086000,321377000,251180000,233484000,- -
36,Other Current Assets,- -,24153000,46252000,44542000,32437000,36859000,66918000,63372000,76964000,68570000,523000000
37,Total Current Assets,- -,218620000,246055000,319991000,328041000,519508000,646537000,716092000,573827000,633572000,776000000
38,PP&E,- -,680746000,846288000,843375000,803838000,801039000,1407762000,1381039000,1316055000,1274942000,1146000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,59869000,52460000,45451000,38441000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,59869000,52460000,45451000,38441000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,78547000,97420000,51246000,402846000,406957000,384513000,385459000,- -
44,Other Non-Current Assets,- -,21235000,27923000,61967000,59178000,50146000,125597000,122538000,160301000,197451000,523000000
45,Total Non-Current Assets,- -,701981000,874211000,983889000,960436000,902431000,1996074000,1962994000,1906320000,1896293000,1669000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,920601000,1120266000,1303880000,1288477000,1421939000,2642611000,2679086000,2480147000,2529865000,2445000000
48,Accounts Payable,- -,65944000,54198000,64697000,44992000,36379000,157925000,192740000,153181000,156721000,- -
49,Short-Term Debt,- -,- -,- -,8400000,8226000,9593000,9425000,15012000,19448000,17100000,38000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,34541000,53522000,- -,- -,- -,- -
52,Other Current Liabilities,- -,29775000,975648000,58348000,78514000,46466000,86699000,162666000,113517000,119179000,317000000
53,Total Current Liabilities,- -,95719000,1029846000,131445000,131732000,126979000,307571000,370418000,286146000,293000000,355000000
54,Long-Term Debt,- -,- -,- -,936416000,859693000,773689000,1232179000,1173157000,1062695000,1066837000,891000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,47147000,49224000,- -,- -,- -,32607000,28016000,24847000,24462000,- -
57,Other Non-Current Liabilities,- -,53031000,22895000,298431000,314191000,309522000,376498000,400624000,423661000,450479000,385000000
58,Total Non-Current Liabilities,- -,100178000,72119000,1234847000,1173884000,1083211000,1641284000,1601797000,1511203000,1541778000,1276000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,195897000,1101965000,1366292000,1305616000,1210190000,1948855000,1972215000,1797349000,1834778000,1631000000
62,Preferred Stock,- -,- -,- -,- -,- -,17000,17000,17000,- -,- -,- -
63,Common Stock,- -,- -,- -,426000,429000,433000,517000,493000,632000,633000,- -
64,Retained Earnings,- -,1196127000,1415894000,-21476000,21839000,78977000,377020000,462568000,422373000,422928000,- -
65,Other Comprehensive Income/Loss,- -,-1100868000,-1109665000,-103000000,-110000000,-110000000,-76151000,-156000000,-139000000,-133635000,-84470000
66,Other Total Stockholders Equity,- -,629445000,- -,61638000,70593000,242322000,392353000,399793000,398793000,405161000,- -
67,Total Stockholders Equity,- -,724704000,18301000,-62412000,-17139000,211749000,693756000,706871000,682798000,695087000,814000000
68,Total Liabilities And Stockholders Equity,- -,920601000,1120266000,1303880000,1288477000,1421939000,2642611000,2679086000,2480147000,2529865000,2445000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,920601000,1120266000,1303880000,1288477000,1421939000,2642611000,2679086000,2480147000,2529865000,2445000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1597672/000159767215000009/ryam201410k.htm,https://www.sec.gov/Archives/edgar/data/1597672/000159767216000125/0001597672-16-000125-index.html,https://www.sec.gov/Archives/edgar/data/1597672/000159767217000013/0001597672-17-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/1597672/000159767219000008/0001597672-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1597672/000159767220000005/0001597672-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1597672/000159767221000009/0001597672-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1597672/000159767222000011/0001597672-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,213818000,242096000,219767000,31655000,55257000,73286000,324964000,128416000,-22450000,555000,66000000
74,Depreciation and Amortization,56128000,60909000,74386000,85607000,89189000,88274000,96963000,148416000,153275000,151462000,139000000
75,Deferred Income Tax,-2694000,-827000,-31161000,-33672000,-9757000,45199000,30280000,20637000,-25552000,2040000,- -
76,Stock Based Compensation,7954000,8227000,6230000,8738000,9992000,7217000,8986000,13007000,6531000,6599000,- -
77,Change in Working Capital,-30514000,142190000,-906692000,972337000,7763000,196220000,-53563000,6708000,-57993000,52891000,-46000000
78,Accounts Receivable,- -,5979000,6380000,1710000,696000,31266000,-4699000,-40738000,- -,4539000,- -
79,Inventory,-6690000,-12118000,-11715000,-11503000,14800000,7041000,3033000,-22861000,52347000,19962000,- -
80,Accounts Payable,9185000,-9019000,-2763000,-4365000,-19789000,-2048000,16215000,34610000,-26025000,-6055000,- -
81,Other Working Capital,-19289000,122901000,-783791000,188546000,196309000,392529000,338966000,345674000,287681000,340572000,- -
82,Other Non-Cash Items,13040000,-147382000,895508000,-876913000,49214000,-177971000,-277858000,-70240000,-11907000,-89077000,73000000
83,Cash Provided by Operating Activities,257732000,305213000,258038000,187752000,201658000,232225000,129772000,246944000,41904000,124470000,232000000
84,CAPEX,-96526000,-105406000,-96008000,-89011000,-77424000,-88703000,-75042000,-132209000,-102807000,-77159000,-95000000
85,Acquisitions Net,-42894000,-201359000,-141143000,- -,- -,- -,-210164000,- -,- -,-4426000,-4000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4426000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,7780000,- -,- -,- -,- -
88,Other Investing Activites,-88000000,-103893000,-109524000,-76241000,-77424000,-86560000,-75042000,-115966000,52502000,-68969000,90000000
