,https://roic.ai/company/REGI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,178000000,234600000,85452000,131501000,216455000,824031000,1015034000,1498138000,1273831000,1387344000,2041232000,2158243000,2382987000,2641393000,2137148000,3244050000
2,COGS,163200000,213000000,83206000,128550000,194823000,696820000,956711000,1258705000,1113219000,1276801000,1869716000,2074662000,1962996000,2111324000,1868794000,2874157000
3,Gross Profit,14800000,21600000,2246000,2951000,21632000,127211000,58323000,239433000,160612000,110543000,171516000,83581000,419991000,530069000,268354000,369893000
4,Gross Profit Ratio,0.0831,0.0921,0.0263,0.0224,0.0999,0.1544,0.0575,0.1598,0.1261,0.0797,0.0840,0.0387,0.1762,0.2007,0.1256,0.1140
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,12424000,16851000,18163000,14091000,2037000,- -,- -,- -
6,General and Administrative Exp.,- -,- -,24048000,25565000,22187000,34479000,42422000,46123000,62681000,73397000,88285000,93425000,104702000,118209000,119302000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,24048000,25565000,22187000,34479000,42422000,46123000,62681000,73397000,88285000,93425000,104702000,118209000,119302000,140511000
9,Other Expenses,11700000,29500000,- -,-2254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,11700000,29500000,24048000,23311000,22187000,34479000,42422000,46123000,75105000,90248000,106448000,107516000,106739000,118209000,119302000,140511000
11,COGS and Expenses,174900000,242500000,107254000,151861000,217010000,731299000,999133000,1304828000,1188324000,1367049000,1976164000,2182178000,2069735000,2229533000,1988096000,3014668000
12,Interest Income ,- -,- -,279000,60000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2067000
13,Interest Expense (Gain),- -,- -,1902000,2414000,4940000,8095000,4679000,2397000,6690000,11867000,15987000,18755000,17534000,12176000,7911000,21949000
14,Depreciation and Amortization,- -,- -,1082000,5772000,5928000,9475000,8024000,9705000,15255000,24997000,31825000,34283000,36246000,36298000,37315000,43430000
15,EBITDA,3300000,28700000,-19521000,-7507000,-13972000,109421000,36416000,203403000,108128000,-123229000,96407000,-56531000,351967000,427968000,173968000,264719000
16,EBITDA ratio,0.0185,0.1223,-0.2284,-0.0571,-0.0645,0.1328,0.0359,0.1358,0.0849,-0.0888,0.0472,-0.0262,0.1477,0.1620,0.0814,0.0816
17,Operating Income,3200000,-7900000,-21962000,-21193000,-8049000,92732000,15901000,193310000,85507000,-154733000,47175000,-73808000,312373000,399652000,126853000,223485000
18,Operating Income ratio,0.0180,-0.0337,-0.2570,-0.1612,-0.0372,0.1125,0.0157,0.1290,0.0671,-0.1115,0.0231,-0.0342,0.1311,0.1513,0.0594,0.0689
19,Total Other Income Expenses (Gains),-400000,36600000,-2318000,-1364000,-16102000,-1323000,7812000,-2009000,603000,-5678000,1806000,-35761000,-2874000,-10491000,1889000,-24145000
20,Income Before Tax,2800000,28700000,-24280000,-22557000,-24151000,91409000,23713000,191301000,86110000,-160411000,48981000,-109569000,309499000,389161000,128742000,199340000
21,Income Before Tax Ratio,0.0157,0.1223,-0.2841,-0.1715,-0.1116,0.1109,0.0234,0.1277,0.0676,-0.1156,0.0240,-0.0508,0.1299,0.1473,0.0602,0.0614
22,Income Tax expense (Gain),-700000,-3200000,-9414000,45212000,-3252000,2982000,1454000,4935000,3572000,-8701000,4268000,-30490000,5871000,-570000,5929000,-14479000
23,Net Income,4000000,31900000,-13091000,-60905000,-21588000,88869000,22259000,186366000,82611000,-151392000,44327000,-79079000,292316000,380064000,122813000,213819000
24,Net Income ratio,0.0225,0.1360,-0.1532,-0.4632,-0.0997,0.1078,0.0219,0.1244,0.0649,-0.1091,0.0217,-0.0366,0.1227,0.1439,0.0575,0.0659
25,EPS,0.14,1.11,-2.92,-5.37,-0.41,3.14,1.53,5.00,2.00,-3.44,1.06,-2.04,7.55,9.71,3.07,5.44
26,EPS Diluted,0.14,1.11,-2.92,-5.37,-0.41,3.14,0.27,5.00,1.99,-3.44,1.06,-2.04,6.48,8.78,2.76,5.44
27,Weighted Average Shares Outstanding,28700000,28700000,13607840,19575117,19631460,13607840,28381676,33045164,40740411,43958803,40897549,38731015,37687552,38288610,39199687,39306263
28,Weighted Average Shares Outstanding Diluted,28700000,28700000,13607840,19575117,19631460,13607840,34340466,33052879,40749913,43958803,40902860,38731015,43653720,42320980,44497464,39306263
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463258/000119312511085016/d10k.htm,https://www.sec.gov/Archives/edgar/data/1463258/000119312512123619/0001193125-12-123619-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000119312513098354/0001193125-13-098354-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000144530514000784/regi-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1463258/000162828015001595/regi-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1463258/000162828016012666/0001628280-16-012666-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828017002479/0001628280-17-002479-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828018003045/0001628280-18-003045-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828019002647/0001628280-19-002647-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828020003141/0001628280-20-003141-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828021003654/0001628280-21-003654-index.htm,https://www.sec.gov/Archives/edgar/data/1463258/000162828022004504/0001628280-22-004504-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,53700000,19000000,15311000,5855000,4259000,33575000,66785000,153227000,63516000,47081000,116210000,77627000,123575000,50436000,84441000,497653000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,16770000,- -,- -,- -,50932000,- -,149521000,290818000
33,Cash and Short-Term Investments,53700000,19000000,15311000,5855000,4259000,33575000,66785000,153227000,80286000,47081000,116210000,77627000,174507000,50436000,233962000,788471000
34,Net Receivables,- -,- -,7059000,12162000,18801000,52833000,23503000,85108000,297512000,312545000,169488000,97004000,77542000,864037000,173096000,201922000
35,Inventory,- -,- -,11795000,12840000,28985000,42110000,45305000,92269000,108303000,91546000,154806000,162575000,170900000,163566000,210230000,459333000
36,Other Current Assets,- -,- -,15927000,6845000,6600000,21504000,13490000,16916000,42342000,24412000,22335000,18496000,42428000,31221000,40944000,48185000
37,Total Current Assets,- -,- -,50092000,37702000,58645000,150022000,149083000,347520000,528443000,475584000,462839000,355702000,465377000,1109260000,658232000,1497911000
38,PP&E,- -,- -,126132000,124429000,166391000,232223000,248290000,291224000,493196000,574584000,599474000,587397000,590723000,621476000,623636000,729174000
39,Goodwill,- -,- -,16080000,16080000,84864000,84864000,84864000,84864000,188275000,16080000,16080000,16080000,16080000,16080000,16080000,43864000
40,Intangible Assets,- -,- -,7435000,7203000,3169000,4438000,4609000,4867000,28837000,30941000,29470000,27127000,13646000,12018000,10708000,53175000
41,Intangible Assets,- -,- -,23515000,23283000,88033000,89302000,89473000,89731000,217112000,47021000,45550000,43207000,29726000,28098000,26788000,97039000
42,Investments,- -,- -,6807000,6149000,4259000,2581000,2618000,7351000,9736000,8797000,12110000,12250000,13053000,19205000,133027000,183491000
43,Tax Assets,- -,- -,38926000,1500000,1500000,4051000,969000,- -,- -,- -,- -,- -,- -,- -,- -,6171000
44,Other Non-Current Assets,- -,- -,6512000,7495000,50815000,6268000,5351000,5029000,124401000,117634000,16630000,7040000,8217000,7310000,19715000,45158000
45,Total Non-Current Assets,- -,- -,201892000,162856000,310998000,334425000,346701000,393335000,844445000,748036000,673764000,649894000,641719000,676089000,803166000,1061033000
46,Other Assets,143600000,169700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,143600000,169700000,251984000,200558000,369643000,484447000,495784000,740855000,1372888000,1223620000,1136603000,1005596000,1107096000,1785349000,1461398000,2558944000
48,Accounts Payable,- -,- -,14178000,14133000,14237000,30166000,28131000,48727000,202821000,236817000,99137000,84608000,95866000,369213000,132938000,162847000
49,Short-Term Debt,- -,- -,5312000,3106000,35101000,12508000,5238000,18015000,22425000,28355000,68246000,78922000,163256000,154121000,50088000,13026000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9475000
51,Deferred Revenue,- -,- -,- -,5480000,9339000,6748000,- -,15503000,17425000,333000,27246000,2218000,300000,8620000,13488000,16856000
52,Other Current Liabilities,- -,- -,4618000,4197000,3549000,10440000,6475000,15992000,42640000,28466000,38916000,39187000,35256000,56466000,49456000,53884000
53,Total Current Liabilities,- -,- -,24108000,26916000,62226000,59862000,39844000,98237000,285311000,293971000,233545000,204935000,294678000,588420000,245970000,246613000
54,Long-Term Debt,- -,- -,25161000,25749000,61024000,73079000,31806000,27151000,247183000,247251000,196203000,208536000,33421000,26130000,15158000,575746000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,745000,745000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2691000,6905000,19186000,20279000,8192000,8410000,6975000,6607000,4659000
57,Other Non-Current Liabilities,68800000,32300000,120697000,175024000,211277000,230930000,15582000,13998000,54827000,49202000,76402000,16351000,5334000,31918000,19708000,4100000
58,Total Non-Current Liabilities,- -,- -,145858000,200773000,272301000,304009000,48133000,44585000,308915000,315639000,292884000,233079000,47165000,65023000,41473000,584505000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,11412000,11783000,11293000,10164000,4011000,3581000,3111000,2751000,2421000,1801000,1439000,46103000,29804000,52015000
61,Total Liabilities,- -,- -,169966000,227689000,334527000,363871000,87977000,142822000,594226000,609610000,526429000,438014000,341843000,653443000,287443000,831118000
62,Preferred Stock,- -,- -,- -,- -,- -,147779000,83043000,3963000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,2000,1000,1000,3000,4000,4000,4000,5000,5000,5000,5000,5000,6000
64,Retained Earnings,- -,- -,- -,-60905000,-52341000,36528000,53823000,238134000,321083000,169680000,214007000,134928000,427244000,800792000,891211000,1105030000
65,Other Comprehensive Income/Loss,107800000,187400000,-6112000,-10488000,-12647000,-17828000,-28097000,-37362000,-53889000,-4000000,-6000000,-175531000,-2000000,-2000000,1160000,-2111000
66,Other Total Stockholders Equity,- -,- -,67891000,30783000,100103000,-45904000,299035000,393294000,502575000,445596000,399331000,608180000,340004000,333109000,281579000,624901000
67,Total Stockholders Equity,53900000,93700000,61781000,-40608000,35116000,120576000,407807000,598033000,769773000,611280000,607343000,567582000,765253000,1131906000,1173955000,1727826000
68,Total Liabilities And Stockholders Equity,- -,- -,231747000,187081000,369643000,484447000,495784000,740855000,1363999000,1220890000,1133772000,1005596000,1107096000,1785349000,1461398000,2558944000
69,Minority Interest,143600000,169700000,20237000,13477000,- -,- -,- -,- -,8889000,2730000,2831000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,143600000,169700000,251984000,200558000,369643000,484447000,495784000,740855000,1372888000,1223620000,1136603000,1005596000,1107096000,1785349000,1461398000,2558944000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463258/000119312511085016/d10k.htm,https://www.sec.gov/Archives/edgar/data/1463258/000119312512123619/0001193125-12-123619-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000119312513098354/0001193125-13-098354-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000144530514000784/regi-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1463258/000162828015001595/regi-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1463258/000162828016012666/0001628280-16-012666-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828017002479/0001628280-17-002479-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828018003045/0001628280-18-003045-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828019002647/0001628280-19-002647-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828020003141/0001628280-20-003141-index.html,https://www.sec.gov/Archives/edgar/data/1463258/000162828021003654/0001628280-21-003654-index.htm,https://www.sec.gov/Archives/edgar/data/1463258/000162828022004504/0001628280-22-004504-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-13091000,-60905000,-21588000,88869000,22259000,186366000,82611000,-151392000,44327000,-79079000,292316000,380064000,122813000,213819000
74,Depreciation and Amortization,- -,- -,1082000,5772000,5928000,9475000,8024000,9705000,15255000,24997000,31825000,34283000,36246000,36298000,37315000,43430000
75,Deferred Income Tax,- -,- -,-8268000,45212000,-3252000,-4967000,2986000,9859000,3641000,-8953000,3009000,-30088000,4850000,-591000,2012000,-12195000
76,Stock Based Compensation,- -,- -,3574000,2522000,1376000,5934000,13119000,5416000,5883000,5161000,5896000,6909000,6412000,6707000,6942000,7997000
77,Change in Working Capital,- -,- -,13557000,-14367000,93741000,19079000,140044000,-6151000,-61519000,47681000,-78527000,19932000,350141000,-108578000,839036000,-317754000
78,Accounts Receivable,- -,- -,10585000,-3671000,-4876000,-35421000,32014000,-64460000,-207877000,-20309000,145068000,74609000,19662000,-786178000,715685000,1835000
79,Inventory,- -,- -,2162000,-1045000,-15937000,-13047000,-3096000,-40608000,-277000,29631000,-58551000,12029000,-34066000,7151000,-47904000,-235536000
80,Accounts Payable,- -,- -,-1346000,3443000,-3378000,14153000,-4002000,22386000,143131000,32422000,-133139000,-20198000,14221000,263208000,-266702000,-9167000
81,Other Working Capital,- -,- -,10786000,-3581000,90160000,109239000,249283000,243132000,181613000,229294000,150767000,170699000,520840000,412262000,1251298000,3369000
82,Other Non-Cash Items,- -,- -,-490000,13557000,-90798000,-67196000,-141813000,-65550000,-13343000,162666000,68773000,63640000,-324431000,-360608000,-464688000,48462000
83,Cash Provided by Operating Activities,- -,- -,-3636000,-8209000,-14593000,51194000,44619000,139645000,32528000,80160000,75303000,15597000,365534000,-46708000,543430000,-16241000
84,CAPEX,- -,- -,-67235000,-7350000,-4550000,-4806000,-12654000,-39053000,-60163000,-64477000,-60705000,-67572000,-46453000,-42518000,-63642000,-99549000
85,Acquisitions Net,- -,- -,16895000,- -,198000,22000,-1791000,-10933000,-19369000,-41409000,-12720000,-3482000,-4801000,- -,- -,-76461000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-37000,-4733000,-83753000,-53887000,-3249000,-816000,-71719000,-9496000,-354079000,-473582000
87,Sales/Maturities of Investments,- -,- -,4723000,- -,- -,- -,- -,- -,63840000,68979000,- -,- -,20000000,54584000,83606000,278821000
