,https://roic.ai/company/HY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,1779600000,2056900000,2399900000,- -,2719700000,2824300000,1475200000,1801900000,2540800000,2469100000,2666300000,2767200000,2578100000,2569700000,2885200000,3174400000,3291800000,2812100000,3075700000
2,COGS,1467300000,1748800000,2055100000,- -,- -,- -,1290500000,1522100000,2157300000,2065900000,2205300000,2319500000,2147300000,2142200000,2382600000,2677300000,2750000000,2346700000,2712300000
3,Gross Profit,312300000,308100000,344800000,- -,- -,- -,184700000,279800000,383500000,403200000,461000000,447700000,430800000,427500000,502600000,497100000,541800000,465400000,363400000
4,Gross Profit Ratio,0.1755,0.1498,0.1437,- -,- -,- -,0.1252,0.1553,0.1509,0.1633,0.1729,0.1618,0.1671,0.1664,0.1742,0.1566,0.1646,0.1655,0.1182
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,264300000,281200000,298500000,- -,- -,- -,208000000,229500000,273500000,291600000,326700000,316700000,327300000,392900000,426600000,458300000,487900000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",264300000,281200000,298500000,- -,- -,- -,208000000,229500000,273500000,291600000,326700000,316700000,327300000,392900000,426600000,458300000,487900000,- -,450100000
9,Other Expenses,-800000,-1400000,-1200000,- -,- -,- -,7900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415500000,- -
10,Operating Expenses,263500000,279800000,297300000,- -,- -,- -,215900000,229500000,273500000,291600000,326700000,316700000,327300000,392900000,426600000,458300000,487900000,415500000,450100000
11,COGS and Expenses,1730800000,2028600000,2352400000,- -,- -,- -,1506400000,1751600000,2430800000,2357500000,2532000000,2636200000,2474600000,2535100000,2809200000,3135600000,3237900000,2762200000,3162400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-33000000,33000000,34000000,- -,- -,- -,-20700000,16600000,15800000,12400000,9000000,3900000,4700000,6700000,14600000,16000000,19800000,13700000,15500000
14,Depreciation and Amortization,44100000,41900000,41100000,- -,- -,- -,36200000,33900000,31300000,28000000,30200000,29700000,28900000,39100000,42800000,44000000,43300000,42900000,- -
15,EBITDA,29300000,82400000,97200000,- -,39300000,-376000000,-31200000,84700000,148600000,145400000,166400000,183300000,137700000,84600000,150900000,97000000,110200000,97400000,-129200000
16,EBITDA ratio,0.0165,0.0401,0.0405,- -,0.0145,-0.1331,-0.0211,0.0470,0.0585,0.0589,0.0624,0.0662,0.0534,0.0329,0.0523,0.0306,0.0335,0.0346,-0.0420
17,Operating Income,48800000,28300000,47500000,- -,- -,- -,-31200000,46100000,110000000,111700000,134300000,148800000,103500000,34900000,76000000,38800000,53900000,49900000,-152300000
18,Operating Income ratio,0.0274,0.0138,0.0198,- -,- -,- -,-0.0211,0.0256,0.0433,0.0452,0.0504,0.0538,0.0401,0.0136,0.0263,0.0122,0.0164,0.0177,-0.0495
19,Total Other Income Expenses (Gains),-31200000,-21200000,-25000000,- -,- -,- -,-15600000,-12000000,-8500000,-6600000,-6900000,1300000,1000000,3400000,17800000,-2200000,-6000000,-7700000,-2600000
