,https://roic.ai/company/FINV,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,197352000,1208674000,4003506000,4218946000,4856088000,6449750000,9470128000
2,COGS,99383000,388149000,974522000,985571000,1208210000,1325600000,1841956000
3,Gross Profit,97969000,820525000,3028984000,3233375000,3647878000,5124150000,7628172000
4,Gross Profit Ratio,0.4964,0.6789,0.7566,0.7664,0.7512,0.7945,0.8055
5,Research and Development Exp.,- -,- -,- -,- -,390585000,370175000,434850000
6,General and Administrative Exp.,115942000,237808000,588664000,701353000,435816000,461116000,518245000
7,Selling and Marketing Exp.,125439000,352952000,788291000,710754000,720333000,482859000,1584233000
8,"Selling, General and Administrative Exp.",241381000,590760000,1376955000,1412107000,1156149000,943975000,2102478000
9,Other Expenses,- -,34705000,107660000,230782000,561386000,2615804000,2477078000
10,Operating Expenses,241381000,625465000,1484615000,1642889000,2108120000,3929954000,5014406000
11,COGS and Expenses,340764000,1013614000,2459137000,2628460000,3316330000,5255554000,6856362000
12,Interest Income ,4408000,59980000,46975000,316193000,1342289000,1341657000,- -
13,Interest Expense (Gain),159000,18191000,15598000,60085000,235620000,228320000,- -
14,Depreciation and Amortization,3252000,12086000,22555000,42162000,107085000,96433000,- -
15,EBITDA,-64365000,580034000,1395847000,2722527000,3197517000,2752874000,2749765000
16,EBITDA ratio,-0.3261,0.4799,0.3487,0.6453,0.6585,0.4268,0.2904
17,Operating Income,-340764000,- -,-2351477000,-2504330000,- -,2307533000,2613766000
18,Operating Income ratio,-1.7267,- -,-0.5874,-0.5936,- -,0.3578,0.2760
19,Total Other Income Expenses (Gains),272988000,354697000,3709095000,5124987000,1316722000,116469000,122368000
20,Income Before Tax,-67776000,549757000,1357618000,2620657000,2856480000,2424002000,2736134000
21,Income Before Tax Ratio,-0.3434,0.4548,0.3391,0.6212,0.5882,0.3758,0.2889
22,Income Tax expense (Gain),4364000,48267000,274711000,151206000,481962000,455421000,240818000
23,Net Income,-72140000,501490000,1082983000,2469074000,2372850000,1972700000,2508947000
24,Net Income ratio,-0.3655,0.4149,0.2705,0.5852,0.4886,0.3059,0.2649
25,EPS,-0.60,-0.20,-12.76,8.24,7.78,6.70,8.49
26,EPS Diluted,-0.60,-0.20,-12.76,7.72,7.64,6.60,8.49
27,Weighted Average Shares Outstanding,299625222,299625222,155960854,299756033,305162256,295432598,295432598
28,Weighted Average Shares Outstanding Diluted,299625222,299625222,155960854,319918446,310484030,298265084,295432598
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1691445/000119312519119643/d655101d20f.htm,https://www.sec.gov/Archives/edgar/data/1691445/000119312520128778/d844286d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,92495000,404678000,1891131000,1616164000,2324542000,2632174000,4418127000
32,Short-Term Investments,34468000,260000000,1962287000,1694660000,114560000,1970958000,1204901000
33,Cash and Short-Term Investments,126963000,664678000,3853418000,3310824000,2439102000,4603132000,5623028000
34,Net Receivables,264860000,346242000,1854381000,5324396000,9380754000,4340342000,4804920000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,289669000,897305000,2536227000,3897403000,5057226000,4534236000,5972852000
37,Total Current Assets,681492000,1908225000,8244026000,12532623000,16877082000,13477710000,16400800000
38,PP&E,19911000,37629000,108248000,144002000,230110000,148844000,161535000
39,Goodwill,- -,- -,50411000,50411000,50411000,50411000,50411000
40,Intangible Assets,- -,- -,63760000,68880000,64280000,98947000,98947000
41,Intangible Assets,- -,- -,114171000,119291000,114691000,149358000,149358000
42,Investments,- -,2428000,8857000,167501000,952833000,950515000,971117000
43,Tax Assets,14879000,31718000,128361000,122763000,129740000,155758000,455741000
44,Other Non-Current Assets,20638000,167291000,- -,56287000,- -,- -,- -
45,Total Non-Current Assets,55428000,239066000,359637000,609844000,1427374000,1404475000,1737751000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,736920000,2147291000,8603663000,13142467000,18304456000,14882185000,18138551000
48,Accounts Payable,176165000,421659000,1113966000,905034000,- -,- -,- -
49,Short-Term Debt,20000000,- -,- -,25000000,235000000,- -,- -
50,Tax Payable,30725000,85209000,257143000,225101000,128298000,154398000,200648000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1097939000
52,Other Current Liabilities,249104000,771750000,3177800000,5926812000,9663010000,2595027000,2971453000
53,Total Current Liabilities,445269000,1193409000,4291766000,6856846000,9898010000,2595027000,4069392000
54,Long-Term Debt,- -,- -,- -,- -,85143000,43296000,33356000
55,Deferred Revenue,13680000,162896000,265094000,165469000,55728000,1262843000,- -
56,Deferred Tax Liabilities,- -,- -,15940000,100064000,198922000,103548000,137632000
57,Other Non-Current Liabilities,9594000,18764000,348675000,34350000,55173000,2447141000,3188561000
58,Total Non-Current Liabilities,23274000,181660000,629709000,299883000,394966000,3856828000,3359549000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,85143000,43296000,33356000
61,Total Liabilities,468543000,1375069000,4921475000,7156729000,10292976000,6451855000,7428941000
62,Preferred Stock,585770000,1210645000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,100000,102000,103000,103000,103000
64,Retained Earnings,-292874000,-369068000,-2398984000,45668000,1966611000,2651918000,4690951000
65,Other Comprehensive Income/Loss,-24519000,-69355000,70007000,314216000,387518000,452916000,593634000
66,Other Total Stockholders Equity,- -,- -,5951044000,5563896000,5593724000,5258369000,5370562000
67,Total Stockholders Equity,268377000,772222000,3622167000,5923882000,7947956000,8363306000,10655250000
68,Total Liabilities And Stockholders Equity,736920000,2147291000,8543642000,13080611000,18240932000,14815161000,18084191000
69,Minority Interest,- -,- -,60021000,61856000,63524000,67024000,54360000
70,Total Liabilities & Equity,736920000,2147291000,8603663000,13142467000,18304456000,14882185000,18138551000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1691445/000119312519119643/d655101d20f.htm,https://www.sec.gov/Archives/edgar/data/1691445/000119312520128778/d844286d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-72140000,501490000,1082983000,2469074000,2372850000,1972700000,2508947000
74,Depreciation and Amortization,3252000,12086000,22555000,42162000,107085000,96433000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,106152000,50319000,42260000,42169000,- -
77,Change in Working Capital,-51247000,284991000,290607000,-703886000,-2201116000,578778000,- -
78,Accounts Receivable,-47808000,43758000,-3578000,-746753000,-332145000,-248339000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-208932000,-220404000,- -,- -
81,Other Working Capital,-19193000,132377000,51122000,-40661000,-17860000,-1702508000,- -
82,Other Non-Cash Items,-71752000,-264519000,362243000,27287000,-536601000,-483171000,-1878720000
83,Cash Provided by Operating Activities,-191887000,534048000,1864540000,1884956000,-215522000,2206909000,630227000
84,CAPEX,-17548000,-29804000,-90871000,-88704000,-48659000,-32017000,- -
85,Acquisitions Net,- -,14000000,-34078000,- -,- -,- -,- -
86,Purchases of Investments,-34468000,-295193000,-8157403000,-12954496000,-4705724000,-8037829000,- -
87,Sales/Maturities of Investments,- -,68498000,6485536000,13122058000,5554077000,6180251000,- -
88,Other Investing Activites,-80226000,-420560000,-698759000,-1530991000,-1627913000,2910091000,1994845000
89,Cash Used for Investing Activites,-132242000,-663059000,-2495575000,-1447013000,-828219000,1041496000,1994845000
90,Debt Repayment,-5000000,-20000000,- -,-63685000,-25000000,-235000000,- -
91,Common Stock Issued,- -,- -,1677222000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-452262000,-42276000,-379984000,- -
93,Dividends Paid,- -,- -,- -,- -,-390715000,-263569000,- -
94,Other Financing Activites,343045000,458701000,455711000,1046044000,2207503000,-2212726000,-239800000
95,Cash Used/Provided by Financing Activities,338045000,438701000,2132933000,530097000,1749512000,-3091279000,-239800000
96,Effect of Forex Changes on Cash,1289000,2493000,-15445000,41977000,11253000,-51470000,-10132000
97,Net Change In Cash,15205000,312183000,1486453000,1010017000,717024000,105656000,2375140000
98,Cash at the End of Period,92495000,404678000,1891131000,5293721000,6010745000,6116401000,8491541000
99,Cash at the Beginning of Period,77290000,92495000,404678000,4283704000,5293721000,6010745000,6116401000
100,Free Cash Flow,-209435000,504244000,1773669000,1796252000,-264181000,2174892000,630227000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1691445/000119312519119643/d655101d20f.htm,https://www.sec.gov/Archives/edgar/data/1691445/000119312520128778/d844286d20f.htm,- -,- -
102,Forex Rate,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
