,https://roic.ai/company/NGD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1,1,1,1,- -,72578,83656,470009,420090,- -,- -,218135000,323780000,530450000,695939000,791300000,779700000,726000000,712900000,683800000,604400000,604500000,630600000,643400000,745500000
2,COGS,- -,- -,- -,- -,- -,- -,23863,- -,- -,- -,- -,202655000,241571000,327354000,380713000,460700000,612900000,628700000,660300000,621200000,541300000,565300000,612500000,533000000,573000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,59792,- -,- -,- -,- -,15480000,82209000,203096000,315226000,330600000,166800000,97300000,52600000,62600000,63100000,39200000,18100000,110400000,172500000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.7147,- -,- -,- -,- -,0.0710,0.2539,0.3829,0.4530,0.4178,0.2139,0.1340,0.0738,0.0915,0.1044,0.0648,0.0287,0.1716,0.2314
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8489000,- -,12834000,10021000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,293498,370251,1436858,3317078,5738675,7160456,23029000,31272000,32622000,37412000,36100000,35200000,32900000,27700000,31200000,28800000,23900000,19300000,23200000,24000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,293498,370251,1436858,3317078,5738675,7160456,23029000,31272000,32622000,37412000,36100000,35200000,32900000,27700000,31200000,28800000,23900000,19300000,23200000,24000000
9,Other Expenses,71994,67264,63368,97104,120525,7666,9667,33705,82225,119252,32313,- -,- -,- -,- -,20600000,34100000,11800000,10700000,11800000,7700000,5000000,8300000,2400000,15400000
10,Operating Expenses,71994,67264,63368,97104,120525,301164,379918,1470562,3399303,5857927,7192770,31518000,31272000,45456000,47433000,56700000,69300000,44700000,38400000,43000000,36500000,28900000,27600000,25600000,39400000
11,COGS and Expenses,71994,67264,63368,97104,120525,301164,403781,1470562,3399303,5857927,7192770,234173000,272843000,372810000,428146000,517400000,682200000,673400000,698700000,664200000,577800000,594200000,640100000,558600000,612400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,2355868,6643441,5368000,4896000,3258000,3589000,1400000,2700000,1100000,1400000,1400000,1100000,1500000,2200000,1100000,300000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22341715,3002000,3140000,947000,5142000,11700000,36800000,24300000,33900000,5200000,9000000,62200000,51200000,49300000,28300000
14,Depreciation and Amortization,5990,6298,6749,7469,6930,7666,9667,33705,82225,119252,32313,32961000,59473000,76307000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196800000
15,EBITDA,-34055,-33285,-69275,680,-65852,-226438,-310900,-966848,-2899526,-5738675,-7160456,-73739000,-116797000,295318000,263528000,290500000,-154800000,-385200000,-274400000,7200000,-214900000,-1188700000,-22700000,-25700000,385400000
