,https://roic.ai/company/ARDX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,5410000,28928000,31623000,24026000,- -,42000000,2607000,5281000,7571000,10097000
2,COGS,- -,- -,- -,- -,- -,8400000,466000,600000,145000,1000000
3,Gross Profit,5410000,28928000,31623000,24026000,- -,33600000,2141000,4681000,7426000,9097000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,- -,0.8000,0.8213,0.8864,0.9808,0.9010
5,Research and Development Exp.,10184000,28093000,25900000,39885000,94161000,75484000,69373000,71677000,65053000,91140000
6,General and Administrative Exp.,4031000,3700000,7287000,13530000,18734000,23231000,23715000,24267000,33153000,72303000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4031000,3700000,7287000,13530000,18734000,23231000,23715000,24267000,33153000,72303000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,14215000,31793000,33187000,53415000,112895000,98715000,93088000,95944000,98206000,163443000
11,COGS and Expenses,14215000,31793000,33187000,53415000,112895000,107115000,93554000,96544000,98351000,164443000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,3534000,5726000,5099000,4502000
14,Depreciation and Amortization,675000,592000,302000,829000,1295000,2639000,2678000,2501000,1824000,1441000
15,EBITDA,-9110000,-5831000,-2845000,-28821000,-111600000,-60521000,-85082000,-86410000,-87388000,-152218000
16,EBITDA ratio,-1.6839,-0.2016,-0.0900,-1.1996,-Infinity,-1.4410,-32.6360,-16.3624,-11.5425,-15.0756
17,Operating Income,-8805000,-2865000,-1564000,-29389000,-112895000,-65115000,-90947000,-91263000,-90780000,-154346000
18,Operating Income ratio,-1.6275,-0.0990,-0.0495,-1.2232,-Infinity,-1.5504,-34.8857,-17.2814,-11.9905,-15.2863
19,Total Other Income Expenses (Gains),-980000,-3558000,-1583000,-261000,508000,1955000,-347000,-3374000,-3531000,-3815000
20,Income Before Tax,-9785000,-6423000,-3147000,-29650000,-112387000,-63160000,-91294000,-94637000,-94311000,-158161000
