,https://roic.ai/company/FAMI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,11405499,20715230,26665601,29819088,30841875,30167779,39289951
2,COGS,9685553,17371416,22140879,24751473,25419751,25203243,34180670
3,Gross Profit,1719946,3343814,4524722,5067615,5422124,4964536,5109281
4,Gross Profit Ratio,0.1508,0.1614,0.1697,0.1699,0.1758,0.1646,0.1300
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,306715,395854,915474,1442155,1797130,1640633,2838790
7,Selling and Marketing Exp.,81150,78507,140019,547532,589381,331962,292709
8,"Selling, General and Administrative Exp.",387865,474361,1055493,1989687,2386511,1972595,3131499
9,Other Expenses,- -,- -,- -,- -,- -,890926,-875094
10,Operating Expenses,387865,474361,1055493,1989687,2386511,2863521,2256405
11,COGS and Expenses,10073418,17845777,23196372,26741160,27806262,28066764,36437075
12,Interest Income ,446,475,311,731,635,313,33576
13,Interest Expense (Gain),263427,250732,209159,154400,3310809,271617,73866
14,Depreciation and Amortization,20530,18891,21939,24886,46779,82809,- -
15,EBITDA,1344120,2853152,3508201,3410381,3084715,1213363,2457851
16,EBITDA ratio,0.1178,0.1377,0.1316,0.1144,0.1000,0.0402,0.0626
17,Operating Income,1332081,2869453,3469229,3077928,3035613,2101015,2852876
18,Operating Income ratio,0.1168,0.1385,0.1301,0.1032,0.0984,0.0696,0.0726
19,Total Other Income Expenses (Gains),-271918,-289996,-193090,160401,-3312053,-1252229,-419515
20,Income Before Tax,1060163,2579457,3276139,3238329,-276440,848786,2433361
21,Income Before Tax Ratio,0.0930,0.1245,0.1229,0.1086,-0.0090,0.0281,0.0619
22,Income Tax expense (Gain),299313,269367,5793,9063,34564,35331,25571
23,Net Income,760850,2314162,3271310,3222032,-307437,823606,2358414
24,Net Income ratio,0.0667,0.1117,0.1227,0.1081,-0.0100,0.0273,0.0600
25,EPS,0.08,0.23,0.28,0.29,-0.03,0.05,0.20
26,EPS Diluted,0.08,0.23,0.28,0.29,-0.03,0.05,0.20
27,Weighted Average Shares Outstanding,10000000,10000000,11680000,11173699,11678773,16244856,11678773
28,Weighted Average Shares Outstanding Diluted,11680000,11680000,11680000,11173699,11678773,16244856,11678773
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701261/000110465919077298/0001104659-19-077298-index.html,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,156490,47241,2590540,4925170,135130,548151,59251904
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,156490,47241,2590540,4925170,135130,548151,59251904
