,https://roic.ai/company/ALIM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,1872000,8423000,22438000,34333000,35912000,46970000,53943000,50820000,47981000
2,COGS,- -,- -,- -,- -,- -,- -,- -,1863000,1442000,1762000,2344000,3438000,4679000,6626000,6941000,7030000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,9000,6981000,20676000,31989000,32474000,42291000,47317000,43879000,40951000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.0048,0.8288,0.9215,0.9317,0.9043,0.9004,0.8772,0.8634,0.8535
5,Research and Development Exp.,6736000,8363000,43764000,15057000,12581000,7100000,7935000,8429000,11363000,14840000,12375000,12844000,11274000,10992000,9668000,13778000
6,General and Administrative Exp.,3028000,3184000,5058000,3407000,4610000,6203000,6575000,9613000,12371000,14190000,15263000,13039000,14525000,13954000,11652000,12774000
7,Selling and Marketing Exp.,616000,969000,1259000,752000,4880000,8104000,7529000,16371000,15535000,28090000,29431000,23210000,23517000,25004000,20384000,23069000
8,"Selling, General and Administrative Exp.",3644000,4153000,6317000,4159000,9490000,14307000,14104000,25984000,27906000,42280000,44694000,36249000,38042000,38958000,32036000,35843000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,659000,2555000,2767000,2684000,2645000,2641000,2676000,2579000
10,Operating Expenses,10380000,12516000,50081000,19216000,22071000,21407000,22039000,34413000,39928000,59675000,59836000,51777000,51961000,52591000,44380000,52200000
11,COGS and Expenses,10380000,12516000,50081000,19216000,22071000,21407000,22039000,36276000,41370000,61437000,62180000,55215000,56640000,59217000,51321000,59230000
12,Interest Income ,596000,1079000,585000,37000,73000,16000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2000,2000,1514000,1897000,848000,1125000,795000,533000,2090000,4693000,5178000,5579000,4775000,4869000,5380000,-5413000
14,Depreciation and Amortization,129000,147000,241000,1098000,194000,133000,106000,138000,659000,2555000,2767000,2684000,2645000,2641000,2676000,2579000
15,EBITDA,-10257000,-12370000,-39386000,5024000,-21877000,-21274000,-21933000,-45558000,-32987000,-23267000,-25057000,-13575000,-8856000,-2717000,2649000,-7206000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-24.3365,-3.9163,-1.0369,-0.7298,-0.3780,-0.1885,-0.0504,0.0521,-0.1502
17,Operating Income,- -,- -,- -,- -,- -,-21407000,-22039000,-34404000,-32947000,-38999000,-27847000,-16452000,-9670000,-5274000,-501000,-201000
18,Operating Income ratio,- -,- -,- -,- -,- -,-Infinity,-Infinity,-18.3782,-3.9116,-1.7381,-0.8111,-0.4581,-0.2059,-0.0978,-0.0099,-0.0042
19,Total Other Income Expenses (Gains),6000,1000,-10454000,-23142000,4987000,- -,2293000,-11825000,-2789000,8484000,-5155000,-5386000,-6606000,-4953000,-4906000,-4171000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-19746000,-46229000,-35736000,-30515000,-33002000,-21838000,-16276000,-10227000,-5407000,-4372000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-24.6950,-4.2427,-1.3600,-0.9612,-0.6081,-0.3465,-0.1896,-0.1064,-0.0911
