,https://roic.ai/company/BLPG,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1032168,2618849,2821187,3865807,4050037,4126059,4131650,4659393
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,778777,2227176,2420634,2908297,2712319,2127347,1202199,1284876
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,253391,391673,400553,957510,1337718,1998712,2929451,3374517
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.2455,0.1496,0.1420,0.2477,0.3303,0.4844,0.7090,0.7242
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,8297,21675,10467,11662,- -,14932,15288,2661998,1500382,2011628,1929174,2073346,2161499,2136056,2118601
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,189536,30502,12480,8119,9871,15079,- -,- -
8,"Selling, General and Administrative Exp.",- -,8297,21675,10467,11662,- -,14932,15288,2851534,1530884,2024108,1937293,2083217,2176578,2136056,2118601
9,Other Expenses,- -,- -,265,507,507,15419,- -,- -,27172,41912,67094,50332,82663,130831,- -,- -
10,Operating Expenses,- -,8297,21940,10974,12169,15419,14932,15288,2878706,1572796,2091202,1987625,2165880,2307409,2136056,2118601
11,COGS and Expenses,- -,8297,21940,10974,12169,15419,14932,15288,3657483,3799972,4511836,4895922,4878199,4434756,3338255,3403477
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,10683,3106,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,11308,84484,433259,387621,1361933,839971,745360,583149
14,Depreciation and Amortization,- -,- -,265,507,507,242,- -,- -,27172,41912,67094,50332,89717,130831,242754,134371
15,EBITDA,- -,-8297,-21675,-10467,-11662,-15177,-14932,-15288,-2387461,-1189011,-1935608,-2216481,198915,-637481,53537,2468109
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.3131,-0.4540,-0.6861,-0.5734,0.0491,-0.1545,0.0130,0.5297
17,Operating Income,- -,- -,- -,- -,- -,- -,-14932,-15288,-2625315,-1181123,-2002702,-1030115,-828162,-308697,793395,1255916
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-2.5435,-0.4510,-0.7099,-0.2665,-0.2045,-0.0748,0.1920,0.2695
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,199374,-79378,-433259,-1624319,-424573,-1299586,-1727972,494673
20,Income Before Tax,- -,-8297,- -,- -,- -,- -,-14932,-15288,-2425941,-1260501,-2435961,-2654434,-1252735,-1608283,-934577,1750589
21,Income Before Tax Ratio,- -,-Infinity,- -,- -,- -,- -,-Infinity,-Infinity,-2.3503,-0.4813,-0.8635,-0.6866,-0.3093,-0.3898,-0.2262,0.3757
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-8297,-21940,-10974,-12169,-15419,-14932,-15288,-2425941,-1315407,-2435961,-2654434,-1252735,-1608283,-934577,1750589
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.3503,-0.5023,-0.8635,-0.6866,-0.3093,-0.3898,-0.2262,0.3757
25,EPS,- -,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-2.00,-1.00,-2.00,-2.00,-1.00,-0.28,-0.12,0.22
26,EPS Diluted,- -,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-2.00,-1.00,-2.00,-2.00,-1.00,-0.28,-0.12,0.22
27,Weighted Average Shares Outstanding,84000000,897518,1068200,1068200,1068200,1068200,1068200,1068200,1169420,1245453,1262312,1282603,1912199,5744346,8016204,8016204
28,Weighted Average Shares Outstanding Diluted,84000000,897518,1068200,1068200,1068200,1068200,1068200,1068200,1221848,1245453,1262312,1282603,1912199,5744346,8016204,8016204
