,https://roic.ai/company/SLI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,312246,511057,603491,613802,580462,550189,1038195,493544,176788,121952,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,33094,66460,43872,44594,65487,64100,255439,413243,48727,25229,2126,3056,- -,- -,- -,- -,- -,- -,3750602,11551500
3,Gross Profit,279152,444597,559619,569208,514975,486089,782756,80301,128061,96723,-2126,-3056,- -,- -,- -,- -,- -,- -,-3750602,-11551500
4,Gross Profit Ratio,0.8940,0.8700,0.9273,0.9273,0.8872,0.8835,0.7540,0.1627,0.7244,0.7931,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,246718,- -,4252,2811,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,628237,276375,209796,260504,73709,371565,9828717,- -,6978089,4723549,13832929
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1247543,- -,1528862,302372,496230
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,628237,276375,209796,260504,73709,371565,11076260,- -,8506951,5025921,14329159
9,Other Expenses,133597,308715,242196,207013,260456,380051,366549,268224,229305,98021,109737,- -,- -,- -,- -,240482,- -,- -,- -,229257
10,Operating Expenses,133597,308715,242196,207013,260456,380051,366549,268224,229305,726258,386112,209796,260504,73709,371565,11563460,- -,8511203,5028732,14558416
11,COGS and Expenses,166691,375175,286068,251607,325943,444151,621988,681467,278032,751487,388238,212852,260504,73709,371565,11563460,- -,8511203,8779334,26109916
12,Interest Income ,- -,1584,- -,26477,37823,- -,17933,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,91184,81310,- -,- -,44829,90955,62308,20229,1288,- -,45684,150167,173662
14,Depreciation and Amortization,988,239322,122526,71200,112915,46670,70662,234563,18841,9117,681,- -,- -,- -,- -,- -,- -,- -,3750602,11551500
15,EBITDA,150583,274173,353810,483223,415008,94026,667870,-281395,825220,-613228,-333852,-183480,-260504,-73709,-371565,-11563460,- -,-8511203,-5112146,-14558416
16,EBITDA ratio,0.4823,0.5365,0.5863,0.7873,0.7150,0.1709,0.6433,-0.5702,4.6679,-5.0284,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity
