,https://roic.ai/company/GSPE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,7432,3770,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,6303,3492,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,1129,278,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.1519,0.0737,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,20000,20000,10000,10000,60000,1540000,2240000,2500000,3219450,1656060,964310,1220250,1472730,1098233000,1505270
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12075,21463,17002,18869,7744,7450,57355,1537215,2237269,2496248,3219454,1656062,964309,1220247,1472729,1098233,1505270
9,Other Expenses,- -,278,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12075,21741,17002,18869,7744,7450,57355,1537215,2237269,2496248,3219454,1656062,964309,1220247,1472729,1098233,1505270
11,COGS and Expenses,18378,25233,20000,20000,10000,10000,60000,1540000,17360000,5220000,3312510,4546740,4370220,1746710,12572590,1098233000,1505270
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,316,2732,966,- -,- -,27312,76469,22649,1085
13,Interest Expense (Gain),- -,- -,- -,- -,3445,4012,3375,60,94986,290253,349041,629174,1324127,780513,1828489,38762,553997
14,Depreciation and Amortization,965,2337,2947,2160,- -,- -,- -,- -,7217,34565,51934,46226,20804,4724,5619,6667,6667
15,EBITDA,-10259,-19245,-20000,-20000,-10000,-10000,-60000,-1540000,-17350000,-5190000,-3260580,-4500510,-4349420,-1741990,-12566970,-3516451000,-1497518
16,EBITDA ratio,-1.3804,-5.1048,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-10946,-21463,-16914,-18869,-7744,-7450,-57355,-1537215,-17357843,-5222351,-3312506,-4546740,-4280521,-1220247,-7473246,-3523118,-1901543
18,Operating Income ratio,-1.4728,-5.6931,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-278,-119,-3086,-1131,-2256,-2550,-2645,-2785,-92157,-287649,-348074,-629170,-1413829,-1416483,-6250504,-2412568882,-324776
20,Income Before Tax,-11224,-21582,-20000,-20000,-10000,-10000,-60000,-1540000,-17450000,-5510000,-3660580,-5175910,-5694350,-2636730,-13723750,-2416092000,-2226319
21,Income Before Tax Ratio,-1.5102,-5.7247,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),100,100,- -,- -,- -,- -,- -,- -,- -,- -,31000,- -,- -,- -,- -,- -,- -
23,Net Income,-11324,-21682,-20000,-20000,-10000,-10000,-60000,-1540000,-17450000,-5510000,-3691580,-5175910,-5694350,-2636730,-13723750,-2416092000,-2226319
24,Net Income ratio,-1.5237,-5.7512,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
