,https://roic.ai/company/TNXP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,7111,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-7111,-17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,1158167,2583308,4650000,18617000,35504000,28533000,13342000,17558000,18192000,36157000,- -
6,General and Administrative Exp.,14023,13866,13724,2220361,4078102,6238000,9039000,12658000,10436000,7949000,8764000,10636000,14354000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",14023,13866,13724,2220361,4078102,6238000,9039000,12658000,10436000,7949000,8764000,10636000,14354000,- -
9,Other Expenses,- -,- -,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92312000
10,Operating Expenses,14023,13866,17724,3378528,6661410,10888000,27656000,48162000,38969000,21291000,26322000,28828000,50511000,92312000
11,COGS and Expenses,21134,30866,17724,3378528,6661410,10888000,27656000,48162000,38969000,21291000,26322000,28828000,50511000,92312000
12,Interest Income ,- -,- -,- -,- -,- -,4000,40000,108000,127000,168000,233000,210000,48000,25000
13,Interest Expense (Gain),- -,- -,- -,- -,1613039,4000,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,9300,14329,17000,36000,161000,206000,70000,54000,26000,27000,50000
15,EBITDA,-21134,-30866,-17724,-3369228,-6647081,-10871000,-27620000,-48001000,-38763000,-21221000,-26268000,-28802000,-50484000,-92262000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,- -,-3378528,-6661410,-10888000,-27656000,-48162000,-38969000,-21291000,-26322000,-28828000,-50511000,-92312000
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-2788190,4000,40000,108000,127000,168000,233000,210000,48000,- -
20,Income Before Tax,- -,- -,- -,- -,-9449600,-10884000,-27616000,-48054000,-38842000,-21123000,-26089000,-28618000,-50463000,- -
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-21134,-30866,-17724,-3470113,-9449600,-10884000,-27616000,-48054000,-38842000,-21123000,-26089000,-28618000,-50463000,-92287000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-76.85,-112.24,-64.45,-3200.00,-5600.00,-3370.00,-2770.00,-2860.00,-1541.00,-317.00,-268.10,-19.33,-0.55,-0.98
26,EPS Diluted,-76.85,-112.24,-64.45,-3200.00,-5600.00,-3370.00,-2770.00,-2860.00,-1541.00,-317.00,-268.10,-19.33,-0.55,-0.98
27,Weighted Average Shares Outstanding,275,275,275,1071,1693,3231,9986,16791,25210,66650,109486,1608568,94591715,94591715
28,Weighted Average Shares Outstanding Diluted,275,275,275,1071,1693,3231,9986,16791,25210,66650,109486,1608568,94591715,94591715
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1430306/000116552709000167/0001165527-09-000167-index.html,https://www.sec.gov/Archives/edgar/data/1430306/000116552710000110/0001165527-10-000110-index.html,- -,https://www.sec.gov/Archives/edgar/data/1430306/000114420412019081/0001144204-12-019081-index.html,https://www.sec.gov/Archives/edgar/data/1430306/000114420413014283/0001144204-13-014283-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000114420414018823/0001144204-14-018823-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000114420415012769/0001144204-15-012769-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000114420416085821/0001144204-16-085821-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000161577417001665/0001615774-17-001665-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000161577418001762/0001615774-18-001762-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000138713119001980/0001387131-19-001980-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000138713120003189/0001387131-20-003189-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000138713121003550/0001387131-21-003550-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000138713122003640/0001387131-22-003640-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,40475,12606,4624,41123,1785390,8202000,38184000,19175000,18941000,25496000,25034000,11249000,77068000,178660000
32,Short-Term Investments,4882,425,- -,- -,- -,- -,- -,23841000,7180000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,45357,13031,4624,41123,1785390,8202000,38184000,43016000,26121000,25496000,25034000,11249000,77068000,178660000
34,Net Receivables,552,- -,- -,- -,- -,- -,- -,2826000,392000,494000,525000,1011000,7627000,7726000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,102430,224659,429000,852000,517000,627000,453000,497000,1688000,3294000,2663000
37,Total Current Assets,45909,13031,4624,143553,2010049,8631000,39036000,46359000,27140000,26443000,26056000,13948000,87989000,189049000
38,PP&E,- -,- -,- -,25550,46894,45000,328000,350000,150000,91000,43000,390000,9829000,51472000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,120000,120000,120000,120000,- -,120000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,120000,120000,120000,120000,120000,120000,120000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,256343,60267,60000,178000,189000,100000,100000,100000,100000,245000,- -
45,Total Non-Current Assets,- -,- -,- -,281893,107161,105000,506000,659000,370000,311000,263000,610000,10194000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51851000
47,Total Assets,45909,13031,4624,425446,2117210,8736000,39542000,47018000,27510000,26754000,26319000,14558000,98183000,240900000
48,Accounts Payable,- -,988,305,695198,825837,765000,1487000,3049000,872000,1296000,1404000,3070000,4598000,- -
49,Short-Term Debt,- -,- -,- -,150000,- -,280000,- -,- -,- -,- -,- -,352000,595000,489000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2246000,504000,519000,475000,704000,2169000,2832000
52,Other Current Liabilities,3000,- -,10000,80078,312955,1166000,1895000,1355000,740000,311000,776000,1009000,2457000,18395000
53,Total Current Liabilities,3000,988,10305,925276,1138792,2211000,3382000,6650000,2116000,2126000,2655000,5135000,9819000,21716000
54,Long-Term Debt,- -,- -,- -,1925000,- -,- -,- -,- -,- -,- -,- -,- -,- -,467000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,29083,19710,13000,68000,106000,33000,12000,- -,6000,716000,- -
58,Total Non-Current Liabilities,- -,- -,- -,1954083,19710,13000,68000,106000,33000,12000,- -,6000,716000,467000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000,1311000,- -
61,Total Liabilities,3000,988,10305,2879359,1158502,2224000,3450000,6756000,2149000,2138000,2655000,5141000,10535000,22183000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5500,5500,5500,27067,43183,6000,11000,19000,4000,8000,3000,9000,206000,496000
64,Retained Earnings,-22091,-52957,-70681,-6394680,-15844280,-26728000,-54344000,-102398000,-141240000,-162363000,-188452000,-217070000,-267533000,-359820000
65,Other Comprehensive Income/Loss,- -,- -,- -,-17312,-31641,-1000,2000,-17000,-7000,-12000,-41000,-46000,-62000,-92000
66,Other Total Stockholders Equity,59500,59500,59500,3931012,16791446,33235000,90423000,142658000,166604000,186983000,212154000,226524000,355037000,- -
67,Total Stockholders Equity,42909,12043,-5681,-2453913,958708,6512000,36092000,40262000,25361000,24616000,23664000,9417000,87648000,218717000
68,Total Liabilities And Stockholders Equity,45909,13031,4624,425446,2117210,8736000,39542000,47018000,27510000,26754000,26319000,14558000,98183000,240900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,45909,13031,4624,425446,2117210,8736000,39542000,47018000,27510000,26754000,26319000,14558000,98183000,240900000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1430306/000116552709000167/0001165527-09-000167-index.html,https://www.sec.gov/Archives/edgar/data/1430306/000116552710000110/0001165527-10-000110-index.html,- -,https://www.sec.gov/Archives/edgar/data/1430306/000114420412019081/0001144204-12-019081-index.html,https://www.sec.gov/Archives/edgar/data/1430306/000114420413014283/0001144204-13-014283-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000114420414018823/0001144204-14-018823-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000114420415012769/0001144204-15-012769-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000114420416085821/0001144204-16-085821-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000161577417001665/0001615774-17-001665-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000161577418001762/0001615774-18-001762-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000138713119001980/0001387131-19-001980-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000138713120003189/0001387131-20-003189-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000138713121003550/0001387131-21-003550-index.htm,https://www.sec.gov/Archives/edgar/data/1430306/000138713122003640/0001387131-22-003640-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-21134,-30866,-17724,-3470113,-9449600,-10884000,-27616000,-48054000,-38842000,-21123000,-26089000,-28618000,-50463000,-92287000
74,Depreciation and Amortization,- -,- -,- -,9300,14329,17000,36000,161000,206000,70000,54000,26000,27000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,435651,865158,1717000,3088000,4389000,3266000,1790000,1627000,1457000,2876000,7899000
77,Change in Working Capital,-2434,-30866,-17724,-776042,1652980,5548743,29234000,4055000,-14685000,-707000,-916000,-14588000,69357000,5781000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,988,-683,377453,130639,-60000,728000,1583000,-2185000,424000,106000,1663000,1528000,3526000
81,Other Working Capital,42909,12043,-5681,-781723,871257,6420000,35654000,39709000,25024000,24317000,23401000,8813000,78170000,-11000
82,Other Non-Cash Items,- -,33863,17466,1163666,1204269,-4915743,-27582000,-3079000,12740000,842000,1353000,15040000,-70363000,78607000
83,Cash Provided by Operating Activities,-23568,-27869,-17982,-2637538,-5712864,-8517000,-22840000,-42528000,-37315000,-19128000,-23971000,-26683000,-48566000,- -
84,CAPEX,- -,- -,- -,-2764,-35673,-15000,-319000,-238000,-66000,-5000,-6000,-17000,-8564000,-35307000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-28643000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,4710000,16615000,7174000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,3066,-90,- -,-73000,-120000,45000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,302,-35763,-15000,-392000,-24171000,16594000,7169000,-6000,-17000,-8564000,- -
90,Debt Repayment,- -,- -,- -,500000,-150000,- -,-280000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,50000,- -,- -,- -,6932894,10042000,47836000,47685000,20498000,18505000,12714000,5869000,108605000,212389000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,451000,- -
94,Other Financing Activites,- -,- -,10000,2113000,710000,4908000,5661000,9000,- -,14000,10825000,7050000,14049000,98000
95,Cash Used/Provided by Financing Activities,50000,- -,10000,2613000,7492894,14950000,53217000,47694000,20498000,18519000,23539000,12919000,123105000,212487000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-1000,-3000,-4000,-11000,-5000,-13000,-4000,-16000,- -
97,Net Change In Cash,26432,-27869,-7982,-24236,1744267,6417000,29982000,-19009000,-234000,6555000,-451000,-13785000,65959000,212487000
