,https://roic.ai/company/DGLY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,4109394,19391082,32625477,26366253,25211005,19577153,17618108,17826329,17444419,20030208,16574491,14577600,11291409,10441364,10514868
2,COGS,- -,1794433,7649930,12980683,12933209,13083756,10805223,8136121,7717839,7521626,11680853,11273258,10032627,7329601,7208735,6452274
3,Gross Profit,- -,2314961,11741152,19644794,13433044,12127249,8771930,9481987,10108490,9922793,8349355,5301233,4544973,3961808,3232629,4062594
4,Gross Profit Ratio,- -,0.5633,0.6055,0.6021,0.5095,0.4810,0.4481,0.5382,0.5671,0.5688,0.4168,0.3198,0.3118,0.3509,0.3096,0.3864
5,Research and Development Exp.,- -,- -,- -,- -,3603696,3437959,2773962,2528790,3669022,2905407,2980807,3186137,3149011,1444063,2005717,1842800
6,General and Administrative Exp.,- -,5656534,8875915,- -,8485495,9630049,7389938,5738338,5781710,6565816,9024619,10362389,8722336,10276009,9607259,7276203
7,Selling and Marketing Exp.,- -,- -,- -,- -,3411693,2853054,2232831,2587427,2699884,3340764,3965400,4238895,3873091,2797793,3652434,2607242
8,"Selling, General and Administrative Exp.",2309529,5656534,8875915,- -,11897188,12483103,9622769,8325765,8481594,9906580,12990019,14601284,12595427,13073802,13259693,9883445
9,Other Expenses,- -,- -,- -,14544759,-278173,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,5656534,8875915,14544759,15222711,15921062,12396731,10854555,12150616,12811987,15970826,17787421,15744438,14517865,15265410,11726245
11,COGS and Expenses,2309529,7450967,16525845,27525442,28155920,29004818,23201954,18990676,19868455,20333613,27651679,29060679,25777065,21847466,22474145,18178519
12,Interest Income ,28804,20742,34609,78595,35350,24153,16108,10088,11390,13660,21156,26195,11818,19524,37410,47893
13,Interest Expense (Gain),59562,40398,28006,- -,- -,24865,222460,294559,277961,499744,282233,3102,733736,1366520,43373,342379
14,Depreciation and Amortization,21045,85057,192033,455255,914856,799370,1062103,672090,428999,605792,547769,574080,681928,500177,390151,250156
15,EBITDA,-2288484,-3235774,3080373,5633885,-839461,-2970290,-2677683,-1004340,-1790980,-8057725,-11207890,-12133506,-10926793,-13677854,-9572189,-2033346
16,EBITDA ratio,-Infinity,-0.7874,0.1589,0.1727,-0.0318,-0.1178,-0.1368,-0.0570,-0.1005,-0.4619,-0.5595,-0.7321,-0.7496,-1.2114,-0.9168,-0.1934
17,Operating Income,-2309529,-3341573,2865237,5100035,-1789667,-3793813,-3624801,-1686518,-2250442,-2889194,-7621471,-12486188,-11199465,-10556057,-6032781,-7663651
18,Operating Income ratio,-Infinity,-0.8132,0.1478,0.1563,-0.0679,-0.1505,-0.1852,-0.0957,-0.1262,-0.1656,-0.3805,-0.7533,-0.7683,-0.9349,-0.5778,-0.7288
19,Total Other Income Expenses (Gains),-30757,-19656,-4903,78595,35350,-712,-337445,-284471,-247498,-6274067,-4416421,-224500,-1142992,-4988494,-3972932,5037770
20,Income Before Tax,-2340286,-3361229,2860334,5178630,-1754317,-3794525,-3962246,-1970989,-2497940,-9163261,-12037892,-12710688,-12342457,-15544551,-10005713,-2625881
21,Income Before Tax Ratio,-Infinity,-0.8179,0.1475,0.1587,-0.0665,-0.1505,-0.2024,-0.1119,-0.1401,-0.5253,-0.6010,-0.7669,-0.8467,-1.3767,-0.9583,-0.2497
22,Income Tax expense (Gain),- -,- -,-1663000,1825000,-640000,2750000,- -,- -,- -,- -,- -,- -,-90000,- -,- -,- -
23,Net Income,-2340286,-3361229,4523334,3353630,-1114317,-6544525,-3962246,-1970989,-2497940,-9163261,-12037892,-12710688,-12252457,-15544551,-10005713,-2625881
24,Net Income ratio,-Infinity,-0.8179,0.2333,0.1028,-0.0423,-0.2596,-0.2024,-0.1119,-0.1401,-0.5253,-0.6010,-0.7669,-0.8405,-1.3767,-0.9583,-0.2497
25,EPS,-2.16,-2.08,2.64,1.76,-0.56,-3.20,-2.00,-0.97,-1.17,-3.54,-2.77,-2.38,-1.76,-1.93,-0.87,-0.12
26,EPS Diluted,-2.16,-2.08,2.24,1.52,-0.56,-3.20,-2.00,-0.97,-1.17,-3.54,-2.77,-2.38,-1.76,-1.93,-0.87,-0.12
27,Weighted Average Shares Outstanding,1084378,1603701,1717758,1914907,1974748,2039378,2018979,2029109,2135016,2590002,4340012,5347042,6974281,8073257,11478618,21603635
28,Weighted Average Shares Outstanding Diluted,1084378,1603701,2020417,2188636,1974748,2039378,2018979,2029109,2135016,2590002,4340012,5347042,6974281,8073257,11478618,21603635
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1342958/000119312508046095/0001193125-08-046095-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000117184309000222/0001171843-09-000222-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000117184310000455/0001171843-10-000455-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000135448811001012/0001354488-11-001012-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000135448812001378/0001354488-12-001378-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1342958/000149315214000847/0001493152-14-000847-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315215000962/0001493152-15-000962-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315216007877/0001493152-16-007877-index.html,https://www.sec.gov/Archives/edgar/data/1342958/000149315217002889/0001493152-17-002889-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315218005114/0001493152-18-005114-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315219004279/0001493152-19-004279-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315220005861/0001493152-20-005861-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315221007505/0001493152-21-007505-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1807922,57160,4255039,1205947,183150,623475,2270393,703172,454978,3049716,6924079,3883124,54712,3598807,359685,4362
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1807922,57160,4255039,1205947,183150,623475,2270393,703172,454978,3049716,6924079,3883124,54712,3598807,359685,4362
34,Net Receivables,14630,1203542,734698,6656482,8874402,5125264,2957367,3027802,1989343,3183103,3511382,2860510,2317554,2274901,1630398,1705
35,Inventory,73428,1526222,2964098,8359961,7370505,10088285,6683289,7294721,8046471,9243455,10661766,9586311,8750713,6999060,5280412,- -
36,Other Current Assets,259829,422279,1027901,1648859,1919923,341584,302318,258642,402823,1872326,586015,402158,709163,429403,381090,11763
37,Total Current Assets,2155809,3209203,8981736,17871249,18347980,16178608,12213367,11284337,10893615,17348600,21683242,16732103,11832142,13302171,7651585,17830
38,PP&E,110234,507741,878686,1721473,1418103,1045128,860886,938793,938072,1045666,1064186,873902,638169,247541,319521,753
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,376821,336182,293577,226802,217660,267281,245684,410261,467176,497180,486797,413268,393
41,Intangible Assets,- -,- -,- -,376821,336182,293577,226802,217660,267281,245684,410261,467176,497180,486797,413268,393
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,980000,975000,1160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,13786,59305,65007,149066,135674,91133,97854,903946,907545,234342,316521,761915,205043,302146,532500,-753
45,Total Non-Current Assets,124020,567046,1923693,3222360,3049959,1429838,1185542,2060399,2112898,1525692,1790968,2102993,1340392,1036484,1265289,393
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2279829,3776249,10905429,21093609,21397939,17608446,13398909,13344736,13006513,18874292,23474210,18835096,13172534,14338655,8916874,18223
48,Accounts Payable,44177,651902,1008831,2791565,2000541,3157033,847036,1520207,1441151,2410876,1374160,2455579,3193269,784599,2339985,1145
49,Short-Term Debt,500000,1000000,- -,- -,- -,1500000,- -,66087,91279,4525673,34828,32792,4279799,- -,1986908,125211
50,Tax Payable,- -,- -,- -,- -,9171,25625,21046,6717,8615,7954,10139,7048,10141,3689,5934,60785
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,6000,139930,568988,925932,1409683,1748789,1707943,- -
52,Other Current Liabilities,49261,201472,776866,1137663,1831064,756746,886205,802119,1481951,3337141,1013519,1582853,1267386,2084356,851815,-122635
53,Total Current Liabilities,593438,1853374,1785697,3929228,3831605,5413779,1733241,2388413,3020381,10413620,2991495,4997156,10150137,4617744,6886651,3721
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2357289,2524610,2312366,1253711,- -,4000000,- -,9142000,6500000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,24000,939100,1685891,2073176,2158649,1991091,1803143,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5248,3864,- -,- -,- -,- -,530000,594989,3849,41284,8492,- -,- -,44460,2720
58,Total Non-Current Liabilities,- -,5248,3864,- -,- -,- -,2357289,3054610,2931355,2196660,1727175,6081668,2158649,11133091,8347603,2720
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2720
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,187075,156268,64989,76112,41284,8492,- -,203620,836756
61,Total Liabilities,593438,1858622,1789561,3929228,3831605,5413779,4090530,5443023,5951736,12610280,4718670,11078824,12308786,15750835,15234254,6441
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12200,13309,14092,15926,16170,16652,16662,2099,2284,3092,5242,5552,7038,10445,12079,27
64,Retained Earnings,-4171219,-7532448,-3009114,344516,-769801,-7314326,-11276572,-13247561,-15745501,-24908762,-36946654,-49657342,-61909799,-77382906,-87388619,- -
65,Other Comprehensive Income/Loss,-29794,-114851,-301632,-738554,-1592874,-2307244,-3212827,- -,-3621432,-3182473,-978855,-1509813,-1438877,-1793405,-920528,- -
66,Other Total Stockholders Equity,5875204,9551617,12412522,17542493,19912839,21799585,23781116,- -,26419426,34352155,56675807,58917875,64205386,77753686,81979689,14356479
67,Total Stockholders Equity,1686391,1917627,9115868,17164381,17566334,12194667,9308379,7901713,7054777,6264012,18755540,7756272,863748,-1412180,-6317379,14356506
68,Total Liabilities And Stockholders Equity,2279829,3776249,10905429,21093609,21397939,17608446,13398909,13344736,13006513,18874292,23474210,18835096,13172534,14338655,8916875,14362947
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1,-14344724
70,Total Liabilities & Equity,2279829,3776249,10905429,21093609,21397939,17608446,13398909,13344736,13006513,18874292,23474210,18835096,13172534,14338655,8916874,18223
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1342958/000119312508046095/0001193125-08-046095-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000117184309000222/0001171843-09-000222-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000117184310000455/0001171843-10-000455-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000135448811001012/0001354488-11-001012-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000135448812001378/0001354488-12-001378-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1342958/000149315214000847/0001493152-14-000847-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315215000962/0001493152-15-000962-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315216007877/0001493152-16-007877-index.html,https://www.sec.gov/Archives/edgar/data/1342958/000149315217002889/0001493152-17-002889-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315218005114/0001493152-18-005114-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315219004279/0001493152-19-004279-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315220005861/0001493152-20-005861-index.htm,https://www.sec.gov/Archives/edgar/data/1342958/000149315221007505/0001493152-21-007505-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-2340286,-3361229,4523334,3353630,-1114317,-6544525,-3962246,-1970989,-2497940,-9163261,-12037892,-12710688,-12252457,-15544551,-10005713,-2625881
74,Depreciation and Amortization,21045,85057,192033,455255,914856,799370,1062103,672090,428999,605792,547769,574080,681928,500177,390151,250156
75,Deferred Income Tax,- -,- -,-1775000,-545000,-535000,2855000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
