,https://roic.ai/company/GYRO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1400000,1400000,1400000,1300000,1200000,1200000,1500000,2600000,1600000,1700000,2600000,2100000,2200000,2200000,2327000,2445899,2608005,2344396,2086687,2039170,- -,2918032,3091542,4834416,5550863,- -,4989108,5029969,4948688,186324000,- -,- -,- -,- -,- -,- -
2,COGS,- -,900000,800000,900000,1000000,700000,700000,1000000,1800000,1100000,1100000,1300000,1400000,1200000,700000,753000,651947,594012,467946,513410,733536,- -,896340,1225049,1943246,2218589,- -,2308036,2514530,2605844,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,500000,600000,500000,300000,500000,500000,500000,800000,500000,600000,1300000,700000,1000000,1500000,1574000,1793952,2013993,1876450,1573277,1305634,- -,2021692,1866493,2891170,3332274,- -,2681072,2515439,2342844,186324000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.3571,0.4286,0.3571,0.2308,0.4167,0.4167,0.3333,0.3077,0.3125,0.3529,0.5000,0.3333,0.4545,0.6818,0.6764,0.7335,0.7722,0.8004,0.7540,0.6403,- -,0.6928,0.6037,0.5980,0.6003,- -,0.5374,0.5001,0.4734,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3332332,2550713,4131747,2370653,- -,7574953,15188797,4389347,1723342000,-4000,-3000,-1000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,-1000,-2000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,400000,500000,500000,500000,600000,500000,500000,500000,800000,700000,900000,1200000,1300000,1000000,1504000,1193974,1424520,1477748,1628344,1823847,- -,3332332,2550713,4131747,2370653,- -,7574953,15188797,4389347,1723342000,-5000,-4000,-3000,- -,- -,- -
9,Other Expenses,- -,300000,300000,300000,200000,- -,100000,- -,100000,200000,200000,200000,100000,100000,500000,487000,505435,596945,437318,260359,263248,- -,482553,359626,690676,803725,- -,900095,953725,969571,- -,-1000,-1000,-2000,- -,- -,- -
10,Operating Expenses,- -,700000,800000,800000,700000,600000,600000,500000,600000,1000000,900000,1100000,1300000,1400000,1500000,1991000,1699409,2021465,1915066,1888703,2087095,- -,3814885,2910339,4822423,3174378,- -,8475048,16142522,5358918,1723342000,-6000,-5000,-5000,- -,- -,- -
11,COGS and Expenses,- -,1600000,1600000,1700000,1700000,1300000,1300000,1500000,2400000,2100000,2000000,2400000,2700000,2600000,2200000,2744000,2351356,2615477,2383012,2402113,2820631,- -,4711225,4135388,6765669,5392967,- -,10783084,18657052,7964762,1723342000,-6000,-5000,-5000,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45000,40585,48971,- -,111721,102852,- -,1038150,556058,107324,1396,- -,67427933,236954,110311,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,100000,100000,100000,71000,65955,61520,- -,38850,35217,- -,162450,465963,942986,1131757,- -,965506,5748,749004,- -,- -,- -,1000,- -,- -,- -
14,Depreciation and Amortization,- -,300000,300000,300000,200000,- -,100000,- -,100000,200000,200000,200000,100000,100000,100000,108000,109669,120330,102721,119945,115607,- -,164594,381239,707747,845596,910681,1186515,1000442,969571,559964000,- -,- -,- -,- -,- -,- -
15,EBITDA,- -,800000,700000,1300000,400000,900000,1400000,500000,800000,-400000,-600000,600000,-400000,-300000,500000,-309000,1250097,202030,3275533,-44910,-78590,- -,-1628599,-106549,-956377,1004888,- -,162849274,-14484046,1301128,-1856738000,- -,- -,- -,- -,- -,- -
16,EBITDA ratio,- -,0.5714,0.5000,0.9286,0.3077,0.7500,1.1667,0.3333,0.3077,-0.2500,-0.3529,0.2308,-0.1905,-0.1364,0.2273,-0.1328,0.5111,0.0775,1.3972,-0.0215,-0.0385,- -,-0.5581,-0.0345,-0.1978,0.1810,- -,32.6410,-2.8795,0.2629,-9.9651,- -,- -,- -,- -,- -,- -
17,Operating Income,- -,-200000,-200000,-300000,-400000,-100000,-100000,- -,200000,-500000,-300000,200000,-600000,-400000,- -,-417000,94543,-7472,-38616,-315426,-781461,- -,-1955643,-1043846,-1931253,157896,- -,-5793976,-15727083,-3031673,-2908838000,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,-0.1429,-0.1429,-0.2143,-0.3077,-0.0833,-0.0833,- -,0.0769,-0.3125,-0.1765,0.0769,-0.2857,-0.1818,- -,-0.1792,0.0387,-0.0029,-0.0165,-0.1512,-0.3832,- -,-0.6702,-0.3376,-0.3995,0.0284,- -,-1.1613,-3.1267,-0.6126,-15.6117,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,700000,600000,1300000,600000,1000000,1400000,600000,-100000,-100000,-500000,100000,- -,-100000,400000,429000,979930,27652,3211428,111721,552047,- -,- -,90095,-675857,-1130361,- -,166491229,228846,-638693,85000000,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,500000,400000,1000000,- -,900000,1300000,500000,100000,-600000,-800000,300000,-600000,-500000,300000,- -,1074473,20180,3172812,-203705,-229414,- -,-1955643,-953751,-2607110,-972465,- -,160697253,-15498237,-3670366,-2823838000,- -,- -,- -,- -,- -,- -
21,Income Before Tax Ratio,- -,0.3571,0.2857,0.7143,- -,0.7500,1.0833,0.3333,0.0385,-0.3750,-0.4706,0.1154,-0.2857,-0.2273,0.1364,- -,0.4393,0.0077,1.3534,-0.0976,-0.1125,- -,-0.6702,-0.3085,-0.5393,-0.1752,- -,32.2096,-3.0812,-0.7417,-15.1555,- -,- -,- -,- -,- -,- -
22,Income Tax expense (Gain),- -,100000,100000,400000,- -,300000,400000,200000,100000,-200000,-200000,200000,-200000,-200000,100000,-12000,378710,-1465,1403144,-90239,-91766,- -,-403989,-2496000,-4130000,109000,- -,61649000,-61553442,-565000,85000000,- -,- -,- -,- -,- -,- -
23,Net Income,- -,400000,300000,600000,200000,600000,900000,300000,500000,-400000,-600000,100000,-400000,-300000,200000,- -,695763,21645,1769668,-113466,-137648,- -,-1551654,1542249,1522890,-1081465,- -,99048253,46063206,147553,-2501702000,- -,- -,- -,- -,- -,- -
24,Net Income ratio,- -,0.2857,0.2143,0.4286,0.1538,0.5000,0.7500,0.2000,0.1923,-0.2500,-0.3529,0.0385,-0.1905,-0.1364,0.0909,- -,0.2845,0.0083,0.7549,-0.0544,-0.0675,- -,-0.5317,0.4989,0.3150,-0.1948,- -,19.8529,9.1578,0.0298,-13.4266,- -,- -,- -,- -,- -,- -
25,EPS,- -,3.92,2.61,5.53,1.81,6.13,8.95,3.42,4.93,-3.82,-5.73,1.21,-3.72,-2.61,2.21,- -,6.23,0.22,17.59,-1.11,-1.33,- -,-13.38,13.27,13.05,-9.29,-9.29,738.94,343.69,1.11,-1.96,- -,- -,- -,- -,- -,- -
26,EPS Diluted,- -,3.92,2.61,5.53,1.81,6.13,8.95,3.42,4.93,-3.82,-5.73,1.21,-3.72,-2.61,2.21,- -,6.23,0.22,17.48,-1.11,-1.33,- -,-13.38,13.27,13.05,-9.29,-9.29,738.94,343.69,1.11,-1.96,- -,- -,- -,- -,- -,- -
27,Weighted Average Shares Outstanding,- -,102000,114750,108491,110500,97820,100567,87750,101480,104684,98337,99187,100652,103840,106833,109872,111154,110114,100743,102504,106714,111154,115699,116604,116619,116619,121199,134034,134034,134034,1482680000,1482680000,1482680000,1482680000,1482680000,1482680000,1482680000
28,Weighted Average Shares Outstanding Diluted,- -,102000,114750,108491,110500,97820,100567,87750,101480,104684,98337,99187,104684,104292,107069,109872,112110,110780,101380,102504,106714,111154,115699,116604,116619,116619,121199,134034,134034,134034,1482680000,1482680000,1482680000,1482680000,1482680000,1482680000,1482680000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1589061/000143774916028641/0001437749-16-028641-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774917005720/0001437749-17-005720-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774918005759/0001437749-18-005759-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774919005881/0001437749-19-005881-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774920006207/0001437749-20-006207-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774921008826/0001437749-21-008826-index.htm,https://www.sec.gov/Archives/edgar/data/1589061/000143774922007723/0001437749-22-007723-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1562643,844405,2951287,3455141,1205893,868786,2141522,- -,94164722,13048827,4028337,5875596,3770900,5265370,3049590,2213210,1632231,5670693
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23797515,10816269,8413279,203000,- -,- -,4516472,3380864,5950098,5001722,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1562643,844405,26748802,14271410,9619172,1071786,2141522,- -,98681194,16429691,9978435,10877318,3770900,5265370,3049590,2213210,1632231,5670693
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1893082,1362309,575638,159405,167754,83918,141680,- -,142478,95829,7452,64393,104790,119710,126010,104590,- -,28796
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1646293,1382647,841045,352477,571129,756840,2382026,- -,662481,1500881,920614,- -,3767019310,5259982920,3046411400,2210887200,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5102018,3589361,28165485,14783292,10358055,1912544,4665228,- -,99486153,18026401,10906501,10941711,3770895000,5265368000,3049587000,2213205000,1632231,5699489
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5169352,5933988,1701757,11516609,19831632,34192461,35102991,- -,34807414,32739678,32634949,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4516472,3380864,5950098,- -,4087230,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1080473,1125328,- -,- -,- -,- -,-4291040,-3165155,-5615184,46950000,31025000,33016670,36201270,48270000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5169352,5933988,2782230,12641937,19831632,34192461,35102991,- -,35032846,32955387,32969863,46950000,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39275600,42584566
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10271370,9523349,30947715,27425229,30189687,36105005,39768219,- -,134518999,50981788,43876364,57891711,38987920,38401750,39376870,50587800,40907831,48284055
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,687384,- -,- -,- -,- -,- -,486887,1710257,793262,- -,416230,532670,769350,621540,893183,1146651
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1573900,1136705,- -,- -,- -,53348,- -,- -,52351,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900331,2058211,2334245,1066908,17503386,2973995,2961600,- -,689337,3720514,1444998,1415794,415809770,11231730,10660850,14816550,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4474231,3194916,3021629,1066908,17503386,3027343,2961600,- -,1228575,5430771,2238260,1415794,416226000,11764400,11430200,15438090,893183,1146651
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5502623,- -,18164266,21724677,- -,5013415,16144614,17533210,- -,- -,- -,1100000,3780070,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52351,93922,94737,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8135000,7832000,- -,- -,- -,- -,62964000,1315000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279655,120602,- -,492656,- -,552546,13020340,9912600,10676590,- -,- -,- -,24109634
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8135000,13334623,- -,18443921,21845279,- -,68522422,17553536,18180493,13020340,- -,- -,1100000,3780070,- -,24109634
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17526704,- -
