,https://roic.ai/company/MEG,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,188805000,233854000,328243000,546413000
2,COGS,134734000,163983000,215492000,369028000
3,Gross Profit,54071000,69871000,112751000,177385000
4,Gross Profit Ratio,0.2864,0.2988,0.3435,0.3246
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,38615000,50663000,85546000,117658000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",38615000,50663000,85546000,117658000
9,Other Expenses,26095000,28153000,37274000,44810000
10,Operating Expenses,64710000,78816000,122820000,162468000
11,COGS and Expenses,199444000,242799000,338312000,531496000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),11085000,6755000,13819000,11615000
14,Depreciation and Amortization,23915000,27705000,37274000,52961000
15,EBITDA,13541000,7782000,-6005000,40960000
16,EBITDA ratio,0.0717,0.0333,-0.0183,0.0750
17,Operating Income,-10639000,-8945000,-23011000,-9455000
18,Operating Income ratio,-0.0563,-0.0383,-0.0701,-0.0173
19,Total Other Income Expenses (Gains),-10820000,-17733000,-34087000,-14161000
20,Income Before Tax,-21459000,-26678000,-57098000,-23616000
21,Income Before Tax Ratio,-0.1137,-0.1141,-0.1740,-0.0432
22,Income Tax expense (Gain),-4968000,-3121000,851000,1709000
23,Net Income,-16491000,-23557000,-57949000,-25325000
24,Net Income ratio,-0.0873,-0.1007,-0.1765,-0.0463
25,EPS,-1.01,-2.06,-6.48,-1.56
26,EPS Diluted,-1.01,-2.06,-6.48,-1.56
27,Weighted Average Shares Outstanding,20912422,20912422,16479000,26724000
28,Weighted Average Shares Outstanding Diluted,20912422,20912422,16479000,26724000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1643615/000156459021015136/0001564590-21-015136-index.htm,https://www.sec.gov/Archives/edgar/data/1643615/000156459022008029/0001564590-22-008029-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,2489000,6411000,34386000,146254000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,2489000,6411000,34386000,146254000
34,Net Receivables,48912000,60737000,92678000,139160000
35,Inventory,745000,2368000,2491000,- -
36,Other Current Assets,1853000,3723000,4713000,8444000
37,Total Current Assets,53999000,73239000,134268000,293858000
38,PP&E,- -,- -,34399000,63997000
39,Goodwill,90498000,127058000,274667000,311944000
40,Intangible Assets,68563000,102549000,154854000,160997000
41,Intangible Assets,159061000,229607000,429521000,472941000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,21311000,28992000,4538000,2298000
45,Total Non-Current Assets,180372000,258599000,468458000,539236000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,234371000,331838000,602726000,833094000
48,Accounts Payable,8749000,15034000,15481000,68936000
49,Short-Term Debt,2262000,7143000,5583000,21338000
50,Tax Payable,- -,- -,256000,- -
51,Deferred Revenue,2395000,3314000,6114000,- -
52,Other Current Liabilities,28959000,47761000,84365000,57421000
53,Total Current Liabilities,42365000,73252000,111543000,147695000
54,Long-Term Debt,70965000,145046000,170321000,184433000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,4868000,3530000,2815000,4006000
57,Other Non-Current Liabilities,109273000,136301000,27974000,27531000
