,https://roic.ai/company/DISCA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,295717000,592732000,539333000,506103000,631215000,694509000,688087000,707214000,3443000000,3516000000,3773000000,4235000000,4487000000,5535000000,6265000000,6394000000,6497000000,6873000000,10553000000,11144000000,10671000000,12191000000
2,COGS,- -,- -,- -,301005000,380290000,445839000,454482000,491034000,1024000000,1065000000,1073000000,1233000000,1218000000,1689000000,2124000000,2343000000,2432000000,2656000000,3935000000,3819000000,3860000000,4620000000
3,Gross Profit,- -,- -,- -,205098000,250925000,248670000,233605000,216180000,2419000000,2451000000,2700000000,3002000000,3269000000,3846000000,4141000000,4051000000,4065000000,4217000000,6618000000,7325000000,6811000000,7571000000
4,Gross Profit Ratio,- -,- -,- -,0.4052,0.3975,0.3581,0.3395,0.3057,0.7026,0.6971,0.7156,0.7089,0.7285,0.6949,0.6610,0.6336,0.6257,0.6136,0.6271,0.6573,0.6383,0.6210
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1115000000,1247000000,1185000000,1183000000,1291000000,1575000000,1692000000,1669000000,1690000000,1768000000,2620000000,2788000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,1115000000,1247000000,1185000000,1183000000,1291000000,1575000000,1692000000,1669000000,1690000000,1768000000,2620000000,2788000000,- -,4016000000
9,Other Expenses,- -,943360000,- -,204026000,233990000,245960000,336650000,383062000,216000000,-97000000,130000000,119000000,117000000,276000000,329000000,330000000,322000000,330000000,1398000000,1347000000,4081000000,1582000000
10,Operating Expenses,- -,943360000,- -,204026000,233990000,245960000,336650000,383062000,1331000000,1150000000,1315000000,1302000000,1408000000,1851000000,2021000000,1999000000,2012000000,2098000000,4018000000,4135000000,4081000000,5598000000
11,COGS and Expenses,- -,943360000,- -,505031000,614280000,691799000,791132000,874096000,2355000000,2215000000,2388000000,2535000000,2626000000,3540000000,4145000000,4342000000,4444000000,4754000000,7953000000,7954000000,7941000000,10218000000
