,https://roic.ai/company/DPZ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1166100000,1258300000,1275000000,1333322000,- -,1446497000,1437319000,1462870000,1425114000,- -,1404057000,1570894000,1678439000,1802223000,1993833000,- -,2216528000,2787979000,3432867000,3618774000,- -,4117411000
2,COGS,868100000,944500000,- -,992096000,- -,1092816000,1052788000,1084016000,1061853000,- -,1017081000,1132305000,1177101000,1253249000,1399067000,- -,1533397000,1921988000,2130188000,2216275000,- -,2522918000
3,Gross Profit,298000000,313800000,- -,341226000,- -,353681000,384531000,378854000,363261000,- -,386976000,438589000,501338000,548974000,594766000,- -,683131000,865991000,1302679000,1402499000,- -,1594493000
4,Gross Profit Ratio,0.2556,0.2494,- -,0.2559,- -,0.2445,0.2675,0.2590,0.2549,- -,0.2756,0.2792,0.2987,0.3046,0.2983,- -,0.3082,0.3106,0.3795,0.3876,- -,0.3873
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219007000,235163000,249405000,- -,277692000,344759000,372464000,382293000,- -,406613000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358526000,390799000,- -,462238000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219007000,235163000,249405000,- -,277692000,344759000,730990000,773092000,- -,868851000
9,Other Expenses,185600000,186700000,- -,181753000,- -,182302000,170334000,184944000,168231000,- -,197467000,210887000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,185600000,186700000,- -,181753000,- -,182302000,170334000,184944000,168231000,- -,197467000,210887000,219007000,235163000,249405000,- -,277692000,344759000,730990000,773092000,- -,868851000
11,COGS and Expenses,1053700000,1131200000,- -,1173849000,- -,1275118000,1223122000,1268960000,1230084000,- -,1214548000,1343192000,1396108000,1488412000,1648472000,- -,1811089000,2266747000,2861178000,2989367000,- -,3391769000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,2746000,- -,683000,244000,304000,160000,143000,- -,313000,1462000,3334000,4048000,- -,1654000
