,https://roic.ai/company/ASML,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,446342493,619395023,808453737,774641610,1197516950,2160781227,1847572047,1957377509,1540044212,2463556128,2527046848,3597101452,3814681368,2960682847,1596063000,4507938000,5651035000,4731555000,5245326000,5856277000,6287375000,6794752000,9052800000,10944000000,11820000000,13978500000,18611000000
2,COGS,276556086,361240112,452908638,444917988,755479158,1205906423,1795624927,1490082951,1171905701,1558585795,1553592035,2135084801,2251878562,1942760587,1137671000,2552768000,3201645000,2726298000,3068064000,3259903000,3391631000,3750272000,4976100000,5914800000,6540200000,7181300000,8802000000
3,Gross Profit,169786407,258154911,355545099,329723622,442037792,954874803,51947120,467294557,368138511,904970333,973454813,1462016651,1562802806,1017922260,458392000,1955170000,2449390000,2005257000,2177262000,2596374000,2895744000,3044480000,4076700000,5029200000,5279800000,6797200000,9809000000
4,Gross Profit Ratio,0.3804,0.4168,0.4398,0.4256,0.3691,0.4419,0.0281,0.2387,0.2390,0.3673,0.3852,0.4064,0.4097,0.3438,0.2872,0.4337,0.4334,0.4238,0.4151,0.4433,0.4606,0.4481,0.4503,0.4595,0.4467,0.4863,0.5271
5,Research and Development Exp.,- -,- -,78636285,114000642,173913250,214699497,408934654,298206231,286219230,330714485,323628245,386566619,486907343,539600486,466761000,523426000,590270000,589182000,882029000,1074035000,1068077000,1105763000,1259700000,1575900000,1968500000,2200800000,2547000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,725600000
9,Other Expenses,68866053,105736652,72727200,127472670,182757981,251590609,280480732,263069274,212237867,201480325,201051319,204798303,249208121,190595716,156644000,181045000,217904000,259301000,247285000,240104000,262532000,280983000,320800000,488000000,520500000,544900000,- -
10,Operating Expenses,68866053,105736652,151363485,241473312,356671231,466290106,689415385,561275506,498457097,532194810,524679563,591364922,736115464,730196202,623405000,704471000,808174000,848483000,1129314000,1314139000,1330609000,1386746000,1580500000,2063900000,2489000000,2745700000,3272600000
11,COGS and Expenses,345422139,466976764,604272123,686391300,1112150389,1672196530,2485040312,2051358457,1670362798,2090780605,2078271598,2726449723,2987994027,2672956788,1761076000,3257239000,4009819000,3574781000,4197378000,4574042000,4722240000,5137018000,6556600000,7978700000,9029200000,9927000000,12074600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42766000,15125000,41156000,16585000,9187000,14526000,- -,- -,- -,13500000,11600000,8400000,- -
