,https://roic.ai/company/NEPH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,300000,- -,- -,138406,2424483,793489,1196000,1473000,2661000,2938000,2214000,1807000,1740000,1748000,1944000,2320000,3809000,5687000,10334000,8561000,10404000
2,COGS,- -,- -,- -,211942,379462,943726,876000,1064000,1744000,1816000,1346000,737000,898000,549000,884000,1026000,1517000,2484000,4250000,3648000,4661000
3,Gross Profit,300000,- -,- -,-73536,2045021,-150237,320000,409000,917000,1122000,868000,1070000,842000,1199000,1060000,1294000,2292000,3203000,6084000,4913000,5743000
4,Gross Profit Ratio,1.0000,- -,- -,-0.5313,0.8435,-0.1893,0.2676,0.2777,0.3446,0.3819,0.3921,0.5921,0.4839,0.6859,0.5453,0.5578,0.6017,0.5632,0.5887,0.5739,0.5520
5,Research and Development Exp.,737858,957616,1320556,2352604,1756493,1844220,1935000,1977000,280000,362000,451000,632000,826000,781000,826000,1079000,1002000,1539000,3090000,2759000,2166000
6,General and Administrative Exp.,- -,- -,- -,5220250,6612999,5718037,5527000,4702000,2812000,2520000,2636000,3620000,3110000,2870000,3443000,2854000,3298000,4517000,6119000,6466000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,5220250,6612999,5718037,5527000,4702000,2812000,2520000,2636000,3620000,3110000,2870000,3443000,2854000,3298000,4517000,6119000,6466000,7710000
9,Other Expenses,- -,- -,- -,-2000,- -,319164,337000,447000,231000,129000,91000,151000,223000,217000,212000,230000,218000,163000,30000,192000,202000
10,Operating Expenses,737858,- -,- -,7570854,8369492,7881421,7799000,7126000,3323000,3011000,3178000,4403000,4159000,3868000,4481000,4163000,4518000,6219000,9239000,9417000,10078000
11,COGS and Expenses,737858,2055016,4994458,7782796,8748954,8825147,8675000,8190000,5067000,4827000,4524000,5140000,5057000,4417000,5365000,5189000,6035000,8703000,13489000,13065000,14739000
12,Interest Income ,5497,181,- -,49910,233207,211881,138000,199000,9000,1000,4000,2000,- -,- -,- -,5000,4000,4000,- -,11000,10000
13,Interest Expense (Gain),- -,1196000,641542,- -,- -,195089,535000,- -,2000,15000,12000,- -,94000,483000,42000,172000,302000,172000,195000,110000,41000
14,Depreciation and Amortization,- -,1252785,644531,199241,305601,354420,4908000,447000,231000,129000,91000,9000,223000,216000,212000,230000,218000,163000,200000,208000,252000
15,EBITDA,-1085189,-1636024,-4349927,-7397239,-5162576,-7463402,-20913000,-5890000,-1793000,-1789000,-2257000,-3253000,-3381000,-6672000,-2834000,-2630000,-2078000,-3160000,-3250000,-4448000,-3814000
16,EBITDA ratio,-3.6173,-Infinity,-Infinity,-53.4459,-2.1294,-9.4058,-17.4858,-3.9986,-0.6738,-0.6089,-1.0194,-1.8002,-1.9431,-3.8169,-1.4578,-1.1336,-0.5456,-0.5557,-0.3145,-0.5196,-0.3666
17,Operating Income,-1090686,-2055016,-4994458,-7646390,-6324471,-8031658,-7479000,-6717000,-2406000,-1889000,-2310000,-3333000,-3317000,-2669000,-3421000,-2869000,-2226000,-3016000,-3155000,-4275000,-4335000
18,Operating Income ratio,-3.6356,-Infinity,-Infinity,-55.2461,-2.6086,-10.1220,-6.2533,-4.5601,-0.9042,-0.6430,-1.0434,-1.8445,-1.9063,-1.5269,-1.7598,-1.2366,-0.5844,-0.5303,-0.3053,-0.4994,-0.4167
19,Total Other Income Expenses (Gains),- -,833793,- -,- -,623087,1955,497000,181000,373000,-30000,-42000,71000,-381000,-4702000,333000,-163000,-372000,-402000,-249000,-251000,468000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3262000,-3698000,-7371000,-3088000,-3032000,-2598000,-3418000,-3404000,-4526000,-3867000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.8052,-2.1253,-4.2168,-1.5885,-1.3069,-0.6821,-0.6010,-0.3294,-0.5287,-0.3717
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1789000,-93000,-225000,- -,- -
23,Net Income,-1085189,-2417042,-5636000,-7596480,-5468177,-8012911,-26356000,-6337000,-2026000,-1933000,-2360000,-3262000,-3698000,-7371000,-3088000,-3032000,-809000,-3402000,-3420000,-4766000,-4107000
24,Net Income ratio,-3.6173,-Infinity,-Infinity,-54.8855,-2.2554,-10.0983,-22.0368,-4.3021,-0.7614,-0.6579,-1.0659,-1.8052,-2.1253,-4.2168,-1.5885,-1.3069,-0.2124,-0.5982,-0.3309,-0.5567,-0.3948
25,EPS,-158.40,-315.00,-838.80,-788.40,-81.00,-117.00,-302.40,-30.60,-9.00,-8.37,-2.43,-2.61,-2.16,-2.79,-0.81,-0.54,-0.18,-0.54,-0.45,-0.52,-0.38
26,EPS Diluted,-158.40,-315.00,-838.80,-788.40,-81.00,-117.00,-302.40,-30.60,-9.00,-8.37,-2.43,-2.61,-2.16,-2.79,-0.81,-0.54,-0.18,-0.54,-0.45,-0.52,-0.38
27,Weighted Average Shares Outstanding,8844,8853,8853,24512,68161,68428,86923,212029,220162,231896,960550,1247096,1736109,2646351,3864496,5398124,5881741,6846706,7542299,9078549,10044745
28,Weighted Average Shares Outstanding Diluted,8844,8853,8853,24512,68161,68428,86923,212029,220162,231896,960550,1247096,1736109,2646351,3864496,5398124,5881741,6846706,7542299,9078549,10044745
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1196298/000114420408056862/0001144204-08-056862-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000114420409017558/0001144204-09-017558-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000114420410018161/0001144204-10-018161-index.html,- -,https://www.sec.gov/Archives/edgar/data/1196298/000114420412016613/0001144204-12-016613-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000114420413012708/0001144204-13-012708-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000114420414018633/0001144204-14-018633-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000114420415022858/0001144204-15-022858-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000149315216008366/0001493152-16-008366-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315217002633/0001493152-17-002633-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315218002569/0001493152-18-002569-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315219003127/0001493152-19-003127-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315220003069/0001493152-20-003069-index.html,https://www.sec.gov/Archives/edgar/data/1196298/000149315221005090/0001493152-21-005090-index.htm,https://www.sec.gov/Archives/edgar/data/1196298/000149315222005976/0001493152-22-005976-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,240412,4121263,3719181,746581,253043,3449000,2306000,1004000,240000,1669000,47000,579000,1284000,1248000,275000,2194000,4581000,4166000,8249000,6973000
32,Short-Term Investments,- -,- -,- -,5995940,4500000,2800000,4700000,7000,- -,- -,- -,- -,- -,- -,- -,27000,20000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,240412,4121263,9715121,5246581,3053043,8149000,2313000,1004000,240000,1669000,47000,579000,1284000,1248000,302000,2214000,4581000,4166000,8249000,6973000
34,Net Receivables,- -,- -,- -,174797,244100,227889,419000,404000,629000,326000,1170000,935000,122000,110000,397000,388000,836000,1452000,1045000,1364000,1641000
35,Inventory,- -,- -,201964,653351,814548,511714,336000,724000,653000,726000,247000,312000,162000,186000,591000,479000,674000,1864000,2562000,5304000,4795000
36,Other Current Assets,- -,958572,218613,468355,358306,440294,392000,162000,135000,190000,113000,109000,125000,104000,228000,95000,85000,276000,526000,237000,225000
37,Total Current Assets,- -,1198984,4541840,11011624,6663535,4232940,9296000,3603000,2421000,1482000,3199000,1403000,988000,1684000,2464000,1264000,3809000,8173000,8299000,15154000,13634000
38,PP&E,- -,76777,488226,1191856,1143309,910525,762000,412000,210000,108000,17000,16000,7000,1000,12000,70000,52000,91000,1187000,1332000,1096000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,748000,759000,759000,759000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1894000,1684000,1494000,1262000,1072000,1528000,1352000,1176000,2072000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1894000,1684000,1494000,1262000,1072000,2276000,2111000,1935000,2831000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000,39000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3822,3822,3822,17731,23233,27000,21000,21000,- -,778000,2109000,- -,- -,- -,21000,11000,18000,32000,89000,89000
45,Total Non-Current Assets,- -,80599,492048,1195678,1161040,933758,789000,433000,231000,108000,795000,2125000,1901000,1685000,1506000,1414000,1174000,2385000,3330000,3356000,4016000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1279583,5033888,12207302,7824575,5166698,10085000,4036000,2652000,1590000,3994000,3528000,2889000,3369000,3970000,2678000,4983000,10558000,11629000,18510000,17650000
48,Accounts Payable,- -,946226,1416183,629814,766158,567566,488000,986000,455000,441000,284000,2388000,1073000,835000,652000,585000,872000,836000,959000,423000,1334000
49,Short-Term Debt,- -,- -,- -,- -,295838,379701,781000,- -,- -,500000,- -,- -,1358000,- -,- -,- -,711000,1186000,771000,229000,612000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,64058,- -,- -,- -,- -,- -,33000,2094000,- -,703000,70000,70000,70000,70000,- -,- -,- -,- -
52,Other Current Liabilities,- -,2443000,1750000,1862789,769359,743344,60000,516000,239000,481000,195000,1028000,365000,342000,237000,240000,218000,632000,698000,673000,444000
53,Total Current Liabilities,- -,3389226,3166183,2556661,1831355,1690611,1329000,1502000,694000,1455000,2573000,3416000,3499000,1247000,959000,895000,1871000,2654000,2428000,1325000,2390000
54,Long-Term Debt,- -,- -,- -,- -,613727,5388963,- -,- -,- -,- -,- -,- -,- -,- -,- -,838000,954000,843000,623000,853000,511000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417000,347000,278000,208000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5885550,7250051,- -,- -,183321,- -,- -,- -,- -,- -,707000,- -,7386000,- -,- -,- -,263000,889000,759000,- -
58,Total Non-Current Liabilities,- -,5885550,7250051,- -,613727,5572284,- -,- -,- -,- -,- -,707000,- -,7803000,347000,1116000,1162000,1106000,1512000,1612000,511000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1151000,1091000,780000
61,Total Liabilities,- -,9274776,10416234,2556661,2445082,7262895,1329000,1502000,694000,1455000,2573000,4123000,3499000,9050000,1306000,2011000,3033000,3760000,3940000,2937000,2901000
62,Preferred Stock,- -,4000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1594,1594,12120,12313,12318,38000,38000,42000,42000,10000,12000,18000,30000,49000,50000,55000,64000,8000,10000,10000
64,Retained Earnings,- -,-15016693,-22443693,-41774706,-47242883,-55255794,-81612000,-87949000,-89975000,-91908000,-94268000,-97530000,-101228000,-114165000,-117253000,-120285000,-121106000,-124153000,-127332000,-131858000,-135725000
65,Other Comprehensive Income/Loss,- -,-342358,-384889,-584130,-874784,-1180589,-1481000,-1836000,-2097000,-2111000,-2099000,-721000,-727000,-733000,-716000,-737000,-765000,-794000,-818000,74000,64000
66,Other Total Stockholders Equity,- -,7358264,17440642,51997357,53484847,54327868,91811000,92281000,93988000,94112000,97778000,97644000,101327000,109187000,120584000,121639000,123766000,128681000,132817000,144296000,147346000
67,Total Stockholders Equity,- -,-7995193,-5382346,9650641,5379493,-2096197,8756000,2534000,1958000,135000,1421000,-595000,-610000,-5681000,2664000,667000,1950000,3798000,4675000,12522000,11695000
68,Total Liabilities And Stockholders Equity,- -,1279583,5033888,12207302,7824575,5166698,10085000,4036000,2652000,1590000,3994000,3528000,2889000,3369000,3970000,2678000,4983000,7558000,8615000,15459000,14596000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3014000,3051000,3054000
70,Total Liabilities & Equity,- -,1279583,5033888,12207302,7824575,5166698,10085000,4036000,2652000,1590000,3994000,3528000,2889000,3369000,3970000,2678000,4983000,10558000,11629000,18510000,17650000
