,https://roic.ai/company/SUME,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,100000,100000,100000,- -,- -,- -,- -,6300000,26000000,49831950,81047600,90180310,117683180,151903330,166315790
2,COGS,- -,100000,100000,- -,- -,- -,- -,5100000,23300000,44017300,65757110,76716330,99898780,138328050,152683510
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,1200000,2700000,5814650,15290490,13463980,17784400,13575280,13632280
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.1905,0.1038,0.1167,0.1887,0.1493,0.1511,0.0894,0.0820
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,100000,100000,100000,100000,- -,- -,- -,2800000,4800000,4784390,12137900,13426760,15194670,- -,732000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",100000,100000,100000,100000,- -,- -,- -,2800000,4800000,4784390,12137900,13426760,15194670,- -,732000
9,Other Expenses,- -,128,4665,3881,55591,45388,51330,-41049,-15608,3110280,2,-4,2,19913508,21709190
10,Operating Expenses,100000,100128,104665,103881,55591,45388,51330,2758951,4784392,7894670,12137902,13426756,15194672,19913508,22441190
11,COGS and Expenses,100000,200000,200000,100000,100000,- -,100000,7800000,28100000,51911970,77895010,90143090,115093450,158241560,175124700
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,2038,691,196,487,- -,- -,- -,62204
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,66672,116372,215627,608888,548024,684332,1272009,1905187
14,Depreciation and Amortization,10000,12024,12024,16848,12024,12024,12024,29102,167279,243847,295375,210481,355208,1288022,1218042
15,EBITDA,-90000,10000,-87976,-80000,-90000,10000,-90000,-1504226,-2116349,-3380696,2417823,-330255,2525740,-5098309,-7534911
16,EBITDA ratio,-0.9000,0.1000,-0.8798,-Infinity,-Infinity,Infinity,-Infinity,-0.2388,-0.0814,-0.0678,0.0298,-0.0037,0.0215,-0.0336,-0.0453
17,Operating Income,-100000,- -,-51173,-100000,-100000,- -,-100000,-1554239,-2140491,-2080022,3152588,37219,2589724,-6338232,-8808908
18,Operating Income ratio,-1.0000,- -,-0.5117,-Infinity,-Infinity,- -,-Infinity,-0.2467,-0.0823,-0.0417,0.0389,0.0004,0.0220,-0.0417,-0.0530
19,Total Other Income Expenses (Gains),- -,- -,-48827,- -,- -,- -,- -,-45761,-259509,-1760148,-1639028,-1125979,-1149274,-1320108,-1849232
20,Income Before Tax,-100000,- -,-100000,-100000,-100000,- -,-100000,-1600000,-2400000,-3840170,1513560,-1088760,1440450,-7658340,-10658140
21,Income Before Tax Ratio,-1.0000,- -,-1.0000,-Infinity,-Infinity,- -,-Infinity,-0.2540,-0.0923,-0.0771,0.0187,-0.0121,0.0122,-0.0504,-0.0641
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131500,85100,219590,95530,74950
23,Net Income,-100000,- -,-100000,-100000,-100000,- -,-100000,-1600000,-2400000,-3840170,1382060,-1173860,1266610,-7753870,-10733090
24,Net Income ratio,-1.0000,- -,-1.0000,-Infinity,-Infinity,- -,-Infinity,-0.2540,-0.0923,-0.0771,0.0171,-0.0130,0.0108,-0.0510,-0.0645
25,EPS,-0.17,-0.01,-0.08,-0.12,-0.04,-0.04,-0.04,-0.15,-0.19,-0.28,0.07,-0.06,0.05,-0.29,-0.35
26,EPS Diluted,-0.17,-0.01,-0.08,-0.12,-0.04,-0.04,-0.04,-0.15,-0.19,-0.28,0.07,-0.06,0.05,-0.29,-0.35
27,Weighted Average Shares Outstanding,600000,702087,702087,889587,952087,984518,1019427,10664436,13276936,14333893,15534196,19417246,23038005,26727477,30832119
28,Weighted Average Shares Outstanding Diluted,600000,702087,702087,889587,952087,984518,1019427,10664436,13276936,14333893,15634455,19417246,23817635,26727477,30832119
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396633/000103883810000097/0001038838-10-000097-index.html,- -,https://www.sec.gov/Archives/edgar/data/1396633/000107878212000803/0001078782-12-000803-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586613000270/0001445866-13-000270-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586614000350/0001445866-14-000350-index.htm,https://www.sec.gov/Archives/edgar/data/1396633/000144586615000352/0001445866-15-000352-index.htm,https://www.sec.gov/Archives/edgar/data/1396633/000144586616001803/0001445866-16-001803-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586617000333/0001445866-17-000333-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586618000304/0001445866-18-000304-index.html,https://www.sec.gov/Archives/edgar/data/1396633/000144586619000404/0001445866-19-000404-index.htm,https://www.sec.gov/Archives/edgar/data/1396633/000144586620000261/0001445866-20-000261-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10000,- -,40000,- -,- -,10000,280000,740000,550340,382490,1523010,313760,452000,814360
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,10000,- -,40000,- -,- -,10000,280000,740000,550340,382490,1523010,313760,452000,814360
34,Net Receivables,- -,10000,10000,- -,- -,- -,- -,1540000,3880000,8686910,12737130,15655890,27130840,34270550,41847950
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,280000,1120000,1439390,740240,2230530,2593630,7417080,6810310
37,Total Current Assets,- -,20000,10000,40000,- -,- -,10000,2100000,5740000,10676640,13859860,19409430,30038230,42139630,49472620
38,PP&E,- -,70000,50000,40000,30000,20000,10000,220000,440000,473050,372510,238790,156370,82210,1037600
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3347030,2165720,984420
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3347030,2165720,984420
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,10000,- -,- -,- -,640000,800000,15040,- -,134920,44970,9380,3130
45,Total Non-Current Assets,- -,70000,50000,50000,30000,20000,- -,860000,1240000,488090,372510,373710,3548370,2257310,2025150
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,90000,60000,90000,30000,20000,10000,2960000,6980000,11164730,14232370,19783140,33586600,44396940,51497770
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,100000,60000,302700,357500,407600,605120,3208090,1496460
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1010000,3111057,- -,3307677,- -,7033299
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,127772,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,30000,- -,- -,10000,30000,872228,6140000,10226330,8625453,10893540,18146903,20990690,27668501
53,Total Current Liabilities,- -,- -,30000,- -,- -,10000,30000,1100000,6200000,11539030,12094010,11301140,22059700,24198780,36198260
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,- -,11956010,9431010
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10,834280
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,- -,11956000,10265290
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
