,https://roic.ai/company/NET,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,84791000,134915000,192674000,287022000,431059000,656426000
2,COGS,23962000,28788000,43537000,63423000,101055000,147134000
3,Gross Profit,60829000,106127000,149137000,223599000,330004000,509292000
4,Gross Profit Ratio,0.7174,0.7866,0.7740,0.7790,0.7656,0.7759
5,Research and Development Exp.,23663000,33650000,54463000,90669000,127144000,189408000
6,General and Administrative Exp.,14073000,20308000,85179000,81578000,91753000,119503000
7,Selling and Marketing Exp.,40122000,61899000,94394000,159298000,217875000,328065000
8,"Selling, General and Administrative Exp.",54195000,82207000,179573000,240876000,309628000,447568000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,77858000,115857000,234036000,331545000,436772000,636976000
11,COGS and Expenses,101820000,144645000,277573000,394968000,537827000,784110000
12,Interest Income ,626000,762000,1895000,5787000,6588000,1970000
13,Interest Expense (Gain),654000,862000,992000,1112000,24964000,49234000
14,Depreciation and Amortization,8355000,12174000,18905000,29479000,49387000,66607000
15,EBITDA,-8256000,3321000,-66190000,-74122000,-50622000,-132135000
16,EBITDA ratio,-0.0974,0.0246,-0.3435,-0.2582,-0.1174,-0.2013
17,Operating Income,-17029000,-9730000,-84899000,-107946000,-106768000,-127684000
18,Operating Income ratio,-0.2008,-0.0721,-0.4406,-0.3761,-0.2477,-0.1945
19,Total Other Income Expenses (Gains),-236000,15000,-1188000,3233000,-18205000,-120292000
20,Income Before Tax,-17265000,-9715000,-86087000,-104713000,-124973000,-247976000
21,Income Before Tax Ratio,-0.2036,-0.0720,-0.4468,-0.3648,-0.2899,-0.3778
22,Income Tax expense (Gain),69000,1033000,1077000,1115000,-5603000,12333000
23,Net Income,-17334000,-10748000,-87164000,-105828000,-119370000,-260309000
24,Net Income ratio,-0.2044,-0.0797,-0.4524,-0.3687,-0.2769,-0.3966
25,EPS,-0.07,-0.04,-0.37,-0.72,-0.40,-0.83
26,EPS Diluted,-0.07,-0.04,-0.37,-0.72,-0.40,-0.83
27,Weighted Average Shares Outstanding,237322000,251085000,237322000,146306000,299774000,314543000
28,Weighted Average Shares Outstanding Diluted,237322000,251085000,237322000,146306000,299774000,314543000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1477333/000147733320000010/0001477333-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733321000009/0001477333-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1477333/000147733322000008/0001477333-22-000008-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,24444000,25055000,138976000,108895000,313777000
32,Short-Term Investments,- -,48963000,135602000,497972000,923201000,1508066000
33,Cash and Short-Term Investments,- -,73407000,160657000,636948000,1032096000,1821843000
34,Net Receivables,- -,15186000,26707000,35930000,67037000,101622000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,3431000,9373000,16994000,30821000,29954000
37,Total Current Assets,- -,92024000,196737000,689872000,1129954000,1953419000
38,PP&E,- -,51423000,73210000,101466000,166836000,314050000
39,Goodwill,- -,4083000,4083000,4083000,17167000,23530000
40,Intangible Assets,- -,673000,156000,31000,2800000,1254000
41,Intangible Assets,- -,4756000,4239000,4114000,19967000,24784000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,14940000,24194000,35372000,63894000,79818000
45,Total Non-Current Assets,- -,71119000,101643000,140952000,250697000,418652000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,163143000,298380000,830824000,1380651000,2372071000
48,Accounts Payable,- -,4725000,14285000,11463000,14485000,26086000
49,Short-Term Debt,- -,- -,- -,- -,255000,37292000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,11927000,16817000,30843000,54945000,116546000
52,Other Current Liabilities,- -,10511000,30277000,41577000,71692000,108641000
53,Total Current Liabilities,- -,27163000,61379000,83883000,141377000,288565000
54,Long-Term Debt,- -,255000,- -,- -,383275000,1255914000
55,Deferred Revenue,- -,207000,220000,804000,1891000,4680000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,195352000,350286000,20309000,37168000,7114000
58,Total Non-Current Liabilities,- -,195814000,350506000,21113000,422334000,1267708000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,10313000,10443000,10506000,45026000,134212000
