,https://roic.ai/company/MT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2190000000,3492000000,4680000000,5097000000,4486000000,4889000000,5441000000,22197000000,28132000000,58870000000,105216000000,124936000000,65110000000,78025000000,93973000000,84213000000,79440000000,79282000000,63578000000,56791000000,68679000000,76033000000,70615000000,53270000000,76571000000
2,COGS,1707000000,2845000000,4052000000,4424000000,4273000000,4356000000,4943000000,14694000000,21495000000,48411000000,84953000000,106110000000,62913000000,71084000000,85519000000,84117000000,75247000000,73288000000,65196000000,50428000000,60876000000,67025000000,68887000000,49138000000,- -
3,Gross Profit,483000000,647000000,628000000,673000000,213000000,533000000,498000000,7503000000,6637000000,10459000000,20263000000,18826000000,2197000000,6941000000,8454000000,96000000,4193000000,5994000000,-1618000000,6363000000,7803000000,9008000000,1728000000,4132000000,- -
4,Gross Profit Ratio,0.2205,0.1853,0.1342,0.1320,0.0475,0.1090,0.0915,0.3380,0.2359,0.1777,0.1926,0.1507,0.0337,0.0890,0.0900,0.0011,0.0528,0.0756,-0.0254,0.1120,0.1136,0.1185,0.0245,0.0776,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5433000000,6590000000,3875000000,3336000000,3556000000,3322000000,- -,2960000000,2543000000,2202000000,2369000000,2469000000,2355000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",76000000,129000000,156000000,181000000,155000000,214000000,164000000,804000000,1062000000,2960000000,5433000000,6590000000,3875000000,3336000000,3556000000,3322000000,2996000000,2960000000,2543000000,2202000000,2369000000,2469000000,2355000000,2022000000,- -
9,Other Expenses,88000000,91000000,164000000,177000000,252000000,177000000,183000000,553000000,829000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,164000000,220000000,320000000,358000000,407000000,391000000,347000000,1357000000,1891000000,2960000000,5433000000,6590000000,3875000000,3336000000,3556000000,3322000000,2996000000,2960000000,2543000000,2202000000,2369000000,2469000000,2355000000,2022000000,- -
11,COGS and Expenses,1871000000,3065000000,4372000000,4782000000,4680000000,4747000000,5290000000,16051000000,23386000000,51371000000,90386000000,112700000000,66788000000,74420000000,89075000000,87439000000,78243000000,76248000000,67739000000,52630000000,63245000000,69494000000,71242000000,51160000000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000000,133000000,- -,157000000,113000000,96000000,105000000,58000000,56000000,72000000,88000000,56000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1696000000,1578000000,2838000000,2031000000,1890000000,1565000000,1383000000,1172000000,879000000,687000000,695000000,477000000,278000000
14,Depreciation and Amortization,88000000,91000000,164000000,177000000,216000000,177000000,183000000,553000000,829000000,2296000000,4570000000,6100000000,4894000000,4395000000,4669000000,4684000000,4695000000,3939000000,3192000000,2721000000,2768000000,2799000000,3067000000,2960000000,2305000000
15,EBITDA,388000000,379000000,292000000,299000000,-202000000,172000000,241000000,6071000000,5012000000,8631000000,17976000000,16597000000,2196000000,7410000000,10652000000,1064000000,4255000000,4872000000,-2469000000,6658000000,8647000000,8286000000,1767000000,4370000000,15079000000
