,https://roic.ai/company/SKYT,2019,2020,2021
0,INCOME STATEMENT, , , 
1,Revenue,136725000,140438000,- -
2,COGS,111379000,117746000,- -
3,Gross Profit,25346000,22692000,- -
4,Gross Profit Ratio,0.1854,0.1616,- -
5,Research and Development Exp.,6330000,4208000,- -
6,General and Administrative Exp.,14390000,17254000,- -
7,Selling and Marketing Exp.,4326000,7778000,- -
8,"Selling, General and Administrative Exp.",18716000,25032000,- -
9,Other Expenses,9271000,2094000,- -
10,Operating Expenses,34317000,31334000,- -
11,COGS and Expenses,145696000,149080000,- -
12,Interest Income ,- -,- -,- -
13,Interest Expense (Gain),6547000,5499000,- -
14,Depreciation and Amortization,16662000,18866000,- -
15,EBITDA,3231000,8667000,- -
16,EBITDA ratio,0.0236,0.0617,- -
17,Operating Income,-8971000,-8642000,- -
18,Operating Income ratio,-0.0656,-0.0615,- -
19,Total Other Income Expenses (Gains),-11007000,-6153000,- -
20,Income Before Tax,-19978000,-14795000,- -
21,Income Before Tax Ratio,-0.1461,-0.1053,- -
22,Income Tax expense (Gain),-3559000,4919000,- -
23,Net Income,-16419000,-20617000,- -
24,Net Income ratio,-0.1201,-0.1468,- -
25,EPS,-0.43,-0.54,- -
26,EPS Diluted,-0.43,-0.54,- -
27,Weighted Average Shares Outstanding,38015743,38015743,- -
28,Weighted Average Shares Outstanding Diluted,38015743,38015743,- -
29,SEC Link,- -,- -,undefined
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,4605000,7436000,- -
32,Short-Term Investments,- -,- -,- -
33,Cash and Short-Term Investments,4605000,7436000,- -
34,Net Receivables,61968000,29995000,- -
35,Inventory,15994000,27169000,- -
36,Other Current Assets,1950000,11972000,- -
37,Total Current Assets,84517000,76572000,- -
38,PP&E,101870000,178078000,- -
39,Goodwill,- -,- -,- -
40,Intangible Assets,1621000,4561000,- -
41,Intangible Assets,1621000,4561000,- -
42,Investments,- -,- -,- -
43,Tax Assets,- -,- -,- -
44,Other Non-Current Assets,2427000,3998000,- -
45,Total Non-Current Assets,105918000,186637000,- -
46,Other Assets,- -,- -,- -
47,Total Assets,190435000,263209000,- -
48,Accounts Payable,11258000,16792000,- -
49,Short-Term Debt,4148000,2772000,- -
50,Tax Payable,- -,- -,- -
51,Deferred Revenue,2980000,30653000,- -
52,Other Current Liabilities,28185000,36110000,- -
53,Total Current Liabilities,46571000,86327000,- -
54,Long-Term Debt,43839000,69828000,- -
55,Deferred Revenue,48494000,95399000,- -
56,Deferred Tax Liabilities,5671000,8058000,- -
57,Other Non-Current Liabilities,21693000,5181000,- -
58,Total Non-Current Liabilities,119697000,178466000,- -
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -
61,Total Liabilities,166268000,264793000,- -
62,Preferred Stock,- -,- -,- -
63,Common Stock,7333000,3767000,- -
64,Retained Earnings,16834000,-3783000,- -
65,Other Comprehensive Income/Loss,-42011000,-59247000,- -
66,Other Total Stockholders Equity,42011000,59247000,- -
67,Total Stockholders Equity,24167000,-16000,- -
68,Total Liabilities And Stockholders Equity,190435000,264777000,- -
69,Minority Interest,- -,-1568000,- -
70,Total Liabilities & Equity,190435000,263209000,- -
71,SEC Link,- -,- -,undefined
72,CASH FLOW STATEMENT, , , 
73,Net Income,-16419000,-20617000,- -
74,Depreciation and Amortization,16662000,18866000,- -
75,Deferred Income Tax,-3835000,2387000,- -
76,Stock Based Compensation,- -,- -,- -
77,Change in Working Capital,3366000,-47701000,- -
78,Accounts Receivable,-42467000,31452000,- -
79,Inventory,2036000,-11175000,- -
80,Accounts Payable,-595000,483000,- -
81,Other Working Capital,37946000,-9755000,- -
82,Other Non-Cash Items,11149000,143260000,- -
83,Cash Provided by Operating Activities,10923000,96195000,- -
84,CAPEX,-8966000,-89853000,- -
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -
88,Other Investing Activites,1087000,-2409000,- -
89,Cash Used for Investing Activites,-7368000,-88177000,- -
90,Debt Repayment,-3018000,-51055000,- -
91,Common Stock Issued,- -,- -,- -
92,Common Stock Repurchased,- -,-4085000,- -
93,Dividends Paid,- -,-2471000,- -
94,Other Financing Activites,3570000,52424000,- -
95,Cash Used/Provided by Financing Activities,552000,-5187000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -
97,Net Change In Cash,4107000,2831000,- -
98,Cash at the End of Period,4605000,7436000,- -
99,Cash at the Beginning of Period,498000,4605000,- -
100,Free Cash Flow,1957000,6342000,- -
101,SEC Link,- -,- -,undefined
102,false,,,
