,https://roic.ai/company/BSY,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,691710000,736654000,801544000,965046000
2,COGS,131324000,144150000,167155000,216539000
3,Gross Profit,560386000,592504000,634389000,748507000
4,Gross Profit Ratio,0.8101,0.8043,0.7915,0.7756
5,Research and Development Exp.,175032000,183552000,185515000,220915000
6,General and Administrative Exp.,89328000,97580000,113451000,150116000
7,Selling and Marketing Exp.,160635000,155294000,143791000,162240000
8,"Selling, General and Administrative Exp.",249963000,252874000,257242000,312356000
9,Other Expenses,14000000,14213000,15352000,120647000
10,Operating Expenses,438995000,450639000,458109000,653918000
11,COGS and Expenses,570319000,594789000,625264000,870457000
12,Interest Income ,842000,1532000,437000,- -
13,Interest Expense (Gain),9607000,9731000,7913000,-12491000
14,Depreciation and Amortization,29200000,32160000,36117000,52793000
15,EBITDA,151669000,168725000,209176000,136942000
16,EBITDA ratio,0.2193,0.2290,0.2610,0.1419
17,Operating Income,121391000,141865000,150150000,94589000
18,Operating Income ratio,0.1755,0.1926,0.1873,0.0980
19,Total Other Income Expenses (Gains),-8529000,-13756000,17470000,-1260000
20,Income Before Tax,112862000,128109000,167620000,93329000
21,Income Before Tax Ratio,0.1632,0.1739,0.2091,0.0967
22,Income Tax expense (Gain),-29250000,23738000,38625000,3448000
23,Net Income,142112000,103096000,126521000,93192000
24,Net Income ratio,0.2055,0.1400,0.1578,0.0966
25,EPS,0.54,0.40,0.44,0.30
26,EPS Diluted,0.54,0.40,0.42,0.30
27,Weighted Average Shares Outstanding,261234727,261234727,289863272,305711345
28,Weighted Average Shares Outstanding Diluted,261234727,261234727,299371129,314610814
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1031308/000162828021003727/0001628280-21-003727-index.htm,https://www.sec.gov/Archives/edgar/data/1031308/000162828022004474/0001628280-22-004474-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,81183000,121101000,122006000,329337000
32,Short-Term Investments,- -,- -,5691000,- -
33,Cash and Short-Term Investments,81183000,121101000,127697000,329337000
34,Net Receivables,184565000,204501000,190023000,241807000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,17475000,27956000,22538000,44687000
37,Total Current Assets,283223000,353558000,340258000,615831000
38,PP&E,29393000,29632000,74542000,82641000
39,Goodwill,446318000,480065000,581174000,1588477000
40,Intangible Assets,54001000,46313000,45627000,245834000
41,Intangible Assets,500319000,526378000,626801000,1834311000
42,Investments,- -,1725000,5691000,- -
43,Tax Assets,81066000,51068000,39224000,71376000
44,Other Non-Current Assets,29595000,32238000,39519000,55084000
45,Total Non-Current Assets,640373000,641041000,785777000,2043412000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,923596000,994599000,1126035000,2659243000
48,Accounts Payable,8567000,17669000,16492000,16483000
49,Short-Term Debt,- -,- -,16610000,34964000
50,Tax Payable,6261000,7523000,9727000,16880000
51,Deferred Revenue,287682000,204991000,202294000,224610000
