,https://roic.ai/company/AXON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3412620,6853272,9842777,24455506,67639879,47694181,67717851,100727191,92845490,104251560,86930019,90027906,114752748,137831000,164525000,197892000,268245000,343798000,420068000,530860000,681003000,863381000
2,COGS,1713586,2914430,4306551,9402616,22455496,17511237,24538790,43117423,35841263,40849151,41563144,45498669,47038173,51988000,62977000,69245000,97709000,136710000,161485000,223574000,264672000,322471000
3,Gross Profit,1699034,3938842,5536226,15052890,45184383,30182944,43179061,57609768,57004227,63402409,45366875,44529237,67714575,85843000,101548000,128647000,170536000,207088000,258583000,307286000,416331000,540910000
4,Gross Profit Ratio,0.4979,0.5747,0.5625,0.6155,0.6680,0.6328,0.6376,0.5719,0.6140,0.6082,0.5219,0.4946,0.5901,0.6228,0.6172,0.6501,0.6357,0.6024,0.6156,0.5788,0.6113,0.6265
5,Research and Development Exp.,7137,43362,136503,498470,823593,1574048,2704521,4421596,12918161,20002351,11411889,9989219,8139359,9888000,14885000,23614000,30609000,55373000,76856000,100721000,123195000,194026000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41301698,- -,39329000,44788000,57061000,92944000,121324000,131408000,178259000,268743000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6025000,8124000,10776000,15132000,17368000,19427000,28961000,32464000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41301698,- -,45354000,52912000,67837000,108076000,138692000,150835000,207220000,301207000,515007000
9,Other Expenses,1613979,3123224,5038712,6973721,13485256,27058242,47330764,32814170,38860729,43479232,39094625,- -,39086190,1230000,1246000,1861000,- -,- -,6051000,5739000,6079000,- -
10,Operating Expenses,1621116,3166586,5175215,7472191,14308849,28632290,50035285,37235766,51778890,63481583,50506514,51290917,47225549,56472000,69043000,93312000,138685000,194065000,233742000,313680000,430481000,709033000
11,COGS and Expenses,3334702,6081016,9481766,16874807,36764345,46143527,74574075,80353189,87620153,104330734,92069658,96789586,94263722,108460000,132020000,162557000,236394000,330775000,395227000,537254000,695153000,1031504000
12,Interest Income ,- -,90285,57931,50375,439450,1229044,1880407,2152238,1717967,- -,- -,- -,82842,84000,- -,- -,- -,- -,- -,- -,7859000,- -
13,Interest Expense (Gain),426362,246776,38196,9307,1485,4208,7281,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,124803,196499,255502,393568,551793,1712738,2096595,2521237,2637773,3634412,7286915,8096543,6519250,5131000,4317000,3291000,3658000,8041000,10615000,11361000,12475000,18694000
