,https://roic.ai/company/STRM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5000000,10300000,8700000,12000000,10500000,9575637,10938846,13462116,12803534,12750658,16126808,15866973,16563300,16285658,18208198,17605991,17116208,23766803,28494703,27625407,28314458,27059905,24338075,22365000,20743000,11346000
2,COGS,3100000,7600000,6500000,8200000,6300000,3804925,4253008,4879178,5237742,6052115,6436890,7166564,8085964,8864560,9668163,11291412,8884002,11592952,13178322,13003724,11400615,11527111,10173262,8137000,7480000,5689000
3,Gross Profit,1900000,2700000,2200000,3800000,4200000,5770712,6685838,8582938,7565792,6698543,9689918,8700409,8477336,7421098,8540035,6314579,8232206,12173851,15316381,14621683,16913843,15532794,14164813,14228000,13263000,5657000
4,Gross Profit Ratio,0.3800,0.2621,0.2529,0.3167,0.4000,0.6026,0.6112,0.6376,0.5909,0.5253,0.6009,0.5483,0.5118,0.4557,0.4690,0.3587,0.4810,0.5122,0.5375,0.5293,0.5974,0.5740,0.5820,0.6362,0.6394,0.4986
5,Research and Development Exp.,- -,1600000,5600000,3700000,2200000,1674383,1381557,2195315,2053901,2061207,2733293,2716163,3132809,2264332,1682773,1759694,1408749,2948313,7088077,9756206,9093353,7453638,5352189,4261000,3555000,2933000
6,General and Administrative Exp.,- -,6600000,9400000,7900000,4500000,3187209,3285247,3499915,3158239,3701443,5218303,5802656,6048214,6503465,5503580,6406190,6577101,7702000,11152000,11799000,9011000,8282000,7121000,7816000,6339000,5550000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2358000,3394000,4283000,4432000,4806000,4313000,3772000,3860000,3015000
8,"Selling, General and Administrative Exp.",2100000,6600000,9400000,7900000,4500000,3187209,3285247,3499915,3158239,3701443,5218303,5802656,6048214,6503465,5503580,6406190,6577101,10060000,14546000,16082000,13443000,13088000,11434000,11588000,10199000,8565000
9,Other Expenses,200000,500000,1000000,2000000,- -,842530,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789000,- -
10,Operating Expenses,2300000,8700000,16000000,13600000,6700000,5704122,4666804,5695230,5212140,5762650,7951596,8518819,9181023,8767797,7186353,8165884,7985850,13008313,21634077,25838206,22536353,20541638,16786189,15849000,14543000,11498000
11,COGS and Expenses,5400000,16300000,22500000,21800000,13000000,9509047,8919812,10574408,10449882,11814765,14388486,15685383,17266987,17632357,16854516,19457296,16869852,24601265,34812399,38841930,33936968,32068749,26959451,23986000,22023000,17187000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77337,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131286,- -,- -,43823,116392,178524,1957010,1765813,748969,884226,508859,474657,384000,309000,51000
14,Depreciation and Amortization,200000,500000,1000000,2000000,1700000,842530,685634,783806,1034499,1147149,1470659,1819233,2189981,2369670,2868997,3270902,741771,1309941,2059831,2401600,2590392,2444937,1935522,1387000,691000,2217000
15,EBITDA,-100000,-4200000,-11700000,-8900000,-1500000,863423,908994,1819819,1596668,1249072,3154370,2078160,1465819,1006400,4241428,1453677,957184,-5000315,-7992004,-9747897,-807494,-2219794,-772865,-4094000,-1841000,1304000
16,EBITDA ratio,-0.0200,-0.4078,-1.3448,-0.7417,-0.1429,0.0902,0.0831,0.1352,0.1247,0.0980,0.1956,0.1310,0.0885,0.0618,0.2329,0.0826,0.0559,-0.2104,-0.2805,-0.3529,-0.0285,-0.0820,-0.0318,-0.1831,-0.0888,0.1149
17,Operating Income,-400000,-6000000,-13800000,-9800000,-2500000,66590,2019034,2887708,2353652,935893,1738322,181590,-703687,-1346699,1353682,-1851305,246356,-834931,-6318031,-13312097,-5622309,-4770815,-2621652,-5302000,-2141000,-5946000
18,Operating Income ratio,-0.0800,-0.5825,-1.5862,-0.8167,-0.2381,0.0070,0.1846,0.2145,0.1838,0.0734,0.1078,0.0114,-0.0425,-0.0827,0.0743,-0.1052,0.0144,-0.0351,-0.2217,-0.4819,-0.1986,-0.1763,-0.1077,-0.2371,-0.1032,-0.5241
19,Total Other Income Expenses (Gains),- -,1300000,1100000,-300000,1000000,1381419,-1795674,-1851695,-1791483,-833970,-54611,-53949,-20475,-16571,-25074,-82312,-209467,-7432335,-5499617,413631,1340197,-402775,-561392,-563000,-700000,-113000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,223360,1036013,562169,101923,1683711,127641,-724162,-1363270,1328608,-1933617,36889,-8267266,-11817648,-12898466,-4282112,-5173590,-3183044,-5865000,-2841000,-6059000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0204,0.0770,0.0439,0.0080,0.1044,0.0080,-0.0437,-0.0837,0.0730,-0.1098,0.0022,-0.3478,-0.4147,-0.4669,-0.1512,-0.1912,-0.1308,-0.2622,-0.1370,-0.5340
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,13000,24000,-456997,-455753,-867361,31180,11400,11700,40500,1017000,24315,-2888537,-100458,-887009,8003,-12024,-83830,- -,22000,-1260000
23,Net Income,-300000,-4700000,-12700000,-10900000,-3200000,20893,210360,1012013,1019166,557676,2551072,96461,-735562,-1374970,1288108,-2950617,12574,-5378729,-11717190,-12011457,-4290115,-5161566,-3099214,-5865000,-2863000,296000
24,Net Income ratio,-0.0600,-0.4563,-1.4598,-0.9083,-0.3048,0.0022,0.0192,0.0752,0.0796,0.0437,0.1582,0.0061,-0.0444,-0.0844,0.0707,-0.1676,0.0007,-0.2263,-0.4112,-0.4348,-0.1515,-0.1907,-0.1273,-0.2622,-0.1380,0.0261
25,EPS,-0.05,-0.56,-1.44,-1.24,-0.37,0.00,0.02,0.11,0.11,0.06,0.28,0.01,-0.08,-0.15,0.14,-0.31,0.00,-0.48,-0.94,-0.71,-0.30,-0.31,-0.16,-0.30,0.09,0.01
26,EPS Diluted,-0.05,-0.56,-1.44,-1.24,-0.37,0.00,0.02,0.11,0.11,0.06,0.27,0.01,-0.08,-0.15,0.14,-0.31,0.00,-0.48,-0.94,-0.71,-0.30,-0.31,-0.16,-0.30,0.09,0.01
27,Weighted Average Shares Outstanding,6666667,8283761,8827478,8811019,8827055,8862974,8889586,8933931,8996734,9067816,9121369,9195415,9234313,9286261,9381285,9504986,9887841,11634540,13747700,18261800,18689854,19528341,19876383,19540980,22739679,30152383
28,Weighted Average Shares Outstanding Diluted,6666667,8283761,8827478,8817204,8827055,8862974,9073720,9197519,9207241,9233320,9425050,9722346,9234313,9286261,9530891,9504986,9899073,11634540,13747700,18261800,18689854,19528341,19876383,19540980,22739679,30640742
