,https://roic.ai/company/PKTX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,124,- -,- -,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,209532,410650,180709,996538,405281,175958,161508,117415,- -,74500,13750,158890,450899,296515,337067,369520,527291,435872
6,General and Administrative Exp.,- -,- -,- -,- -,5155642,- -,- -,1719731,1121537,1070151,1211904,787518,173118,347677,370427,1097707,1070727,1212462,875970,3825376,7114199,477383
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,5155642,- -,- -,1719731,1121537,1070151,1211904,787518,173118,347677,370427,1097707,1070727,1212462,875970,3825376,7114199,477383
9,Other Expenses,35,17026,- -,- -,- -,- -,- -,- -,24000,- -,- -,- -,- -,- -,- -,1500,3000,3000,3000,3000,3000,1416055
10,Operating Expenses,35,17026,- -,- -,5365174,- -,- -,2716269,1550818,1246109,1373412,904933,173118,422177,384177,1258097,1524626,1511977,1216037,4197896,7644490,2329310
11,COGS and Expenses,35,17026,14878,1517344,5365174,4815347,1955764,2716269,1550818,1246109,1373412,904933,173118,422177,384177,1258097,1524626,1511977,1216037,4197896,7644490,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,24000,24000,24000,12000,24000,26400,34418,3968,12,1657,306,- -,- -,- -
