,https://roic.ai/company/CZFS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1381000,1391000,1415000,1596000,2662000,2513000,14104000,14649000,19008000,22019000,22101000,21663000,22387000,22614000,24187000,24336000,31231000,33670000,35639000,38263000,37188000,37694000,38256000,45863000,50910000,54919000,58326000,73613000,78417000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2782000,3088000,3150000,3418000,3882000,3848000,4320000,4768000,6597000,7120000,8304000,7636000,7645000,8026000,8386000,8725000,9472000,9850000,10588000,11486000,11842000,11966000,12968000,16982000,17841000,19511000,21479000,25821000,27745000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2782000,3088000,3150000,3418000,3882000,3848000,4320000,4768000,6597000,7120000,8304000,7636000,7645000,8026000,8386000,8725000,9472000,9850000,10588000,11486000,11842000,11966000,12968000,16982000,17841000,19511000,21479000,25821000,27745000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18355000,- -,24614000,21275000,22528000,- -,- -,- -,- -,13034000,15032000,18018000,20159000,23489000,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,- -,33000000,30000000,32000000,- -,- -,- -,- -,25000000,28000000,35000000,38000000,43000000,- -,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,16551000,17336000,19422000,21341000,22779000,23088000,23546000,26226000,29025000,27377000,25615000,26606000,28699000,32851000,36024000,37238000,38587000,38953000,38238000,38014000,36148000,35097000,35435000,42722000,47822000,56311000,61483000,69898000,72839000
13,Interest Expense (Gain),7853000,7944000,9851000,10867000,11610000,11920000,12066000,14238000,14306000,10404000,8826000,9235000,11000000,14953000,16922000,14058000,13231000,11340000,9683000,7659000,6315000,4953000,4820000,5041000,5839000,9574000,12040000,8105000,7105000
14,Depreciation and Amortization,438000,440000,412000,442000,588000,761000,1134000,1203000,2167000,2137000,2487000,2356000,2039000,1268000,865000,653000,654000,457000,469000,420000,428000,472000,464000,320000,200000,387000,498000,-2822000,192000
15,EBITDA,11623000,12167000,14258000,15619000,17703000,17571000,17796000,19293000,20995000,19899000,17478000,18332000,19979000,23478000,26295000,22840000,26432000,26455000,26594000,26625000,23870000,22369000,19631000,21033000,25095000,31398000,35848000,35649000,42614000
16,EBITDA ratio,8.4164,8.7469,10.0763,9.7863,6.6503,6.9920,1.2618,1.3170,1.1045,0.9037,0.7908,0.8462,0.8924,1.0382,1.0872,0.9385,0.8463,0.7857,0.7462,0.6958,0.6419,0.5934,0.5131,0.4586,0.4929,0.5717,0.6146,0.4843,0.5434
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,3332000,3783000,3995000,4310000,5505000,5031000,4596000,3852000,4522000,7358000,6165000,6741000,6940000,7257000,8508000,8129000,12547000,14658000,16442000,18546000,17127000,16944000,14347000,15672000,19056000,21437000,23310000,30366000,35317000
21,Income Before Tax Ratio,2.4127,2.7196,2.8233,2.7005,2.0680,2.0020,0.3259,0.2630,0.2379,0.3342,0.2789,0.3112,0.3100,0.3209,0.3518,0.3340,0.4017,0.4353,0.4613,0.4847,0.4606,0.4495,0.3750,0.3417,0.3743,0.3903,0.3997,0.4125,0.4504
22,Income Tax expense (Gain),908000,1158000,1161000,1307000,1673000,1401000,1043000,644000,765000,1763000,1286000,1474000,1666000,1457000,1772000,1224000,2683000,3156000,3610000,4331000,3752000,3559000,2721000,3034000,6031000,3403000,3820000,5263000,6199000
23,Net Income,2424000,2625000,2834000,3003000,3832000,3489000,3553000,3208000,3757000,5595000,4879000,5267000,5274000,5800000,6736000,6905000,9864000,11502000,12832000,14215000,13375000,13385000,11626000,12638000,13025000,18034000,19490000,25103000,29118000
24,Net Income ratio,1.7552,1.8871,2.0028,1.8816,1.4395,1.3884,0.2519,0.2190,0.1977,0.2541,0.2208,0.2431,0.2356,0.2565,0.2785,0.2837,0.3158,0.3416,0.3601,0.3715,0.3597,0.3551,0.3039,0.2756,0.2558,0.3284,0.3342,0.3410,0.3713
25,EPS,0.65,0.70,0.76,0.81,1.03,0.94,0.95,0.88,1.02,1.53,1.34,1.46,1.47,1.64,1.93,1.99,2.84,3.33,3.72,4.17,3.97,4.00,3.48,3.46,3.59,4.99,5.43,6.53,7.58
26,EPS Diluted,0.65,0.70,0.76,0.81,1.03,0.94,0.95,0.88,1.02,1.53,1.34,1.46,1.47,1.64,1.93,1.99,2.84,3.33,3.72,4.17,3.97,3.99,3.47,3.46,3.59,4.99,5.42,6.52,7.58
27,Weighted Average Shares Outstanding,3728918,3730651,3740940,3729425,3718989,3725088,3726286,3647033,3688345,3653049,3630794,3608024,3577049,3532099,3495968,3472009,3464817,3456374,3445106,3407854,3372004,3352945,3345203,3651510,3622723,3611429,3591600,3843738,3943334
28,Weighted Average Shares Outstanding Diluted,3728918,3730651,3740940,3729425,3718989,3725088,3726286,3647033,3688345,3653049,3630794,3608024,3577049,3532099,3495968,3472009,3464817,3456374,3445106,3409776,3373308,3354374,3346704,3653210,3624517,3613477,3593738,3845598,3943387
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/739421/000073942103000020/0000739421-03-000020-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942104000013/0000739421-04-000013-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942105000023/0000739421-05-000023-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/739421/000073942108000009/0000739421-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942109000009/0000739421-09-000009-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/739421/000073942115000011/0000739421-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000073942116000097/0000739421-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/739421/000073942117000017/0000739421-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/739421/000073942118000016/0000739421-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/739421/000073942119000014/0000739421-19-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/739421/000114036121008169/0001140361-21-008169-index.htm,https://www.sec.gov/Archives/edgar/data/739421/000114036122008745/0001140361-22-008745-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5612000,5511000,5573000,6459000,6343000,7305000,8522000,27618000,11480000,11594000,9951000,9339000,8609000,10015000,10389000,19856000,31449000,43995000,30432000,26333000,12563000,17383000,32080000,24709000,28800000,32295000,32776000,82465000,183859000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310252000,317301000,306146000,359737000,314017000,254782000,241010000,240706000,295189000,412402000
33,Cash and Short-Term Investments,5612000,5511000,5573000,6459000,6343000,7305000,8522000,27618000,11480000,11594000,9951000,9339000,8609000,10015000,10389000,19856000,31449000,43995000,30432000,336585000,329864000,323529000,391817000,338726000,283582000,273305000,273482000,377654000,596261000
34,Net Receivables,3394000,3629000,3629000,2930000,2426000,2188000,2120000,2318000,1986000,1976000,1703000,1736000,2164000,2458000,2522000,2912000,3141000,3455000,3621000,3816000,3728000,3644000,4211000,11848000,4196000,4452000,4555000,5998000,5235000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,362682000,387101000,-1976000,-1703000,-1736000,496874000,428455000,-2522000,-2912000,672404000,491014000,503733000,209997000,242680000,-306146000,-359737000,-321776000,-254782000,-255992000,906320000,1160910000,1077676000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,392618000,400567000,11594000,9951000,9339000,507647000,440928000,10389000,19856000,706994000,538464000,537786000,550398000,576272000,21027000,36291000,28798000,32996000,21765000,1184357000,1544562000,1679172000
38,PP&E,4195000,4292000,4383000,4509000,5992000,6135000,5942000,10924000,11768000,11245000,10645000,11833000,12305000,12892000,12538000,12762000,12227000,12503000,11702000,11521000,11105000,12357000,17263000,17030000,16523000,16273000,15933000,16948000,17016000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10256000,10256000,10256000,10256000,10256000,10256000,21089000,21089000,23296000,23296000,23296000,31376000,31376000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2437000,2096000,1953000,1623000,1346000,1668000,1627000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,9790000,8775000,8318000,7883000,9867000,9289000,8605000,8605000,10256000,10256000,10256000,10256000,10256000,10256000,10256000,23526000,23185000,25249000,24919000,24642000,33044000,33003000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,100725000,106587000,95747000,102602000,109743000,120802000,174139000,198582000,251303000,318823000,310252000,317301000,306146000,359737000,314017000,254782000,241526000,241407000,297120000,414672000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111970000,-117232000,-107580000,-102602000,- -,-133340000,-186901000,-198582000,- -,- -,- -,- -,575262000,726167000,839988000,1032336000,1126229000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,20714000,20543000,8318000,7883000,9867000,21594000,131240000,8605000,10256000,22483000,274062000,340781000,332029000,338662000,904021000,1126693000,1194220000,1328890000,1408947000,281982000,347112000,464691000
46,Other Assets,216237000,232537000,247094000,282810000,294811000,313564000,340779000,- -,- -,- -,- -,- -,- -,703408000,- -,- -,- -,1086588000,1219348000,1214456000,1253596000,- -,- -,- -,- -,- -,1748321000,2238786000,2608554000
47,Total Assets,216237000,232537000,247094000,282810000,294811000,313564000,340779000,413332000,421110000,19912000,17834000,19206000,529241000,572168000,18994000,30112000,729477000,812526000,878567000,882427000,914934000,925048000,1162984000,1223018000,1361886000,1430712000,1466339000,1891674000,2143863000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2557000,2620000,2285000,2077000,1888000,1870000,1862000,2287000,2199000,2233000,2037000,1779000,1512000,1143000,895000,756000,734000,720000,897000,1076000,1088000,1017000,711000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15445000,17949000,29568000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9833000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500000,19819000,31430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
54,Long-Term Debt,3872000,16030000,8855000,15817000,6864000,7334000,25853000,11204000,13311000,17027000,19851000,17026000,23106000,75775000,80348000,61204000,54115000,55996000,53882000,46126000,66932000,41799000,41631000,79662000,114664000,91194000,85117000,88838000,73977000
