,https://roic.ai/company/VEON,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,4867978000,7171098000,10116932000,8702902000,10512800000,20262000000,23061000000,22546000000,19627000000,9625000000,8885000000,9474000000,9086000000,8863000000,7980000000
2,COGS,890732000,1315114000,2363852000,1989120000,2468418000,5625000000,6132000000,5913000000,4932000000,2187000000,1985000000,2139000000,2116000000,2033000000,1890000000
3,Gross Profit,3977246000,5855984000,7753080000,6713782000,8044382000,14637000000,16929000000,16633000000,14695000000,7438000000,6900000000,7335000000,6970000000,6830000000,6090000000
4,Gross Profit Ratio,0.8170,0.8166,0.7663,0.7714,0.7652,0.7224,0.7341,0.7377,0.7487,0.7728,0.7766,0.7742,0.7671,0.7706,0.7632
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1503615000,2206322000,2838508000,2389998000,- -,- -,- -,- -,- -,- -,3366000000,3470000000,3418000000,2741000000,2522000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1503615000,2206322000,2838508000,2389998000,- -,- -,- -,- -,- -,- -,3366000000,3470000000,3418000000,2741000000,2522000000
9,Other Expenses,1076312000,1443472000,1935875000,1745429000,5191883000,11166000000,12237000000,13214000000,11043000000,6630000000,2180000000,2210000000,2051000000,1854000000,1971000000
10,Operating Expenses,2579927000,3649794000,4774383000,4135427000,5191883000,11166000000,12237000000,13214000000,11043000000,6630000000,5546000000,5680000000,5469000000,4595000000,4493000000
11,COGS and Expenses,3470659000,4964908000,7138235000,6124547000,7660301000,16791000000,18369000000,19127000000,15975000000,8817000000,7531000000,7819000000,7585000000,6628000000,6383000000
12,Interest Income ,15471000,33021000,71618000,51714000,55938000,120000000,154000000,91000000,54000000,52000000,69000000,95000000,67000000,53000000,23000000
13,Interest Expense (Gain),186404000,194839000,495634000,598531000,540040000,1587000000,2029000000,2150000000,2026000000,829000000,830000000,935000000,816000000,892000000,683000000
14,Depreciation and Amortization,1054464000,1390553000,1881164000,1694167000,2079764000,4787000000,5006000000,4841000000,4318000000,2067000000,1936000000,1991000000,2692000000,2154000000,2704000000
15,EBITDA,2443020000,3642026000,3205066000,3849558000,4898808000,7502000000,10086000000,6430000000,6419000000,2461000000,5729000000,2915000000,4459000000,4165000000,3380000000
16,EBITDA ratio,0.5019,0.5079,0.3168,0.4423,0.4660,0.3702,0.4374,0.2852,0.3270,0.2557,0.6448,0.3077,0.4908,0.4699,0.4236
17,Operating Income,1397319000,2206190000,2535950000,2578355000,2852499000,2854000000,4171000000,346000000,2586000000,524000000,1084000000,1506000000,554000000,2019000000,635000000
18,Operating Income ratio,0.2870,0.3077,0.2507,0.2963,0.2713,0.1409,0.1809,0.0153,0.1318,0.0544,0.1220,0.1590,0.0610,0.2278,0.0796
19,Total Other Income Expenses (Gains),-185181000,-85834000,-1644716000,-1025994000,-525971000,-2000000000,-1283000000,-2370000000,-2767000000,-1119000000,-737000000,-1530000000,-802000000,-838000000,-609000000
20,Income Before Tax,1212138000,2120356000,891234000,1552361000,2326528000,854000000,2888000000,-2024000000,-181000000,-595000000,347000000,-24000000,-248000000,1181000000,26000000
21,Income Before Tax Ratio,0.2490,0.2957,0.0881,0.1784,0.2213,0.0421,0.1252,-0.0898,-0.0092,-0.0618,0.0391,-0.0025,-0.0273,0.1333,0.0033
22,Income Tax expense (Gain),390663000,593928000,303934000,435030000,605663000,585000000,906000000,2064000000,722000000,220000000,635000000,472000000,369000000,498000000,342000000
23,Net Income,811489000,1462706000,524334000,1121830000,1673341000,543000000,2145000000,-2625000000,-647000000,-655000000,2328000000,-483000000,582000000,621000000,-349000000
24,Net Income ratio,0.1667,0.2040,0.0518,0.1289,0.1592,0.0268,0.0930,-0.1164,-0.0330,-0.0681,0.2620,-0.0510,0.0641,0.0701,-0.0437
25,EPS,0.46,0.84,0.30,1.09,1.39,0.31,1.33,-0.81,-0.40,-0.40,1.38,-0.28,0.33,0.36,-0.20
26,EPS Diluted,0.46,0.84,0.30,1.08,1.39,0.31,1.32,-0.81,-0.40,-0.40,1.38,-0.28,0.33,0.36,-0.20
27,Weighted Average Shares Outstanding,1749000000,1749000000,1749000000,1012940000,1207040000,1655676000,1618000000,1748243739,1748598146,1749004648,1749004648,1749127404,1749127404,1749127404,1745000000
28,Weighted Average Shares Outstanding Diluted,1749000000,1749000000,1749000000,1013560000,1207340000,1655943000,1619000000,1748243739,1748598146,1749004648,1749004648,1749127404,1749127404,1749127404,1745000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468091/000119312511178770/0001193125-11-178770-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312512194968/0001193125-12-194968-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312513122015/0001193125-13-122015-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312514201107/0001193125-14-201107-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312515103281/0001193125-15-103281-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312516525094/0001193125-16-525094-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000119312517107561/0001193125-17-107561-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000104746918001668/0001047469-18-001668-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000146809119000018/0001468091-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1468091/000146809120000011/0001468091-20-000011-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1003711000,914683000,1446949000,885125000,2325000000,4949000000,4454000000,6342000000,3614000000,2942000000,1304000000,1808000000,1250000000,1594000000
32,Short-Term Investments,- -,42712000,- -,- -,446130000,- -,- -,- -,- -,- -,- -,- -,- -,82000000,165000000
33,Cash and Short-Term Investments,- -,1046423000,914683000,1446949000,1331255000,2325000000,4949000000,4454000000,6342000000,3614000000,2942000000,1304000000,1808000000,1332000000,1759000000
34,Net Receivables,- -,401499000,858092000,738990000,506322000,2065000000,- -,- -,- -,- -,- -,- -,- -,- -,804000000
35,Inventory,- -,58838000,142649000,61919000,137413000,227000000,167000000,192000000,117000000,104000000,125000000,72000000,141000000,169000000,111000000
36,Other Current Assets,- -,220157000,491083000,718750000,314484000,2604000000,4347000000,3845000000,3168000000,1665000000,1483000000,2499000000,1144000000,998000000,176000000
37,Total Current Assets,- -,1726917000,2406507000,2966608000,2289474000,7221000000,9463000000,8491000000,9627000000,5383000000,4550000000,3875000000,3093000000,2499000000,2850000000
38,PP&E,- -,5497819000,6425873000,5561569000,6935287000,15165000000,15666000000,15493000000,11849000000,6239000000,6719000000,6097000000,4932000000,7340000000,6879000000
39,Goodwill,- -,1039816000,3476942000,3284293000,7003714000,16776000000,16964000000,14709000000,10285000000,4223000000,4696000000,4394000000,3816000000,- -,2682000000
40,Intangible Assets,- -,1800528000,2196779000,1691217000,1481800000,11825000000,10601000000,9837000000,7717000000,2224000000,2257000000,2168000000,1854000000,5688000000,1470000000
41,Intangible Assets,- -,2840344000,5673721000,4975510000,8485514000,28601000000,27565000000,24546000000,18002000000,6447000000,6953000000,6562000000,5670000000,5688000000,4152000000
42,Investments,- -,5908000,493550000,436767000,446130000,388000000,2259000000,711000000,867000000,365000000,2485000000,1955000000,58000000,235000000,305000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186000000
44,Other Non-Current Assets,- -,497896000,725502000,792087000,-446130000,2014000000,330000000,364000000,692000000,283000000,486000000,499000000,332000000,297000000,179000000
45,Total Non-Current Assets,- -,8841967000,13318646000,11765933000,15420801000,46168000000,45820000000,41114000000,31410000000,13334000000,16643000000,15113000000,10992000000,13560000000,11701000000
