,https://roic.ai/company/CPHI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,37490,110079,23275,8657813,21843262,33186324,50968660,61696620,74388180,81166739,54507049,32806678,24927707,20351630,15570514,13212314,12330687,10923936,10866449,9641925
2,COGS,- -,- -,- -,47681,4166965,11745815,17619180,25678239,36046259,44105447,52178680,40430798,33287597,19465706,18887069,12352004,10743764,10355839,9441752,8913543,9292655000000
3,Gross Profit,- -,37490,- -,-24406,4490848,10097447,15567144,25290421,25650361,30282733,28988059,14076251,-480919,5462001,1464561,3218510,2468550,1974848,1482184,1952906,-9292645358075
4,Gross Profit Ratio,- -,1.0000,- -,-1.0486,0.5187,0.4623,0.4691,0.4962,0.4157,0.4071,0.3571,0.2582,-0.0147,0.2191,0.0720,0.2067,0.1868,0.1602,0.1357,0.1797,-963774.9057
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1683244,2798557,961897,365969,90474,172384,229637,377964,318964000000
6,General and Administrative Exp.,- -,752324,- -,- -,- -,- -,- -,- -,2147081,3039450,3716397,3313306,2404338,1716760,1896559,2265851,2019949,1949921,2289520,1822655,1651024000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,2705550,2542826,3439522,3535214,3284905,3346511,4294639,4036590,3460596,3216512,2352610,2215394,1495007000000
8,"Selling, General and Administrative Exp.",- -,752324,- -,- -,247032,- -,- -,- -,4852631,5582276,7155919,6848520,5689243,5063271,6191198,6302441,5480545,5166433,4642130,4038049,3146031000000
9,Other Expenses,- -,- -,265721,92963,- -,1473956,3315915,5560117,-1816785,505224,-193587,-141987,- -,-65113,-1640531,-343023,- -,- -,- -,- -,- -
10,Operating Expenses,- -,752324,265721,92963,247032,1473956,3315915,5560117,3035846,6087500,6962332,6706533,7372487,7796715,5512564,6325387,5571019,5338817,4871767,4416013,3464995000000
11,COGS and Expenses,- -,752324,265721,140644,4413997,13219771,20935095,31238356,39082105,50192947,59141012,47137331,40660084,27262421,24399633,18677391,16314783,15694656,14313519,13329556,12757650000000
12,Interest Income ,- -,- -,- -,- -,769,991,31805,45168,30695,15413,7208,4944,8457,69739,119925,130575,64414,38516,27527,5675,3035000000
