,https://roic.ai/company/WPP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,254749329,540919512,1028217680,1264789274,1203353514,1271583838,1430973868,1428357753,1560691056,1691323816,1745194200,1917959820,2170042644,2983878573,4030550172,3910252991,4100678400,4297571001,5372461556,5905962787,6192003428,7476900000,8684300000,9331000000,10021800000,10373100000,11019400000,11528900000,12235200000,14388900000,15265400000,15602400000,13234100000,12002800000,12801100000
2,COGS,52305540,92622824,145828800,163198616,162196470,180656420,195781184,196622262,201460908,226393538,248682612,559254335,274775829,244860872,232510247,218308865,236792640,224999164,240944287,296707458,335831004,467500000,703600000,770500000,783300000,858300000,943300000,1464100000,1710900000,1991100000,12090200000,12663500000,10825100000,9987900000,10597500000
3,Gross Profit,202443789,448296688,882388880,1101590658,1041157044,1090927418,1235192684,1231735491,1359230148,1464930278,1496511588,1358705485,1895266815,2739017702,3798039925,3691944127,3863885760,4072571837,5131517269,5609255329,5856172423,7009400000,7980700000,8560500000,9238500000,9514800000,10076100000,10064800000,10524300000,12397800000,3175200000,2938900000,2409000000,2014900000,2203600000
4,Gross Profit Ratio,0.7947,0.8288,0.8582,0.8710,0.8652,0.8579,0.8632,0.8623,0.8709,0.8661,0.8575,0.7084,0.8734,0.9179,0.9423,0.9442,0.9423,0.9476,0.9552,0.9498,0.9458,0.9375,0.9190,0.9174,0.9218,0.9173,0.9144,0.8730,0.8602,0.8616,0.2080,0.1884,0.1820,0.1679,0.1721
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,177038241,385974680,758559040,944613082,936517608,986621412,1109246432,1092935781,1193233608,1254069544,1262105088,1095073365,1589926065,1836356108,3276594207,3241519314,3371524800,3513223462,4478867616,4867885825,5050678431,521300000,691600000,659200000,674100000,690600000,727400000,711300000,726300000,836500000,1267000000,1507500000,1113100000,4293000000,974600000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",177038241,385974680,758559040,944613082,936517608,986621412,1109246432,1092935781,1193233608,1254069544,1262105088,1095073365,1589926065,1836356108,3276594207,3241519314,3371524800,3513223462,4478867616,4867885825,5050678431,521300000,691600000,659200000,674100000,690600000,727400000,711300000,726300000,836500000,1267000000,1507500000,1113100000,4293000000,974600000
9,Other Expenses,6137895,11487672,20254000,25454422,25865928,22878751,25824728,26608608,26274696,28379484,29096652,33676955,42150476,70475014,14832733,177788469,77599200,74966354,- -,- -,- -,5612100000,6527400000,6928300000,7372200000,7583100000,7211000000,7134900000,8166000000,9498200000,- -,- -,- -,- -,- -
10,Operating Expenses,183176136,397462352,778813040,970067504,962383536,1009500163,1135071160,1119544389,1219508304,1282449028,1291201740,1128750320,1632076541,1906831123,3291426940,3419307783,3449124000,3588189816,4478867616,4867885825,5050678431,6133400000,7219000000,7587500000,8046300000,8273700000,7938400000,7846200000,8892300000,10334700000,1267000000,1507500000,1113100000,4293000000,974600000
11,COGS and Expenses,235481676,490085176,924641840,1133266120,1124580006,1190156583,1330852344,1316166651,1420969212,1508842566,1539884352,1688004655,1906852370,2151691994,3523937187,3637616647,3685916640,3813188981,4719811902,5164593283,5386509435,6600900000,7922600000,8358000000,8829600000,9132000000,8881700000,9310300000,10603200000,12325800000,13357200000,14171000000,11938200000,14280900000,11572100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22523992,- -,31015803,30800000,56400000,57800000,80100000,102100000,169600000,150400000,81700000,97300000,54700000,54200000,94700000,53500000,67900000,78400000,89400000,80700000,74000000,51500000
13,Interest Expense (Gain),- -,18813144,44496480,57233568,55205586,44768507,40359588,35627391,36435108,29722546,- -,30002010,- -,72877922,71456856,86400000,71600000,127000000,149200000,178500000,222000000,344800000,355400000,276800000,297200000,299800000,267900000,262700000,224100000,254500000,269800000,289300000,359100000,312000000,283600000
14,Depreciation and Amortization,6137895,11487672,20254000,25454422,25865928,22878751,25824728,26608608,26274696,28379484,29096652,33676955,42150476,78983944,124974309,294447425,204934240,178319718,147365904,185841812,184882254,251400000,398400000,380800000,383500000,396600000,414500000,376400000,368500000,427800000,462100000,543800000,686300000,631000000,541800000
15,EBITDA,18573804,69869464,139160560,169678866,135635796,72987831,118442208,145515825,175056780,208700156,201680328,270921765,291256593,506639174,594605255,572343020,606606080,737625695,854337119,999344424,1077743514,1268200000,1347200000,1433900000,1612700000,1716300000,1902600000,2016700000,2000300000,2471300000,2745500000,2219900000,1944500000,-1895000000,1693200000
