,https://roic.ai/company/INFY,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,121000000,203443754,413850510,545051214,753807025,1062584888,1592000000,2152000000,3090000000,4176000000,4663000000,4804000000,6041000000,6994000000,7398000000,8249000000,8711000000,9501000000,10208000000,10939000000,11799000000,12780000000,13561000000
2,COGS,43900000,98812377,213613744,290032232,417359025,602289263,904000000,1244000000,1777000000,2453000000,2699000000,2749000000,3497000000,4118000000,4637000000,5292000000,5374000000,5950000000,6446000000,7001000000,7687000000,8552000000,8828000000
3,Gross Profit,77100000,104631377,200236766,255018982,336448000,460295625,688000000,908000000,1313000000,1723000000,1964000000,2055000000,2544000000,2876000000,2761000000,2957000000,3337000000,3551000000,3762000000,3938000000,4112000000,4228000000,4733000000
4,Gross Profit Ratio,0.6372,0.5143,0.4838,0.4679,0.4463,0.4332,0.4322,0.4219,0.4249,0.4126,0.4212,0.4278,0.4211,0.4112,0.3732,0.3585,0.3831,0.3738,0.3685,0.3600,0.3485,0.3308,0.3490
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351000000,344000000,433000000,497000000,382000000,547000000,599000000,654000000,485000000,564000000,582000000,638000000,599000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000000,251000000,332000000,366000000,373000000,431000000,480000000,522000000,535000000,552000000,638000000,664000000,624000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,590000000,595000000,765000000,863000000,755000000,978000000,1079000000,1176000000,1020000000,1116000000,1220000000,1302000000,1223000000
9,Other Expenses,54200000,44132324,62722180,76471075,117803804,167179572,232000000,309000000,461000000,572000000,- -,- -,- -,- -,95000000,- -,- -,- -,167000000,152000000,161000000,178000000,160000000
10,Operating Expenses,54200000,44132324,62722180,76471075,117803804,167179572,232000000,309000000,461000000,572000000,590000000,595000000,765000000,863000000,850000000,978000000,1079000000,1176000000,1187000000,1268000000,1381000000,1480000000,1383000000
11,COGS and Expenses,98100000,142944701,276335924,366503307,535162829,769468835,1136000000,1553000000,2238000000,3025000000,3289000000,3344000000,4262000000,4981000000,5487000000,6270000000,6453000000,7126000000,7633000000,8269000000,9068000000,10032000000,10211000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000000,164000000,250000000,374000000,329000000,- -,430000000,385000000,380000000,366000000,293000000,264000000,217000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,26000000
14,Depreciation and Amortization,25100000,17385804,29609662,38618163,44188307,55086050,66000000,99000000,118000000,157000000,165000000,199000000,189000000,195000000,207000000,226000000,175000000,222000000,254000000,289000000,287000000,407000000,441000000
15,EBITDA,47400000,86923649,176629591,231031364,280880613,376152277,557000000,724000000,1052000000,1483000000,1640000000,1868000000,2235000000,2605000000,2549000000,2645000000,2993000000,3073000000,3228000000,3432000000,3289000000,3519000000,4053000000
