,https://roic.ai/company/DPLS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,230000,100000,27000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,-200000,-233404,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,300000,260404,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,3.0000,9.6446,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,770000,280000,320000,860000,700000,1830349,486958,- -,- -,69765,- -,- -,- -,- -,118149,95225,27063,7833,2940,11204,2840,1343,895,91301,- -,- -
6,General and Administrative Exp.,530000,540000,430000,870000,1000000,2396492,1641871,- -,- -,- -,- -,400080,549759,93223,418757,379145,455865,388042,371039,291734,481160,264764,169447,2275800,470308,149259
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8098,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",530000,540000,430000,870000,1000000,2396492,1641871,- -,- -,- -,- -,408178,549759,93223,418757,379145,455865,388042,371039,291734,481160,264764,169447,2275800,470308,149259
9,Other Expenses,- -,- -,- -,-10000,200000,233404,- -,627287,849098,686776,498728,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60839,51028,109480
10,Operating Expenses,1300000,820000,750000,1720000,1900000,4460245,2128829,627287,849098,756541,498728,408178,549759,93223,536906,474370,482928,395875,373979,302938,484000,266107,170342,2427940,521336,258739
11,COGS and Expenses,1300000,820000,750000,1720000,1700000,4226841,2128829,627287,849098,756541,498728,408178,549759,93223,536906,474370,482928,395875,373979,302938,484000,266107,170342,2427940,521336,258739
12,Interest Income ,- -,- -,- -,- -,- -,11764,4504,100,- -,- -,- -,- -,- -,- -,- -,- -,250,- -,- -,- -,- -,- -,625,- -,- -,- -
13,Interest Expense (Gain),-10000,-10000,-10000,-10000,- -,- -,- -,- -,- -,- -,- -,442162,309898,25752,28250,20612,44378,48368,16626,- -,14123,1549,1938,531796,505683,135064
14,Depreciation and Amortization,120000,160000,180000,220000,200000,233404,246558,239245,230448,144062,43537,7215,- -,- -,- -,- -,- -,3370,16446,23574,23306,29359,30808,51028,51028,86607
15,EBITDA,-1180000,-660000,-570000,-1290000,-1500000,-3832779,-1882271,-388042,-618650,-612479,-455191,-400963,-549759,-93222,-536906,-474370,-482678,-392505,-357533,-279364,-460694,-236748,-139534,-2367101,-470308,-189235
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-5.6087,-15.0000,-141.9548,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-1300000,-820000,-750000,-1490000,-1600000,-4199841,-2128829,-627287,-849098,-756541,-498728,-408178,-549759,- -,-536906,- -,- -,-395875,-373979,-368802,-484000,-266107,-460602,-2538625,-546236,-258739
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-6.4783,-16.0000,-155.5497,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
