,https://roic.ai/company/SYF,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,8904000000,10247000000,11284000000,11805000000,12485000000,13874000000,15304000000,16383000000,17170000000,15456000000,14720000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,17170000000,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,596000000,620000000,698000000,1078000000,1339000000,1545000000,1687000000,1853000000,1940000000,1380000000,1501000000
7,Selling and Marketing Exp.,221000000,208000000,269000000,460000000,433000000,423000000,498000000,528000000,549000000,448000000,486000000
8,"Selling, General and Administrative Exp.",817000000,828000000,967000000,1538000000,1772000000,1968000000,2185000000,2381000000,2489000000,1828000000,1987000000
9,Other Expenses,- -,- -,- -,7803000000,8317000000,9584000000,11186000000,12228000000,12085000000,- -,- -
10,Operating Expenses,- -,- -,- -,9341000000,10089000000,11552000000,13371000000,14609000000,14574000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,9141000000,10309000000,11313000000,12242000000,13228000000,14778000000,16407000000,17988000000,19090000000,16067000000,15271000000
13,Interest Expense (Gain),932000000,745000000,742000000,922000000,1135000000,1248000000,1391000000,1870000000,2291000000,1665000000,1032000000
14,Depreciation and Amortization,96000000,83000000,104000000,131000000,174000000,219000000,254000000,302000000,367000000,383000000,390000000
15,EBITDA,4038000000,4204000000,3988000000,4439000000,4840000000,5037000000,4969000000,5816000000,7545000000,3845000000,6925000000
16,EBITDA ratio,0.4535,0.4103,0.3534,0.3760,0.3877,0.3631,0.3247,0.3550,0.4394,0.2488,0.4704
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,3010000000,3376000000,3142000000,3386000000,3531000000,3570000000,3324000000,3644000000,4887000000,1797000000,5503000000
21,Income Before Tax Ratio,0.3381,0.3295,0.2784,0.2868,0.2828,0.2573,0.2172,0.2224,0.2846,0.1163,0.3738
22,Income Tax expense (Gain),1120000000,1257000000,1163000000,1277000000,1317000000,1319000000,1389000000,854000000,1140000000,412000000,1282000000
23,Net Income,1890000000,2119000000,1979000000,2109000000,2214000000,2251000000,1935000000,2790000000,3747000000,1385000000,4221000000
24,Net Income ratio,0.2123,0.2068,0.1754,0.1787,0.1773,0.1622,0.1264,0.1703,0.2182,0.0896,0.2868
25,EPS,2.28,2.55,2.21,2.78,2.66,2.71,2.43,3.76,5.59,2.28,7.17
26,EPS Diluted,2.28,2.55,2.21,2.78,2.65,2.71,2.42,3.74,5.56,2.27,7.14
27,Weighted Average Shares Outstanding,830271000,830271000,830271000,757400000,833800000,829200000,795600000,742300000,670200000,589000000,589000000
28,Weighted Average Shares Outstanding Diluted,830670000,831170000,830670000,757600000,835500000,831500000,799700000,746900000,673500000,590800000,590800000
