,https://roic.ai/company/UNIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,200000,300000,200000,200000,200000,100000,100000,100000,100000,100000,100000,- -,- -,98323230,99761973,- -,98138060,99560720,91136240,- -,60218355
2,COGS,- -,100000,200000,100000,100000,100000,100000,100000,100000,100000,- -,- -,- -,- -,79004240,77813354,- -,79726380,82622950,76174410,- -,52437754
3,Gross Profit,- -,100000,100000,100000,100000,100000,- -,- -,- -,- -,- -,100000,- -,- -,19318990,21948619,- -,18411680,16937770,14961830,- -,7780601
4,Gross Profit Ratio,- -,0.5000,0.3333,0.5000,0.5000,0.5000,- -,- -,- -,- -,- -,1.0000,- -,- -,0.1965,0.2200,- -,0.1876,0.1701,0.1642,- -,0.1292
5,Research and Development Exp.,400000,500000,700000,600000,500000,200000,100000,- -,- -,- -,- -,- -,- -,- -,1527590,1728867,- -,1940670,1653230,1634390,- -,980695
6,General and Administrative Exp.,900000,2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8437348,7779012,- -,6812448,11736350,6047730,- -,6720969
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5201199,- -,- -,- -,4300730,- -,3040685
8,"Selling, General and Administrative Exp.",900000,2300000,2813897,5179864,3027369,1227592,1420442,581993,256999,219533,227545,289970,237185,307317,13129322,12980211,- -,11926174,11736352,10348460,- -,9761654
9,Other Expenses,- -,- -,-39156,5476085,10133,762527,808172,4335294,- -,- -,- -,- -,- -,- -,-1,- -,- -,1,510238,343000,- -,- -
10,Operating Expenses,1300000,2800000,3474741,11255949,3537502,2190119,2328614,4917287,256999,219533,227545,289970,237185,307317,14656911,14709078,- -,13866845,13899820,12325850,- -,10742349
11,COGS and Expenses,1300000,2900000,3700000,11400000,3300000,2000000,2400000,5000000,315260,300000,100000,300000,200000,300000,93661150,92522432,- -,93593230,96522770,88500260,- -,63180103
12,Interest Income ,- -,- -,- -,- -,15360,2677,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,187663,565864,- -,- -,25118,129402,56348,62202,- -,80695,67550,- -,1552541,1613391,- -,1654719,1886886,2036248,- -,1581907
14,Depreciation and Amortization,10000,10000,407701,1498925,861806,809515,804670,791168,515,411,2389,- -,- -,- -,1436035,1571299,- -,1886326,2195605,2371317,- -,2373949
