,https://roic.ai/company/NRILY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,252963000000,285585000000,322531000000,342289000000,341279000000,338629000000,326328000000,335554000000,363891000000,385932000000,405984000000,421439000000,424548000000,471488000000,501243000000,528873000000,550337000000
2,COGS,190732000000,213706000000,234578000000,238537000000,240854000000,245641000000,233119000000,235515000000,262315000000,276664000000,289210000000,287270000000,280761000000,311868000000,336508000000,348006000000,364539000000
3,Gross Profit,62231000000,71879000000,87953000000,103752000000,100425000000,92988000000,93209000000,100039000000,101576000000,109268000000,116774000000,134169000000,143787000000,159620000000,164735000000,180867000000,185798000000
4,Gross Profit Ratio,0.2460,0.2517,0.2727,0.3031,0.2943,0.2746,0.2856,0.2981,0.2791,0.2831,0.2876,0.3184,0.3387,0.3385,0.3287,0.3420,0.3376
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98366000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98366000000
9,Other Expenses,32071000000,35409000000,44055000000,51087000000,50711000000,52911000000,54782000000,56886000000,57561000000,59450000000,65287000000,75873000000,85272000000,94481000000,93293000000,97688000000,6746000000
10,Operating Expenses,32071000000,35409000000,44055000000,51087000000,50711000000,52911000000,54782000000,56886000000,57561000000,59450000000,65287000000,75873000000,85272000000,94481000000,93293000000,97688000000,105112000000
11,COGS and Expenses,222803000000,249115000000,278633000000,289624000000,291565000000,298552000000,287901000000,292401000000,319876000000,336114000000,354497000000,363143000000,366033000000,406349000000,429801000000,445694000000,469651000000
12,Interest Income ,273000000,403000000,658000000,1190000000,943000000,365000000,337000000,351000000,343000000,328000000,337000000,328000000,242000000,160000000,264000000,255000000,1841000000
13,Interest Expense (Gain),214000000,6000000,1000000,- -,13000000,13000000,8000000,71000000,56000000,58000000,133000000,138000000,143000000,261000000,441000000,389000000,11514000000
14,Depreciation and Amortization,18402000000,16574000000,19795000000,16517000000,20763000000,30915000000,30665000000,30875000000,42474000000,34118000000,25800000000,32598000000,28476000000,31941000000,30427000000,30414000000,40911000000
15,EBITDA,45977000000,54115000000,66540000000,64503000000,64957000000,68260000000,70524000000,87148000000,85400000000,86878000000,84022000000,94897000000,94725000000,113703000000,107012000000,132367000000,123789000000
16,EBITDA ratio,0.1818,0.1895,0.2063,0.1884,0.1903,0.2016,0.2161,0.2597,0.2347,0.2251,0.2070,0.2252,0.2231,0.2412,0.2135,0.2503,0.2249
17,Operating Income,30159000000,36469000000,43897000000,52664000000,49713000000,40077000000,38426000000,43152000000,44013000000,49816000000,51486000000,58295000000,58514000000,65138000000,71442000000,83178000000,80748000000
18,Operating Income ratio,0.1192,0.1277,0.1361,0.1539,0.1457,0.1184,0.1178,0.1286,0.1210,0.1291,0.1268,0.1383,0.1378,0.1382,0.1425,0.1573,0.1467
19,Total Other Income Expenses (Gains),-2798000000,1066000000,2847000000,-4677000000,-5532000000,-2749000000,1427000000,13052000000,-1147000000,2893000000,7589000000,4010000000,6478000000,17389000000,5307000000,19318000000,-9673000000
20,Income Before Tax,27361000000,37535000000,46744000000,47987000000,44181000000,37328000000,39853000000,56204000000,42866000000,52709000000,59075000000,62305000000,64992000000,82527000000,76749000000,102496000000,71075000000
21,Income Before Tax Ratio,0.1082,0.1314,0.1449,0.1402,0.1295,0.1102,0.1221,0.1675,0.1178,0.1366,0.1455,0.1478,0.1531,0.1750,0.1531,0.1938,0.1291
22,Income Tax expense (Gain),11058000000,15017000000,19725000000,19829000000,19668000000,15476000000,16663000000,23282000000,14260000000,21175000000,19209000000,19513000000,21042000000,26356000000,25213000000,32288000000,18497000000
23,Net Income,16303000000,22518000000,27019000000,28157000000,24513000000,21856000000,23188000000,32920000000,28610000000,31527000000,38880000000,42648000000,45064000000,55145000000,50931000000,69276000000,52867000000
24,Net Income ratio,0.0644,0.0788,0.0838,0.0823,0.0718,0.0645,0.0711,0.0981,0.0786,0.0817,0.0958,0.1012,0.1061,0.1170,0.1016,0.1310,0.0961
25,EPS,19.96,28.63,30.22,38.16,34.58,30.94,32.81,46.39,40.02,43.73,53.57,57.14,60.59,76.07,72.11,109.35,88.34
26,EPS Diluted,19.96,28.61,30.16,38.10,34.56,29.15,30.91,43.72,37.73,41.17,53.44,56.98,60.48,75.85,71.94,109.07,88.12
