,https://roic.ai/company/LUMO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,633000,934000,2079000,1872000,1687000,1093000,172592000,68501000,35768000,28711000,12474000,936000,168000,230
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,633000,934000,2079000,1872000,1687000,1093000,172592000,- -,- -,- -,- -,936000,168,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,1.0000,0.0010,- -
5,Research and Development Exp.,5451000,5559000,12666000,14255000,17838000,22713000,35691000,71414000,82200000,69266000,45194000,19905000,9206000,16246
6,General and Administrative Exp.,4597000,5192000,6074000,5679000,7108000,9521000,19328000,30689000,32726000,30626000,28418000,20565000,17265000,15331
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4597000,5192000,6074000,5679000,7108000,9521000,19328000,30689000,32726000,30626000,28418000,20565000,17265000,15331
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,11600000,1700000,1300000,5600000,- -,- -
10,Operating Expenses,10048000,10751000,18740000,19934000,24946000,32234000,55019000,102103000,126526000,101592000,74912000,46070000,26471000,31577
11,COGS and Expenses,10048000,10751000,18740000,19934000,24946000,32234000,55019000,102103000,126526000,101592000,74912000,46070000,26471000,- -
12,Interest Income ,213000,132000,75000,11000,14000,12000,86000,78000,237000,616000,2029000,2226000,200000,12
13,Interest Expense (Gain),2000,9000,47000,42000,38000,33000,26000,105000,22000,119000,52000,50000,- -,- -
14,Depreciation and Amortization,294000,303000,655000,687000,788000,891000,1097000,1592000,2084000,1407000,1145000,1094000,584000,- -
15,EBITDA,-8866000,-9130000,-15511000,-17358000,-22495000,-30126000,118756000,-31946000,-88405000,-70984000,-59366000,-41833000,-19052000,-29794
16,EBITDA ratio,-14.0063,-9.7752,-7.4608,-9.2724,-13.3343,-27.5627,0.6881,-0.4664,-2.4716,-2.4724,-4.7592,-44.6934,-113.4048,-129.5391
17,Operating Income,-9415000,-9817000,-16661000,-18062000,-23259000,-31141000,117573000,-33602000,-90758000,-72881000,-62438000,-45134000,-26303000,-31347000
18,Operating Income ratio,-14.8736,-10.5107,-8.0139,-9.6485,-13.7872,-28.4913,0.6812,-0.4905,-2.5374,-2.5384,-5.0055,-48.2201,-156.5655,-136291.3043
19,Total Other Income Expenses (Gains),42000,19000,71000,-25000,-62000,91000,60000,-41000,247000,371000,1875000,2157000,6667000,31317206
20,Income Before Tax,- -,- -,- -,-18087000,-23321000,-31050000,117633000,-33643000,-90511000,-72510000,-60563000,-42977000,-19636000,-29794
21,Income Before Tax Ratio,- -,- -,- -,-9.6619,-13.8239,-28.4081,0.6816,-0.4911,-2.5305,-2.5255,-4.8551,-45.9156,-116.8810,-129.5391
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,130000,14775000,6738000,-5356000,-559000,-6968000,12000,-13973000,636
23,Net Income,-9162000,-9442000,-16213000,-18087000,-23321000,-31180000,102858000,-40381000,-85155000,-71951000,-53595000,-42989000,-5663000,-30430
24,Net Income ratio,-14.4739,-10.1092,-7.7985,-9.6619,-13.8239,-28.5270,0.5960,-0.5895,-2.3808,-2.5060,-4.2965,-45.9284,-33.7083,-132.3043
25,EPS,-5.74,-5.91,-10.35,-26.82,-10.08,-11.07,33.21,-12.69,-26.46,-20.70,-12.96,-10.35,-0.93,-3.65
26,EPS Diluted,-5.74,-5.91,-10.35,-26.82,-10.08,-11.07,29.88,-12.69,-26.46,-20.70,-12.96,-10.35,-0.93,-3.65
27,Weighted Average Shares Outstanding,1597219,1597219,1565085,673837,2308825,2808350,3093205,3176284,3219922,3478253,4132358,4143829,6777932,8334516
