,https://roic.ai/company/NIU,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,354810048,769368001,1477781304,2076289101,2444328764,3704537419
2,COGS,367587499,714669718,1279155847,1589738548,1885180256,2891758188
3,Gross Profit,-12777451,54698283,198625457,486550553,559148508,812779231
4,Gross Profit Ratio,-0.0360,0.0711,0.1344,0.2343,0.2288,0.2194
5,Research and Development Exp.,33089565,39492743,91811892,67187348,105335357,135218399
6,General and Administrative Exp.,90839388,76411871,274110654,79615561,104858814,141798910
7,Selling and Marketing Exp.,89753835,83064894,150150872,182872514,200761383,332007462
8,"Selling, General and Administrative Exp.",180593223,159476765,424261526,262488075,305620197,473806372
9,Other Expenses,-1308550,-833000,-1395200,-29833770,-22441492,-48726818
10,Operating Expenses,212374238,198136508,514678218,299841653,388514062,560297953
11,COGS and Expenses,579961737,912806226,1793834065,1889580201,2273694318,3452056141
12,Interest Income ,660601,1006972,2998796,16898785,8787309,5375969
13,Interest Expense (Gain),2320169,3153521,7721675,11396998,7380833,6167805
14,Depreciation and Amortization,5187772,9746569,18881376,32428391,50239037,- -
15,EBITDA,-225212981,-171762781,-322424425,242124501,247358592,279024822
16,EBITDA ratio,-0.6347,-0.2233,-0.2182,0.1166,0.1012,0.0753
17,Operating Income,-226460239,-144271225,-317447961,186708900,170634446,252481278
18,Operating Income ratio,-0.6383,-0.1875,-0.2148,0.0899,0.0698,0.0682
19,Total Other Income Expenses (Gains),-6260683,-40391646,-31579515,11590212,19104276,20375739
20,Income Before Tax,-232720922,-184662871,-349027476,198299112,189738722,272857017
21,Income Before Tax Ratio,-0.6559,-0.2400,-0.2362,0.0955,0.0776,0.0737
22,Income Tax expense (Gain),- -,- -,- -,8214341,21086256,47036608
23,Net Income,-232720922,-184662871,-349027476,190084771,168652466,225820409
24,Net Income ratio,-0.6559,-0.2400,-0.2362,0.0916,0.0690,0.0610
25,EPS,-3.13,-2.48,-10.60,2.56,2.24,2.99
