,https://roic.ai/company/SQZ,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,12669000,19318000,20998000,27098000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,20998000,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -
5,Research and Development Exp.,24379000,36102000,51545000,70148000
6,General and Administrative Exp.,8694000,18272000,20511000,25719000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8694000,18272000,20511000,25719000
9,Other Expenses,-1130000,-791000,- -,- -
10,Operating Expenses,31943000,53583000,72056000,95867000
11,COGS and Expenses,33073000,53583000,72056000,- -
12,Interest Income ,978000,2070000,550000,36000
13,Interest Expense (Gain),59000,- -,- -,- -
14,Depreciation and Amortization,1067000,4356000,10943000,- -
15,EBITDA,-18124000,-27846000,-39578000,-68741000
16,EBITDA ratio,-1.4306,-1.4415,-1.8848,-2.5368
17,Operating Income,-20404000,-34265000,-51058000,-68769000
18,Operating Income ratio,-1.6105,-1.7737,-2.4316,-2.5378
19,Total Other Income Expenses (Gains),1154000,2063000,537000,28000
20,Income Before Tax,-19250000,-32202000,-50521000,-68741000
21,Income Before Tax Ratio,-1.5195,-1.6669,-2.4060,-2.5368
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-19250000,-32202000,-50521000,-68741000
24,Net Income ratio,-1.5195,-1.6669,-2.4060,-2.5368
25,EPS,-1.40,-2.23,-9.35,-2.45
26,EPS Diluted,-1.40,-2.23,-9.35,-2.45
27,Weighted Average Shares Outstanding,14412128,14412128,5401895,28050130
28,Weighted Average Shares Outstanding Diluted,14412128,14412128,5401895,28050130
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604477/000156459021013996/0001564590-21-013996-index.htm,https://www.sec.gov/Archives/edgar/data/1604477/000095017022003930/0000950170-22-003930-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,59570000,39255000,170357000,143513000
32,Short-Term Investments,47343000,59027000,- -,- -
33,Cash and Short-Term Investments,106913000,98282000,170357000,143513000
34,Net Receivables,1252000,2084000,2442000,3000000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,648000,1452000,4032000,4122000
37,Total Current Assets,108813000,101818000,176831000,150635000
38,PP&E,4429000,48213000,52005000,72889000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,2305000,2319000,2305000,2628000
45,Total Non-Current Assets,6734000,50532000,54310000,75517000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,115547000,152350000,231141000,226152000
48,Accounts Payable,1087000,2796000,3708000,3971000
49,Short-Term Debt,- -,9444000,8210000,9936000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,16504000,18982000,25917000,12507000
52,Other Current Liabilities,3739000,7061000,7358000,6810000
