,https://roic.ai/company/NXPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,5443000000,3843000000,4402000000,4194000000,4358000000,4815000000,5647000000,6101000000,9498000000,9256000000,9407000000,8877000000,8612000000,11063000000
2,COGS,4225000000,2874000000,2579000000,2288000000,2370000000,2638000000,3007000000,3314000000,5429000000,4637000000,4556000000,4259000000,4377000000,4996000000
3,Gross Profit,1218000000,969000000,1823000000,1906000000,1988000000,2177000000,2640000000,2787000000,4069000000,4619000000,4851000000,4618000000,4235000000,6067000000
4,Gross Profit Ratio,0.2238,0.2521,0.4141,0.4545,0.4562,0.4521,0.4675,0.4568,0.4284,0.4990,0.5157,0.5202,0.4918,0.5484
5,Research and Development Exp.,1199000000,777000000,568000000,635000000,628000000,639000000,763000000,890000000,1560000000,1554000000,1700000000,1643000000,1725000000,1936000000
6,General and Administrative Exp.,1161000000,734000000,701000000,633000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,400000000,277000000,265000000,285000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1561000000,1011000000,966000000,918000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,956000000
9,Other Expenses,- -,- -,- -,- -,977000000,896000000,838000000,1145000000,2668000000,2538000000,2442000000,2334000000,2206000000,592000000
10,Operating Expenses,2760000000,1788000000,1534000000,1553000000,1605000000,1535000000,1601000000,2035000000,4228000000,4092000000,4142000000,3977000000,3931000000,3484000000
11,COGS and Expenses,6985000000,4662000000,4113000000,3841000000,3975000000,4173000000,4608000000,5349000000,9657000000,8729000000,8698000000,8236000000,8308000000,8480000000
12,Interest Income ,27000000,4000000,2000000,87000000,4000000,3000000,3000000,6000000,11000000,27000000,48000000,57000000,13000000,- -
13,Interest Expense (Gain),502000000,363000000,320000000,312000000,270000000,182000000,145000000,227000000,408000000,310000000,273000000,370000000,362000000,- -
14,Depreciation and Amortization,1270000000,869000000,684000000,591000000,533000000,514000000,405000000,517000000,2205000000,2173000000,1987000000,2047000000,1988000000,1262000000
15,EBITDA,-1782000000,1074000000,572000000,1314000000,689000000,1064000000,1129000000,2166000000,1962000000,4215000000,4644000000,2680000000,2319000000,3405000000
16,EBITDA ratio,-0.3274,0.2795,0.1299,0.3133,0.1581,0.2210,0.1999,0.3550,0.2066,0.4554,0.4937,0.3019,0.2693,0.3078
17,Operating Income,-2646000000,-900000000,273000000,357000000,412000000,651000000,1049000000,2015000000,-150000000,2102000000,2710000000,641000000,418000000,2583000000
18,Operating Income ratio,-0.4861,-0.2342,0.0620,0.0851,0.0945,0.1352,0.1858,0.3303,-0.0158,0.2271,0.2881,0.0722,0.0485,0.2335
19,Total Other Income Expenses (Gains),-614000000,682000000,-628000000,-257000000,-437000000,-274000000,-410000000,-529000000,-453000000,-366000000,-335000000,-350000000,-417000000,-403000000
20,Income Before Tax,-3260000000,-218000000,-355000000,100000000,-25000000,377000000,639000000,1486000000,-603000000,1736000000,2375000000,291000000,1000000,2180000000
21,Income Before Tax Ratio,-0.5989,-0.0567,-0.0806,0.0238,-0.0057,0.0783,0.1132,0.2436,-0.0635,0.1876,0.2525,0.0328,0.0001,0.1971
22,Income Tax expense (Gain),46000000,17000000,24000000,21000000,1000000,20000000,40000000,-104000000,-851000000,-483000000,176000000,20000000,-83000000,272000000
23,Net Income,-3600000000,-175000000,-456000000,390000000,-115000000,348000000,539000000,1526000000,200000000,2215000000,2208000000,243000000,52000000,1871000000
24,Net Income ratio,-0.6614,-0.0455,-0.1036,0.0930,-0.0264,0.0723,0.0954,0.2501,0.0211,0.2393,0.2347,0.0274,0.0060,0.1691
25,EPS,-19.98,-0.81,-1.99,1.57,-0.46,1.40,2.27,6.36,-0.57,6.54,6.78,0.86,0.19,6.69
26,EPS Diluted,-19.98,-0.81,-1.99,1.57,-0.46,1.36,2.17,6.10,-0.57,6.41,6.72,0.85,0.18,6.69
27,Weighted Average Shares Outstanding,180210000,215252000,229280000,248812000,248064000,248526000,237954000,239764000,338477000,338646000,325781000,282056000,279763000,265642000
28,Weighted Average Shares Outstanding Diluted,180210000,215252000,229280000,248812000,248064000,255050000,248609000,250116000,338477000,345802000,328606000,285911000,283809000,268545000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413447/000141344720000009/0001413447-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344721000011/0001413447-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344722000008/0001413447-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1796000000,1041000000,898000000,743000000,617000000,670000000,1185000000,1614000000,1894000000,3547000000,2789000000,1045000000,2275000000,2830000000
32,Short-Term Investments,33000000,144000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1829000000,1185000000,898000000,743000000,617000000,670000000,1185000000,1614000000,1894000000,3547000000,2789000000,1045000000,2275000000,2830000000
34,Net Receivables,492000000,514000000,438000000,479000000,510000000,542000000,593000000,1130000000,1033000000,879000000,792000000,667000000,765000000,923000000
35,Inventory,630000000,542000000,513000000,618000000,715000000,740000000,755000000,1879000000,1113000000,1236000000,1279000000,1192000000,1030000000,1189000000
36,Other Current Assets,200000000,272000000,287000000,126000000,112000000,140000000,107000000,189000000,1358000000,382000000,365000000,363000000,254000000,286000000
37,Total Current Assets,3151000000,2513000000,2136000000,1966000000,1954000000,2092000000,2640000000,4812000000,5398000000,6044000000,5225000000,3267000000,4324000000,5228000000
38,PP&E,1807000000,1361000000,1164000000,1063000000,1070000000,1048000000,1123000000,2922000000,2352000000,2295000000,2436000000,- -,2284000000,2635000000
39,Goodwill,2661000000,2621000000,2299000000,2231000000,2277000000,2358000000,2121000000,9228000000,8843000000,8866000000,8857000000,9949000000,9984000000,9961000000
40,Intangible Assets,2384000000,2006000000,1486000000,1171000000,965000000,755000000,573000000,8790000000,7343000000,5863000000,4467000000,3620000000,2242000000,1694000000
41,Intangible Assets,5045000000,4627000000,3785000000,3402000000,3242000000,3113000000,2694000000,18018000000,16186000000,14729000000,13324000000,13569000000,12226000000,11655000000
42,Investments,158000000,43000000,132000000,37000000,45000000,52000000,71000000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,166000000,129000000,420000000,144000000,128000000,144000000,365000000,602000000,962000000,981000000,545000000,3180000000,1013000000,1346000000
45,Total Non-Current Assets,7176000000,6160000000,5501000000,4646000000,4485000000,4357000000,4253000000,21542000000,19500000000,18005000000,16305000000,16749000000,15523000000,15636000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10327000000,8673000000,7637000000,6612000000,6439000000,6449000000,6893000000,26354000000,24898000000,24049000000,21530000000,20016000000,19847000000,20864000000
48,Accounts Payable,619000000,582000000,593000000,455000000,562000000,544000000,729000000,1014000000,973000000,1146000000,999000000,944000000,991000000,1252000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1580000000,1671000000,1155000000,594000000,934000000,649000000,591000000,1534000000,1460000000,1572000000,2386000000,847000000,1026000000,1200000000
53,Total Current Liabilities,2199000000,2253000000,1748000000,1049000000,1496000000,1193000000,1320000000,2548000000,2433000000,2718000000,3385000000,1791000000,2017000000,2452000000
54,Long-Term Debt,5964000000,4673000000,4128000000,3747000000,3185000000,3281000000,3979000000,8656000000,8766000000,5814000000,6247000000,7365000000,7609000000,10572000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2293000000,1659000000,701000000,450000000,282000000,85000000,57000000
57,Other Non-Current Liabilities,876000000,619000000,542000000,459000000,474000000,429000000,793000000,1054000000,884000000,1100000000,758000000,923000000,985000000,1013000000
58,Total Non-Current Liabilities,6840000000,5292000000,4670000000,4206000000,3659000000,3710000000,4772000000,12003000000,11309000000,7615000000,7455000000,8570000000,8679000000,11642000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,9039000000,7545000000,6418000000,5255000000,5155000000,4903000000,6092000000,14551000000,13742000000,10333000000,10840000000,10361000000,10696000000,14094000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,42000000,42000000,51000000,51000000,51000000,51000000,51000000,68000000,71000000,71000000,67000000,64000000,59000000,- -
64,Retained Earnings,-5044000000,-5219000000,-5609000000,-5219000000,-5334000000,-5105000000,-4804000000,-3542000000,-3934000000,-2339000000,-1907000000,-2845000000,-4328000000,- -
65,Other Comprehensive Income/Loss,-1787000000,-1107000000,-975000000,-1002000000,-1033000000,-1042000000,-2560000000,-2583000000,-2314000000,-2875000000,-3299000000,75000000,117000000,48000000
