,https://roic.ai/company/CHPT,2019,2020,2021,2022
0,INCOME STATEMENT, , , , 
1,Revenue,- -,146490000,146490000,242340000
2,COGS,- -,113541000,113541000,188808000
3,Gross Profit,- -,32949000,32949000,53532000
4,Gross Profit Ratio,- -,0.2249,0.2249,0.2209
5,Research and Development Exp.,- -,75017000,75017000,145043000
6,General and Administrative Exp.,- -,25922000,25922000,81380000
7,Selling and Marketing Exp.,- -,53002000,53002000,93489000
8,"Selling, General and Administrative Exp.",- -,78924000,78924000,174869000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,- -,153941000,153941000,319912000
11,COGS and Expenses,- -,267482000,267482000,508720000
12,Interest Income ,- -,315000,315000,98000
13,Interest Expense (Gain),- -,3253000,3253000,1502000
14,Depreciation and Amortization,- -,10083000,10083000,17396000
15,EBITDA,- -,-183490000,-183490000,-117212000
16,EBITDA ratio,- -,-1.2526,-1.2526,-0.4837
17,Operating Income,- -,-120992000,-120992000,-266380000
18,Operating Income ratio,- -,-0.8259,-0.8259,-1.0992
19,Total Other Income Expenses (Gains),- -,-75834000,-75834000,130270000
20,Income Before Tax,- -,-196826000,-196826000,-136110000
21,Income Before Tax Ratio,- -,-1.3436,-1.3436,-0.5616
22,Income Tax expense (Gain),- -,198000,198000,-3540000
23,Net Income,- -,-197024000,-197024000,-132570000
24,Net Income ratio,- -,-1.3450,-1.3450,-0.5470
25,EPS,- -,-0.16,-0.61,-0.41
26,EPS Diluted,- -,-0.16,-0.61,-0.41
27,Weighted Average Shares Outstanding,31411763,31411763,325034920,325034920
28,Weighted Average Shares Outstanding Diluted,31411763,31411763,325034920,325034920
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1777393/000121390020008001/0001213900-20-008001-index.html,https://www.sec.gov/Archives/edgar/data/1777393/000121390021008053/0001213900-21-008053-index.htm,https://www.sec.gov/Archives/edgar/data/1777393/000119312521174021/0001193125-21-174021-index.htm,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,398721,145491000,145491000,315235000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,398721,145491000,145491000,315235000
34,Net Receivables,- -,35075000,35075000,76439000
35,Inventory,- -,33592000,33592000,35379000
36,Other Current Assets,374286,12474000,12474000,37383000
37,Total Current Assets,773007,226632000,226632000,464436000
38,PP&E,- -,51805000,51805000,60128000
39,Goodwill,- -,1215000,1215000,191907000
40,Intangible Assets,- -,- -,- -,139774000
41,Intangible Assets,- -,1215000,1215000,331681000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,316398889,10468000,10468000,5584000
45,Total Non-Current Assets,316398889,63488000,63488000,397393000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,317171896,290120000,290120000,861829000
48,Accounts Payable,200971,19784000,19784000,27681000
49,Short-Term Debt,- -,12601000,12601000,- -
50,Tax Payable,- -,5213000,5213000,- -
51,Deferred Revenue,- -,47416000,47416000,77142000
52,Other Current Liabilities,566992,38287000,38287000,84223000
53,Total Current Liabilities,767963,118088000,118088000,189046000
54,Long-Term Debt,- -,47145000,47145000,25370000
55,Deferred Revenue,- -,48896000,48896000,69666000
56,Deferred Tax Liabilities,- -,- -,- -,23958000
57,Other Non-Current Liabilities,10924117,76815000,76815000,7104000
58,Total Non-Current Liabilities,10924117,172856000,172856000,126098000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,24852000,24852000,25370000
61,Total Liabilities,11692080,290944000,290944000,315144000
62,Preferred Stock,- -,615697000,615697000,- -
63,Common Stock,300480731,2000,2000,33000
64,Retained Earnings,779572,-679414000,-679414000,-811984000
65,Other Comprehensive Income/Loss,- -,155000,155000,-8219000
66,Other Total Stockholders Equity,4219513,62736000,62736000,- -
67,Total Stockholders Equity,305479816,-824000,-824000,546685000
68,Total Liabilities And Stockholders Equity,317171896,290120000,290120000,861829000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,317171896,290120000,290120000,861829000
