,https://roic.ai/company/LGF-B,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,45166238,78423586,186742719,179077459,267466436,301844000,384891000,842586000,951228000,976740000,1361039000,1466374000,1583718000,1582720000,1587579000,2708141000,2630254000,2399640000,2347419000,3201500000,4129100000,3680500000,3890000000,3271500000
2,COGS,34674081,2200662,1687934,2670917,156959438,154401000,191849000,355922000,460943000,436818000,662450000,793816000,807311000,795746000,908402000,1390569000,1369381000,1315775000,1415344000,1903800000,2309600000,2028200000,2170900000,1725900000
3,Gross Profit,10492157,76222924,185054785,176406543,110506997,147443000,193042000,486664000,490285000,539922000,698589000,672558000,776407000,786974000,679177000,1317572000,1260873000,1083865000,932075000,1297700000,1819500000,1652300000,1719100000,1545600000
4,Gross Profit Ratio,0.2323,0.9719,0.9910,0.9851,0.4132,0.4885,0.5015,0.5776,0.5154,0.5528,0.5133,0.4587,0.4902,0.4972,0.4278,0.4865,0.4794,0.4517,0.3971,0.4053,0.4407,0.4489,0.4419,0.4724
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136563000,180543000,171407000,168864000,218341000,254925000,263507000,282232000,355400000,454400000,445400000,1434900000,486600000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,669557000,515755000,547226000,483513000,817862000,739461000,591491000,661789000,806800000,897600000,835500000,- -,719300000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,806120000,696298000,718633000,652377000,1036203000,994386000,854998000,944021000,1162200000,1352000000,1280900000,1434900000,1205900000
9,Other Expenses,8593577,78523616,178229186,159634787,113338281,134122000,283041000,436900000,467257000,497978000,758720000,7657000,28064000,5811000,4276000,8290000,6539000,6586000,13084000,63100000,159000000,163400000,201900000,188500000
