,https://roic.ai/company/RFP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2621000000,2158300000,2792000000,3785000000,3789000000,3255000000,3718000000,4835000000,4594000000,4164000000,3876000000,6771000000,4366000000,4746000000,4756000000,4503000000,4461000000,4258000000,3645000000,3545000000,3513000000,3756000000,2923000000,2800000000,3664000000
2,COGS,2187400000,1748700000,2286000000,2663000000,2643000000,2610000000,3211000000,3974000000,3332000000,3544000000,3206000000,5144000000,3343000000,3724000000,3590000000,3492000000,3446000000,3240000000,2826000000,2716000000,2574000000,2549000000,2198000000,2010000000,2258000000
3,Gross Profit,433600000,409600000,506000000,1122000000,1146000000,645000000,507000000,861000000,1262000000,620000000,670000000,1627000000,1023000000,1022000000,1166000000,1011000000,1015000000,1018000000,819000000,829000000,939000000,1207000000,725000000,790000000,1406000000
4,Gross Profit Ratio,0.1654,0.1898,0.1812,0.2964,0.3025,0.1982,0.1364,0.1781,0.2747,0.1489,0.1729,0.2403,0.2343,0.2153,0.2452,0.2245,0.2275,0.2391,0.2247,0.2339,0.2673,0.3214,0.2480,0.2821,0.3837
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,668000000,1089000000,685000000,708000000,158000000,149000000,166000000,155000000,160000000,149000000,172000000,165000000,136000000,136000000,158000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,547000000,514000000,521000000,518000000,460000000,440000000,442000000,475000000,389000000,344000000,356000000
8,"Selling, General and Administrative Exp.",123100000,108500000,118000000,112000000,109000000,107000000,141000000,198000000,654000000,114000000,668000000,1089000000,685000000,708000000,705000000,663000000,687000000,673000000,620000000,589000000,614000000,640000000,525000000,480000000,514000000
9,Other Expenses,227300000,226700000,277000000,361000000,419000000,422000000,545000000,846000000,813000000,233000000,279000000,1158000000,602000000,463000000,266000000,233000000,243000000,243000000,237000000,206000000,204000000,212000000,167000000,169000000,164000000
10,Operating Expenses,350400000,335200000,395000000,473000000,528000000,529000000,686000000,1044000000,1467000000,347000000,947000000,2247000000,1287000000,1171000000,971000000,896000000,930000000,916000000,857000000,795000000,818000000,852000000,692000000,649000000,678000000
11,COGS and Expenses,2537800000,2083900000,2681000000,3136000000,3171000000,3139000000,3897000000,5018000000,4799000000,3891000000,4153000000,7391000000,4630000000,4895000000,4561000000,4388000000,4376000000,4156000000,3683000000,3511000000,3392000000,3401000000,2890000000,2659000000,2936000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,5000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706000000,597000000,483000000,95000000,66000000,51000000,47000000,41000000,38000000,49000000,47000000,31000000,34000000,21000000
14,Depreciation and Amortization,227300000,226700000,277000000,361000000,444000000,422000000,562000000,818000000,756000000,378000000,396000000,726000000,602000000,493000000,220000000,233000000,243000000,243000000,237000000,206000000,204000000,212000000,167000000,169000000,164000000
