,https://roic.ai/company/CETXP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,5847663,6670052,6967992,3304055,13732153,12162046,13673531,47653114,56887389,93704560,120628200,89936519,39265041,43518384,43130934
2,COGS,3954097,4039810,4067677,1912271,11600741,10731918,12528549,32057846,40564819,64490890,80714648,58551262,23702367,24153937,26162582
3,Gross Profit,1893566,2630242,2900315,1391784,2131412,1430128,1144982,15595268,16322570,29213670,39913552,31385257,15562674,19364447,16968352
4,Gross Profit Ratio,0.3238,0.3943,0.4162,0.4212,0.1552,0.1176,0.0837,0.3273,0.2869,0.3118,0.3309,0.3490,0.3963,0.4450,0.3934
5,Research and Development Exp.,- -,- -,5535,- -,- -,- -,- -,- -,- -,- -,- -,5558682,1481879,1827286,3171676
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,798135,12582072,13821546,24149772,34797874,36727240,21528145,21570666,22538496
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,2628536,2393496,1027407,683372,798135,12582072,13821546,24149772,34797874,36727240,21528145,21570666,22538496
9,Other Expenses,2009795,2384844,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2009795,2384844,2634071,2393496,1027407,683372,798135,12582072,13821546,24149772,34797874,42285922,23010024,23397952,25710172
11,COGS and Expenses,5963892,6424653,6701748,4305767,12628148,11415290,13326684,44639918,54386365,88640662,115512522,100837184,46712391,47551889,51872754
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),43782,127358,107789,26970,93123,42075,45850,436864,496281,673612,923952,1248394,4785506,4607453,2921345
14,Depreciation and Amortization,12708,33143,33296,23255,22942,18865,11143,494654,772434,2296010,3141610,4181120,3013986,2898399,2206049
