,https://roic.ai/company/KRUS,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,37251000,51744000,64245000,45168000,64891000
2,COGS,32835000,43629000,54726000,49422000,58783000
3,Gross Profit,4416000,8115000,9519000,-4254000,6108000
4,Gross Profit Ratio,0.1185,0.1568,0.1482,-0.0942,0.0941
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3364000,5965000,7748000,12064000,15701000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3364000,5965000,7748000,12064000,15701000
9,Other Expenses,25000,51000,110000,180000,396000
10,Operating Expenses,3389000,6016000,7858000,12244000,16097000
11,COGS and Expenses,36224000,49645000,62584000,61666000,74880000
12,Interest Income ,5000,12000,51000,450000,20000
13,Interest Expense (Gain),85000,128000,188000,136000,220000
14,Depreciation and Amortization,1370000,1675000,2165000,3160000,4522000
15,EBITDA,2402000,3550000,3877000,-12888000,-5447000
16,EBITDA ratio,0.0645,0.0686,0.0603,-0.2853,-0.0839
17,Operating Income,1027000,1863000,1661000,-16498000,-9989000
18,Operating Income ratio,0.0276,0.0360,0.0259,-0.3653,-0.1539
19,Total Other Income Expenses (Gains),-80000,-116000,-137000,314000,-200000
20,Income Before Tax,947000,1747000,1524000,-16184000,-10189000
21,Income Before Tax Ratio,0.0254,0.0338,0.0237,-0.3583,-0.1570
22,Income Tax expense (Gain),240000,5000,68000,1174000,106000
23,Net Income,707000,1742000,1456000,-17358000,-10295000
24,Net Income ratio,0.0190,0.0337,0.0227,-0.3843,-0.1587
25,EPS,0.09,0.22,0.28,-2.08,-1.21
26,EPS Diluted,0.09,0.22,0.26,-2.08,-1.21
27,Weighted Average Shares Outstanding,7900050,7900050,5283000,8338000,8528000
28,Weighted Average Shares Outstanding Diluted,7900050,7900050,5512000,8338000,8528000
