,https://roic.ai/company/SWTX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,35000000,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,9898000,42545000,51859000,101676000
6,General and Administrative Exp.,- -,8593000,16694000,29465000,71792000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,8593000,16694000,29465000,71792000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,- -,18491000,59239000,81324000,173468000
11,COGS and Expenses,- -,18491000,59239000,81324000,173468000
12,Interest Income ,- -,678000,3547000,1330000,698000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,17000,192000,349000,490000
15,EBITDA,- -,-18474000,-59047000,-45225000,-172978000
16,EBITDA ratio,- -,-Infinity,-Infinity,-1.2921,-Infinity
17,Operating Income,- -,-18491000,-59239000,-46324000,-173468000
18,Operating Income ratio,- -,-Infinity,-Infinity,-1.3235,-Infinity
19,Total Other Income Expenses (Gains),- -,678000,933000,750000,-442000
20,Income Before Tax,- -,-17813000,-58306000,-45574000,-173910000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-1.3021,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,- -,-17813000,-58306000,-45574000,-173910000
24,Net Income ratio,- -,-Infinity,-Infinity,-1.3021,-Infinity
25,EPS,- -,-2.00,-3.81,-1.05,-4.02
26,EPS Diluted,- -,-2.00,-3.81,-1.05,-4.02
27,Weighted Average Shares Outstanding,- -,8927163,13274836,43300063,43300063
28,Weighted Average Shares Outstanding Diluted,- -,8927163,13274836,43300063,43300063
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1773427/000155837020002563/0001558370-20-002563-index.htm,https://www.sec.gov/Archives/edgar/data/1773427/000155837021001708/0001558370-21-001708-index.htm,https://www.sec.gov/Archives/edgar/data/1773427/000177342722000011/0001773427-22-000011-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,10271000,45648000,327652000,147089000,103961000
32,Short-Term Investments,- -,- -,- -,361395000,269540000
33,Cash and Short-Term Investments,10271000,45648000,327652000,508484000,373501000
34,Net Receivables,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,270000,1382000,3709000,4914000,9409000
37,Total Current Assets,10541000,47030000,331361000,513398000,382910000
38,PP&E,41000,317000,795000,3019000,4197000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,976000,57207000,62113000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1043000,1699000,2567000,3274000
45,Total Non-Current Assets,41000,1360000,3470000,62793000,69584000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,10582000,48390000,334831000,576191000,452494000
48,Accounts Payable,283000,774000,2654000,1350000,3429000
49,Short-Term Debt,- -,- -,- -,1375000,1162000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,370000,2903000,9316000,14885000,25378000
53,Total Current Liabilities,653000,3677000,11970000,17610000,29969000
54,Long-Term Debt,- -,- -,- -,1359000,129000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,12554000,64082000,789000,164000,- -
58,Total Non-Current Liabilities,12554000,64082000,789000,1523000,129000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,2734000,1291000
61,Total Liabilities,13207000,67759000,12759000,19133000,30098000
62,Preferred Stock,2014000,2014000,- -,- -,- -
63,Common Stock,- -,- -,4000,5000,5000
64,Retained Earnings,-4639000,-22452000,-73029000,-118603000,-292513000
65,Other Comprehensive Income/Loss,-3000,-21000,-213000,41000,-312000
66,Other Total Stockholders Equity,- -,- -,395310000,675615000,715216000
67,Total Stockholders Equity,-2625000,-19369000,322072000,557058000,422396000
68,Total Liabilities And Stockholders Equity,10582000,48390000,334831000,576191000,452494000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10582000,48390000,334831000,576191000,452494000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1773427/000155837020002563/0001558370-20-002563-index.htm,https://www.sec.gov/Archives/edgar/data/1773427/000155837021001708/0001558370-21-001708-index.htm,https://www.sec.gov/Archives/edgar/data/1773427/000177342722000011/0001773427-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,-17813000,-58306000,-45574000,-173910000
74,Depreciation and Amortization,- -,17000,192000,349000,490000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,1069000,3109000,10034000,38444000
77,Change in Working Capital,- -,2021000,4947000,1346000,5118000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,491000,1880000,-1304000,2074000
81,Other Working Capital,- -,1487000,-335000,164000,- -
82,Other Non-Cash Items,- -,- -,2614000,1654000,1981000
83,Cash Provided by Operating Activities,- -,-14706000,-47444000,-32191000,-127877000
84,CAPEX,- -,-293000,-670000,-642000,-2016000
85,Acquisitions Net,- -,- -,-3590000,-3500000,- -
86,Purchases of Investments,- -,- -,- -,-442690000,-305423000
87,Sales/Maturities of Investments,- -,- -,- -,28000000,391031000
88,Other Investing Activites,- -,- -,-670000,-642000,-2016000
89,Cash Used for Investing Activites,- -,-293000,-4260000,-418832000,83592000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,169730000,269592000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,50376000,163978000,893000,1157000
95,Cash Used/Provided by Financing Activities,- -,50376000,333708000,270485000,1157000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,35377000,282004000,-180538000,-43128000
98,Cash at the End of Period,- -,45648000,328192000,147654000,104526000
99,Cash at the Beginning of Period,- -,10271000,46188000,328192000,147654000
100,Free Cash Flow,- -,-14999000,-48114000,-32833000,-129893000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1773427/000155837020002563/0001558370-20-002563-index.htm,https://www.sec.gov/Archives/edgar/data/1773427/000155837021001708/0001558370-21-001708-index.htm,https://www.sec.gov/Archives/edgar/data/1773427/000177342722000011/0001773427-22-000011-index.htm
102,false,,,,,
