,https://roic.ai/company/KPTI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,152000,634000,387000,229000,250000,154000,1605000,30336000,40893000,108085000,209819000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,2407000,2705000,3402000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,38486000,105380000,206417000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.9411,0.9750,0.9838
5,Research and Development Exp.,8623000,14095000,28452000,60127000,97744000,86938000,107273000,161372000,122340000,150813000,160842000
6,General and Administrative Exp.,1840000,2429000,5885000,15948000,21582000,23948000,24870000,48847000,105421000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1840000,2429000,5885000,15948000,21582000,23948000,24870000,48847000,105421000,126417000,143846000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,10463000,16524000,34337000,76075000,119326000,110886000,132143000,210219000,227761000,277230000,304688000
11,COGS and Expenses,10463000,16524000,34337000,76075000,119326000,110886000,132143000,210219000,230168000,279935000,308090000
12,Interest Income ,- -,2000,3000,97000,897000,1284000,1698000,4028000,5422000,2820000,582000
13,Interest Expense (Gain),- -,- -,- -,1000,- -,- -,- -,2493000,15647000,27140000,26046000
14,Depreciation and Amortization,83000,122000,144000,323000,634000,717000,713000,735000,974000,972000,789000
15,EBITDA,-10228000,-15766000,-33803000,-75453000,-117547000,-108721000,-128208000,-175153000,-182929000,-167852000,-96985000
16,EBITDA ratio,-67.2895,-24.8675,-87.3463,-329.4891,-470.1880,-705.9805,-79.8804,-5.7738,-4.4734,-1.5530,-0.4622
17,Operating Income,-10311000,-15890000,-33950000,-75846000,-119076000,-110732000,-130538000,-179883000,-189275000,-171850000,-98271000
18,Operating Income ratio,-67.8355,-25.0631,-87.7261,-331.2052,-476.3040,-719.0390,-81.3321,-5.9297,-4.6285,-1.5900,-0.4684
