,https://roic.ai/company/SBET,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,9787000,9230000,9413000,11563000,10484000,9338000,8751000,11434000,11639000,12003000,13126000,12472000,7066000,14712000,14052000,8626000,5861000,5193000,4018000
2,COGS,1896000,1849000,2814000,3802000,3355000,2736000,2321000,3777000,4201000,3941000,4494000,4024000,2893000,8414000,6913000,3511000,2149000,1857000,1795000
3,Gross Profit,7891000,7381000,6599000,7761000,7129000,6602000,6430000,7657000,7438000,8062000,8632000,8448000,4173000,6298000,7139000,5115000,3712000,3336000,2223000
4,Gross Profit Ratio,0.8063,0.7997,0.7011,0.6712,0.6800,0.7070,0.7348,0.6697,0.6391,0.6717,0.6576,0.6774,0.5906,0.4281,0.5080,0.5930,0.6333,0.6424,0.5533
5,Research and Development Exp.,2127000,1825000,2362000,4395000,3633000,2640000,2688000,1888000,1547000,1909000,1329000,1389000,1387000,1805000,2763000,2145000,825000,545000,- -
6,General and Administrative Exp.,5812000,5746000,8401000,7627000,5729000,7176000,3065000,3618000,3016000,3847000,2804000,3188000,2459000,3459000,3472000,3009000,2239000,2144000,1867000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,1927000,2914000,2584000,1905000,2457000,2164000,1868000,2225000,2343000,1829000,1471000,817000,752000
8,"Selling, General and Administrative Exp.",5812000,5746000,8401000,7627000,5729000,7176000,4992000,6532000,5600000,5752000,5261000,5352000,4327000,5684000,5815000,4838000,3710000,2961000,2619000
9,Other Expenses,- -,- -,- -,- -,- -,2312000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,7939000,7571000,10763000,12022000,9362000,12128000,7680000,8420000,7147000,7661000,6590000,6741000,5714000,7489000,8578000,6983000,4535000,3506000,2619000
11,COGS and Expenses,9835000,9420000,13577000,15824000,12717000,14864000,10001000,12197000,11348000,11602000,11084000,10765000,8607000,15903000,15491000,10494000,6684000,5363000,4414000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,54000,105000,- -,31000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,501000,401000,399000,655000,675000,651000,368000,540000,489000,447000,393000,316000,284000,868000,1106000,124000,82000,79000,32000
15,EBITDA,683000,686000,-3462000,-3551000,-1399000,-5135000,-484000,-286000,712000,844000,2495000,2157000,-1272000,-3677000,-4622000,-1653000,-1042000,-52000,-2108000
16,EBITDA ratio,0.0698,0.0743,-0.3678,-0.3071,-0.1334,-0.5499,-0.0553,-0.0250,0.0612,0.0703,0.1901,0.1729,-0.1800,-0.2499,-0.3289,-0.1916,-0.1778,-0.0100,-0.5246
17,Operating Income,-48000,-190000,-4164000,-4261000,-2233000,-5526000,-1250000,-763000,291000,401000,2042000,1707000,-1541000,-1191000,-1439000,-1868000,-823000,-170000,-396000
18,Operating Income ratio,-0.0049,-0.0206,-0.4424,-0.3685,-0.2130,-0.5918,-0.1428,-0.0667,0.0250,0.0334,0.1556,0.1369,-0.2181,-0.0810,-0.1024,-0.2166,-0.1404,-0.0327,-0.0986
19,Total Other Income Expenses (Gains),-6000,130000,78000,53000,-54000,-168000,398000,-94000,- -,80000,60000,61000,-95000,-3531000,-4262000,144000,-17000,-18000,-1707000
20,Income Before Tax,-54000,-60000,-4086000,-4208000,-2287000,-5694000,-852000,-857000,291000,481000,2102000,1768000,-1636000,-4722000,-5701000,-1724000,-840000,-188000,-2103000
21,Income Before Tax Ratio,-0.0055,-0.0065,-0.4341,-0.3639,-0.2181,-0.6098,-0.0974,-0.0750,0.0250,0.0401,0.1601,0.1418,-0.2315,-0.3210,-0.4057,-0.1999,-0.1433,-0.0362,-0.5234
22,Income Tax expense (Gain),52000,198000,266000,10000,118000,-68000,108000,20000,47000,10000,736000,435000,54000,194000,-507000,-9000,46000,4000,-325000
23,Net Income,130000,87000,-4127000,-4216000,-2246000,-5823000,-960000,-877000,176000,387000,1366000,1406000,-1610000,-4739000,-5221000,-1768000,-1170000,-135000,-1815000
24,Net Income ratio,0.0133,0.0094,-0.4384,-0.3646,-0.2142,-0.6236,-0.1097,-0.0767,0.0151,0.0322,0.1041,0.1127,-0.2279,-0.3221,-0.3715,-0.2050,-0.1996,-0.0260,-0.4517
25,EPS,0.17,0.11,-5.34,-4.98,-2.34,-6.06,-0.90,-0.60,0.12,0.27,0.92,0.91,-1.02,-1.98,-1.86,-0.59,-0.34,-0.03,-0.36
26,EPS Diluted,0.16,0.11,-5.34,-4.98,-2.34,-6.06,-0.90,-0.60,0.12,0.27,0.90,0.89,-1.02,-1.98,-1.86,-0.59,-0.34,-0.03,-0.36
27,Weighted Average Shares Outstanding,784965,769515,772401,848685,960384,962306,1088305,1486323,1486348,1486350,1492890,1553075,1556986,2391661,2817423,2991547,3435161,5013374,5013374
28,Weighted Average Shares Outstanding Diluted,788499,771374,772401,848685,960384,962306,1088305,1486323,1486348,1486350,1510459,1573653,1556986,2391661,2817423,2991547,3435161,5013374,5013374
